xxx_3941159297	A	A	A	A	A	A	A	A	A	A	A
23	哈……摸到腹肌了。让我仔细数一数……	哈……摸到腹肌了。讓我仔細數一數……	あは……ここからが腹筋ですね。どれどれ……	하… 복근이다. 하나하나 세어볼까…	Ah... now I've reached your abs. Let me count them...						0
24	一二三四五六七八……	一二三四五六七八……	1、2、3、4、5、6、7、8……	하나, 둘, 셋, 넷, 다섯, 여섯, 일곱, 여덟…	One... two... three... four... five... six... seven... eight...						0
25	在我身上作怪的小手越发大胆起来。	在我身上作怪的小手越發大膽起來。	私の体でいたずらをする手はますます大胆になってきた。	내 몸을 더듬는 작은 손길이 점점 대담해져 갔다.	Her dainty hands grew bolder by the second — wandering freely, lingering where they pleased.						0
26	因为担心事情再发展下去时间来不及，所以我捉住了她的手腕，再次轻轻喊了一声她的名字。	因為擔心事情再發展下去時間會來不及，所以我抓住了她的手腕，再次輕輕叫了一聲她的名字。	このままでは大変なことになると思い、私は彼女の手首をつかみ、もう一度優しくその名を呼んだ。	이대로 내버려두었다가는 시간이 모자랄 수 있으니, 나는 그녀의 손목을 잡고 그녀의 이름을 다시 한번 부드럽게 불렀다.	Worried things might get out of hand, I gently caught her wrist.						0
27	薇蒂雅。	薇蒂雅。	ヴィディア。	비디야.	Vidya.						0
28	像是被踩着尾巴的猫，少女的身子一下子绷得笔直，只差从我身上高高跳起来。	像是被踩到尾巴的貓，少女的身體一下子繃得筆直，只差從我身上高高跳起來。	尻尾を踏まれた猫のように、少女の体は一瞬にしてピンと張り詰め、今すぐ私から飛び上がりそうになった。	소녀의 몸이 마치 꼬리를 밟힌 고양이처럼 순식간에 곧게 펴졌고, 내 몸 위에서 펄쩍 뛰어오를 뻔했다.	Like a cat whose tail had just been stepped on, she froze up instantly — then practically launched herself off me.						0
29	诶诶诶诶诶诶诶诶！！？？？	欸欸欸欸欸欸欸欸！！？？？	ぎゃああああ！！？？？	에에에에에에에엣!!???	Whaaaaat!?						0
30	这下你应该是真醒来了？	現在你應該是真的醒來了？	やっと目が覚めたかな？	이제는 진짜로 깬 거야?	So, I take it you're fully awake now?						0
31	我松开少女的手腕，双手枕在脑后，略带揶揄地看着她已经完全被红晕浸染的脸颊。	我放開少女的手腕，雙手枕在腦後，略帶揶揄地看著她已經完全被紅暈浸染的臉頰。	少女の手首を放し、両手を頭の後ろに組むと、私はすっかり赤く染まった彼女の頬をからかうように見つめた。	나는 소녀의 손목을 놓고 두 손을 머리 뒤에 받치며, 붉게 달아오른 그녀의 얼굴을 약간 놀리듯이 바라보았다.	I let go of her wrist and folded my hands behind my head, watching with mild amusement as color flooded her face.						0
32	我……	我……	私……	저는…	I...						0
33	分析员……！我刚才……那是……	分析員……！我剛才……那是……	分析員さん、さっきのは……！その……	분석가님…! 방금 저는… 그게…	A—Adjutant... that was just... uh...						0
34	想摸可以直说。	想摸可以直說。	触りたいなら、そう言えばいいのに。	만지고 싶으면 솔직하게 말해.	If you wanted to touch me all over, you could've just said so.						0
35	真的……？	真的……？	本当ですか……？	정말요…?	...Wait, really?						0
36	咳咳……我的意思是……	咳咳……我的意思是……	こほん、その……	크흠… 제 말은…	Ahem—! I mean—!						0
37	一下子把真心话说出来，少女被自己呛到满脸通红，捧着羞红的脸颊有些不知所措起来。	一下子把真心話說出來，少女被自己嗆到滿臉通紅，捧著羞紅的臉頰有些不知所措起來。	思わず本音を口にしてしまい、少女は顔を真っ赤にして、両手で頬を覆い、恥ずかしそうな表情で途方に暮れていた。	한꺼번에 모든 진심을 털어놓은 소녀는 자신의 말에 얼굴이 붉어져서는 두 볼을 감싸 쥐고 우물쭈물했다.	The words slipped out before she realized — and the moment they did, she clapped her hands over her burning face, utterly mortified.						0
38	看到她这副可爱模样我很是心满意足，所以我重新递上台阶。	看到她這副可愛模樣我非常心滿意足，所以我重新遞上台階。	その可愛らしい様子にすっかり満足して、私はもう一度彼女に助け舟を出した。	그녀의 귀여운 모습에 만족스러워진 나는 다시 한번 대화의 물꼬를 텄다.	Seeing her adorably rattled, I couldn't help but feel a little smug. So I decided to toss her a lifeline.						0
39	话说回来，你什么时候来的？	話說回來，你什麼時候來的？	ところで、君はいつ来たんだ？	그나저나, 언제 왔어?	So, when did you get here?						0
40	昨晚，就在分析员睡着后。	昨晚，就在分析員睡著後。	昨日、分析員さんが眠ったあと……	어젯밤, 분석가님이 잠든 직후예요.	Last night, right after you fell asleep.						0
41	薇蒂雅下意识做出答复，然后又反应过来，慌张找补。	薇蒂雅下意識做出答覆，然後又反應過來，慌張找補。	ヴィディアは無意識に返事をしたが、すぐに我に返り、慌てて言い繕おうとした。	비디야는 무심코 대답했다가 뒤늦게 정신을 차리고는 당황하며 변명했다.	She answered without thinking — and then it hit her. Her eyes widened as she scrambled to backpedal.						0
42	……我不是想要夜袭分析员，我主要是不想打扰分析员休息。	……我不是想要夜襲分析員，我主要是不想打擾分析員休息。	……寝込みを襲おうとしたわけじゃありませんよ。分析員さんを起こしたくなかっただけです。	… 분석가님을 몰래 기습하려고 한 건 아니에요. 그저 분석가님의 휴식을 방해하고 싶지 않았을 뿐이에요.	I—I wasn't, like, trying to sneak into your bed or anything! I just... didn't want to wake you up, that's all!						0
43	薇蒂雅说完满脸通红捧着脸颊，一副不打自招，此地无银三百两的模样。我看得出来，她是在努力欺骗她自己……	薇蒂雅說完滿臉通紅捧著臉頰，一副不打自招，此地無銀三百兩的模樣。我看得出來，她是在努力欺騙自己……	そう言うと、ヴィディアは顔を真っ赤にして、頬を両手で覆った。言い訳にしてはあからさますぎる。どうやら、自分自身を頑張って騙そうとしているようだ……	비디야는 그렇게 말하고는 얼굴이 새빨개진 채 볼을 감싸 쥐었다. 도둑이 제 발 저린 듯 눈 가리고 아웅 하는 모습이었다. 분명 스스로를 속이려 애쓰는 듯한데…	Her face turned crimson as she cupped her cheeks, like someone who'd just confessed their own guilt and was now desperately trying to un-confess it. I could tell — she was just trying to convince herself.						0
44	毕竟下午才发生了那种事情，警戒很有必要！	畢竟下午才發生了那種事情，警戒很有必要！	だって午後にあんなことがありましたし、警戒する必要があると思ったんです。	아무래도 오후에 그런 일이 있었으니, 경계하는 게 당연하잖아요!	A—And anyway! After what happened yesterday afternoon, I figured... some extra security was totally justified!						0
45	所以我顺便试了下分析员房间的安保措施……然后……然后……	所以我順便試了一下分析員房間的保全措施……然後……然後……	なので、ついでに分析員さんの部屋のセキュリティを確認しようと……それから……それから……	그래서 분석가님 방 안의 보안 시스템을 살짝 테스트해 봤어요… 그러다가… 그러다가…	S—So I... um... took the liberty of testing your room's protection systems, and then...						0
46	在我的注视下，她越说视线越是游移，最后忍不住吞了口口水，心虚地将“然后”后面的话一起吞了下去，转移话题。	在我的注視下，她越說視線越飄移，最後忍不住吞了口口水，心虛地將「然後」後面的話一起吞了下去，轉移話題。	私の視線を感じたのか、彼女は視線を泳がせ、最後には残りの言葉と唾を一緒に飲み込み、話題を変えようとした。	내가 뚫어져라 바라보자, 그녀는 말을 이어갈수록 눈빛이 흔들렸다. 결국 침을 꼴깍 삼키더니, 눈치를 보며 '그러다가' 뒤의 말을 삼켜버리고는 화제를 돌렸다.	Under my gaze, her eyes darted away, and whatever confidence she had left began to unravel. She gulped — and let the rest of her sentence quietly die out, pivoting instead.						0
47	总之，可以确定昨晚是风平浪静，没有危机。不过……这不代表今天和明天都会平静。	總之，可以確定昨晚是風平浪靜，沒有危機。不過……這不代表今天和明天都會平靜。	とにかく、昨日の夜はなにも起きませんでしたが……今日も明日も、なにも起こらないとは限りません。	아무튼 어젯밤은 확실히 평온했고 아무런 위기도 없었어요. 하지만… 그렇다고 해서 오늘과 내일도 평온할 거란 보장은 없죠.	Anyway! The point is — last night was perfectly peaceful! But that doesn't mean today... or tomorrow... will be the same.						0
48	我，我会继续为分析员警戒！请分析员相信我！	我，我會繼續為分析員警戒！請分析員相信我！	ひ、引き続き警戒しておきますので！分析員さん、私を信じてください！	저, 저는 계속해서 분석가님을 위해 경계를 늦추지 않을게요! 분석가님, 저를 믿어주세요!	I—I'll keep watching over you, Adjutant! So please, trust me!						0
49	我当然相信你，那就辛苦你了。	我當然相信你，那就辛苦你了。	もちろん信じているよ。じゃあ、頼んだ。	물론이지. 그럼 수고해 줘.	Of course I trust you. And I appreciate everything you're doing for me.						0
50	我轻轻笑了笑，当作认可她的理由。只是薇蒂雅的话也让我想到了昨天下午发生的事情，在我们要去追上莉琪前，一群机器人像是失控般拦住我们。	我輕輕笑了笑，當作認可她的理由。只是薇蒂雅的話也讓我想到了昨天下午發生的事情，在我們要去追上莉琪前，一群機器人像是失控般攔住我們。	私は軽く笑って、ヴィディアの言い分を受け入れた。その言葉を聞いて、私は昨日午後の出来事を思い出した。リジを追ったとき、調査機たちが暴走したかのように、私たちを阻んだ。	나는 씩 웃으며 그녀의 핑계를 인정해 주었다. 다만 비디야의 말을 들으니 어제 오후에 있었던 일이 떠올랐다. 우리가 리지를 쫓아가려 할 때, 갑자기 로봇들이 나타나 폭주하며 우리를 가로막았다.	I gave her a gentle smile, letting her keep her cover story. But her words stirred memories of the previous day — right before we'd caught up to Lizzie, when that swarm of robots had suddenly appeared and blocked our path.						0
51	虽然调查的结果是那些机器人恰巧发生了一些程序错误，但我不认为这是单纯的意外，或者巧合。	雖然調查的結果是那些機器人剛好發生了一些程式錯誤，但我不認為這是單純的意外，或是巧合。	調査の結果、調査機たちはたまたまプログラムエラーを起こしていたようだが、どうも事故とは思えない。	조사 결과 당시 로봇들에게 프로그램 오류가 발생했던 것으로 나왔지만, 나는 이것이 단순한 사고나 우연이라고 생각하지 않았다.	The official report blamed it on a random programming glitch... But I wasn't convinced.						0
52	想到这里，我脑海再次浮现刚才的梦……	想到這裡，我腦海再次浮現剛才的夢境……	そう考えていると、先ほどの夢が再び頭に浮かんだ……	이런 생각이 들자, 아까 꿨던 꿈이 다시 떠올랐다…	The dream I'd just woken from resurfaced in my mind...						0
53	那些机器人的阻拦，会和莉琪遇到的事情有关吗？	那些機器人的阻攔，會跟莉琪遇到的事情有關嗎？	調査機たちからの妨害は、リジに起こった出来事と関係があるのだろうか？	그 로봇들이 우리를 막은 건, 리지의 일과 관련이 있을까?	Could those robots — and whatever happened to Lizzie — be connected?						0
54	我正思索着，砰砰的敲门声从门外传来。	我正思索著，砰砰的敲門聲從門外傳來。	考え込んでいるうちに、ドアをノックする音が聞こえてきた。	그렇게 생각에 잠겨있을 때, 밖에서 문을 쾅쾅 두드리는 소리가 들려왔다.	I was still lost in thought when a sharp knock at the door snapped me back.						0
55	分析员，分析员！！	分析員，分析員！！	分析員、分析員！！	분석가, 분석가!!	Adjutant! Adjutant!!						0
56	芙，芙提雅老师！？	芙，芙提雅老師！？	ふ、フリティア先生！？	프, 프티야 선생님!?	P—Professor Fritia!?						0
57	薇蒂雅回过神来，在我有些惊愕的注视下，简直像是带着残影一样迅速地起身。	薇蒂雅回過神來，在我有點驚訝的注視下，簡直像是帶著殘影一樣迅速地起身。	ヴィディアは驚くと、見張った目で彼女を見る私をよそに、残像が残る速さで立ち上がった。	정신을 차린 비디야는 놀란 나의 시선을 받으며 그림자처럼 빠르게 일어섰다.	Under my astonished gaze, Vidya shot to her feet, so fast it was like she left a blur behind.						0
58	在芙提雅拽着伊切尔闯进来之前，薇蒂雅已经推着眼镜，带着无比知性的气质，做出了一副若无其事的模样站在了我的床边。	在芙提雅拉著伊切爾闖進來之前，薇蒂雅已經推著眼鏡，帶著無比知性的氣質，做出了一副若無其事的模樣站在了我的床邊。	フリティアがイチェルを引きずって入ってくる前に、ヴィディアはメガネを押し上げ、知性に溢れた雰囲気で、何事もなかったように私のベッドの横に立っていた。	프티야가 이첼을 끌고 들어오기 직전, 비디야는 벌써 안경을 고쳐 쓰고 지적인 분위기를 풍기며 태연한 표정으로 내 침대 옆에 서 있었다.	And just as Fritia burst through the door, dragging Eatchel with her — Vidya had already slipped into full demure mode, standing primly by my bedside as if nothing had happened.						0
59	咦，你怎么……	咦，你怎麼……	え、なんでヴィディアが……	어라, 너 왜…	Hmm? What are you doing here...?						0
60	我是来叫分析员起床的。	我是來叫分析員起床的。	分析員さんを起こしにきました。	분석가님을 깨우러 왔어요.	I came to wake the Adjutant.						0
61	这样啊。	喔喔。	そうなんだ。	그렇구나.	Ohhh, I see.						0
62	因为薇蒂雅的模样很正常，芙提雅完全没有任何怀疑……不过在和我独处的时候，这姑娘完全不一样啊。	因為薇蒂雅的樣子很正常，芙提雅完全沒有任何懷疑……不過在跟我獨處的時候，這人完全不一樣啊。	ヴィディアの様子が普通だったからか、フリティアはまったく疑わなかったようだ。私とふたりきりのときの雰囲気とは、まったく違うようだ。	너무나 자연스러운 비디야의 모습에 프티야는 전혀 의심하지 않았다… 하지만 나와 단둘이 있을 때면 비디야는 완전히 다른 사람이 되곤 한다.	Seeing her standing there all calm and proper, Fritia didn't suspect a thing. But wow... when we're alone, she's a completely different person.						0
63	分析员~我好困。	分析員~我好睏喔。	分析員、眠いよぉ。	분석가~ 너무 졸려.	Adjutant~ I'm so sleepy...						0
64	这时，被芙提雅拽过来的伊切尔睡眼惺忪，摇摇晃晃向我走来，然后在床边毫无意外被绊倒，直接倒进了我的怀里。	這時，被芙提雅抓過來的伊切爾睡眼惺忪，搖搖晃晃向我走來，然後在床邊毫無意外被絆倒，直接倒進了我的懷裡。	そのとき、フリティアに引きずられてきたイチェルが眠そうにふらふらと私の方に歩いてきた。だが案の定ベッドの横で足を滑らせて、私の腕の中に倒れ込んできた。	그때, 프티야에게 이끌려 온 이첼이 눈을 반쯤 감은 채 비틀거리며 내게 다가왔고, 예상대로 침대 가장자리에서 발이 걸려 넘어지는 바람에 그대로 내 품에 쓰러졌다.	Dragged here against her will, Eatchel shuffled over — half-asleep and barely upright. And right on cue, she tripped at the edge of the bed... and landed straight in my arms.						0
65	呼呼~	呼呼~	くんくん……	후우~	Ahhh~						0
66	分析员的身上，有香香的味道。	分析員的身上，有香香的味道。	分析員、いい匂いがする……	분석가 몸에서 좋은 향기가 나.	You smell nice, Adjutant...						0
67	咦~？嗅！嗅！	咦~？嗅！嗅！	あれ？くんくん！くんくん！	어라~? 킁! 킁!	Hmm~? *sniff*						0
68	……！	……！	……！	…!	...!						0
69	眼见伊切尔逐渐清醒起来，在床边的薇蒂雅登时无法保持方才的平静。	眼見伊切爾逐漸清醒起來，在床邊的薇蒂雅頓時無法保持剛才的平靜。	イチェルが徐々に目を覚ますのを見て、ベッドのそばにいたヴィディアは途端に落ち着きを失った。	점점 깨어나는 이첼을 보자, 침대 옆의 비디야는 더 이상 아까의 평온함을 유지할 수 없었다.	As Eatchel stirred awake, I caught a flicker of tension in Vidya — her perfectly polished mask beginning to crack.						0
70	不过这时芙提雅有些慌张地打断了我们的思绪。	不過這時芙提雅有點慌張地打斷了我們的思緒。	しかし、フリティアが慌てた様子で割り込んできた。	하지만 이때 프티야가 황급히 우리의 흐름을 끊었다.	But before things could spiral, Fritia stepped in, her tone flustered.						0
71	分析员，芙提雅老师知道了！	分析員，芙提雅老師知道了！	分析員、私、わかったよ！	분석가, 프티야가 알아냈어!	Adjutant! I've figured it out!						0
72	昨天莉琪小姐留下来的那株植物是什么。	昨天莉琪小姐留下來的那株植物是什麼。	リジが残したあの鉢植えの正体がね！	어제 리지가 남기고 간 그 식물 말이야.	I know what that plant Miss Lizzie left behind is!						0
73	我让猫汐尔去查了学院的资料库，那个东西是芙提雅老师毕业后一段时间学院新弄出来的特殊造物，叫作生命草！	我請貓汐爾去查了學院的資料庫，那個東西是芙提雅老師畢業一段時間後學院新弄出來的特殊造物，叫作生命草！	マーシルに頼んで、学院のデータベースを調べてもらったんだけど、あれは学院が開発した、生命草ってものだよ！	내가 캣 시에라한테 아카데미 데이터베이스를 조사해달라고 했는데, 그건 프티야가 졸업하고 난 후에 아카데미에서 새로 만들어낸 특수 생명체, 생명초였어!	I had Mauxir dig through the Acropolis' archives, and it turns out that thing's one of their biotech creations — developed shortly after I graduated. It's called a Zoephoros!						0
74	生命草？	生命草？	生命草？	생명초?	Zoephoros?						0
75	没错，生命草！	沒錯，生命草！	そう、生命草！	맞아, 생명초!	That's right. Essentially a "life plant."						0
76	芙提雅的语气认真，脸上带着淡淡的同情和哀伤。	芙提雅的語氣認真，臉上帶著淡淡的同情和哀傷。	フリティアは真剣に、淡い同情と悲しみが浮かべてこう言った。	프티야의 말투는 진지했으나, 표정에는 동정심과 슬픔이 묻어나고 있었다.	Her tone was serious — and in her expression, I saw a flicker of sympathy... and quiet sorrow.						0
77	那株草是可以和人的生命绑定的，研究出来后在一些特殊情况下用作生命情况监测的工具。	那株草是可以和人的生命綁定的，研究出來後在一些特殊情況下用作生命情況監測的工具。	特殊な状況でバイタルサインを確認するための道具として開発されたらしいの。要するに、特定の人物の死活がわかるものなんだ。	그 식물은 사람의 생명과 연결할 수 있어. 연구 과정을 거쳐 특수 상황에서 누군가의 생명 상태를 모니터링하는 도구로 사용되었지.	The plant is capable of forming a life-link with a human. It was designed to monitor vital signs in extreme or delicate cases.						0
78	而那株草死亡的话，就代表着……	而那株草死亡的話，就代表著……	あの鉢植えが枯れてるってことは……	그런데 그 식물이 죽었다는 것은, 곧…	And if it withers... that means...						0
79	……	……	……	…	...						0
80	无须芙提雅说完，我已经明白了莉琪昨天变化的原因。	無須芙提雅說完，我已經明白了莉琪昨天變化的原因。	フリティアに言われるまでもなく、私はリジがあんな様子を見せた理由を知った。	프티야가 말을 끝내기도 전에, 나는 리지가 어제 그런 반응을 보인 이유를 이해했다.	She didn't need to finish the sentence. I'd already put the pieces together. Suddenly, Lizzie's reaction the previous day made perfect sense.						0
81	与此同时，一条新的信息发到我通讯终端。	同時，一則新的訊息發到我通訊終端。	同時に、新しいメッセージが私の端末に届いた。	바로 그때, 내 통신 단말기로 새로운 메시지가 도착했다.	Just then, my terminal pinged with a new notification.						0
82	分析员，你最最可靠的猫汐尔给你发送了一条信息喵。	分析員，你最最最可靠的貓汐爾傳送了一條訊息給你喵。	分析員の一番頼りになるマーシルからメッセージが届いたニャン。	분석가, 가장 믿음직한 캣 시에라가 메시지를 보냈다냥.	Adjutant, this is Mauxir — your most reliable helper, nya~						0
83	我看着猫汐尔发来可爱的猫猫头表情，本来想要回复，可随后我的目光完全被下一条消息攫取。	我看著貓汐爾傳來可愛的貓貓頭貼圖，本來想要回覆，但隨後我的目光完全被下一則訊息攔截。	マーシルから送られてきた、可愛らしいネコのスタンプに返信しようとしたが、私は次のメッセージに目を奪われた。	캣 시에라가 보낸 귀여운 고양이 이모티콘을 보고 답장하려던 중, 그다음 메시지에 눈길이 갔다.	Her message ended with a cutesy cat emoji. I was just about to type a reply — when my eyes caught the next alert on the screen.						0
84	早上时间7点，在前端小镇高能研究所发生恶性杀人事件，被害人为量子科技研究室负责人提娅。据悉嫌疑人……为量子科技研究室的预备研究员……	早上時間7點，前端小鎮高能研究所發生惡性殺人事件，被害人為量子科技研究室負責人提婭。據悉，嫌犯……為量子科技研究室的預備研究員……	午前7時、前線街の高エネルギー研究所で殺人事件が発生した。被害者は量子科学研究室責任者のティア。容疑者は……量子科学研究室の予備研究員……	아침 7시, 최전방 마을의 고성능 에너지 연구소에서 살인 사건이 발생했다. 피해자는 양자 기술 연구실의 책임자 티아. 용의자는… 양자 기술 연구실의 예비 연구원…	7:00 AM, today. A brutal homicide occurred at the High-Energy Research Institute in Frontline Town. Victim: Tia, Head of the Quantum Sciences Lab. Prime suspect: Lizzie, probationary researcher at the same lab.						0
85	莉琪。	莉琪。	リジ。	리지.	Lizzie.						0
86	莉琪！！？？？	莉琪！！？？？	リジ？？？！！	리지!!???	Lizzie!!??						0
87	等等！！！！！！！	等等！！！！！！！	ちょ、ちょっと待ってくれ！！！！！！！	잠깐!!!!!!!	Wait—!!!						0
88	这个照片是！？？	這個照片是？！！	この写真は！？？	이 사진은!??	And what's this photo!?						0
89	这就是陶董最后告诉我的话，至于这个东西……她没说具体是什么，只让我转交给你，说你可能会用得上。	這就是τ董最後告訴我的話，至於這個東西……她沒詳細說是什麼，只叫我轉交給你，說你可能會用得到。	τさんが最後に教えてくれたことなんです。これについては……詳しく教えてくれませんでしたが、役に立つかもしれないので分析員に渡してほしいと仰ってました。	이건 τ 이사님이 마지막으로 제게 하신 말씀이에요. 이 물건에 대해서… 자세한 설명은 없었고, 분석가님이 쓰게 될 거라면서 전해달라고 하셨어요.	That was the last message Director τ asked me to pass on. As for this... She didn't tell me exactly what it is — just said I should give it to you. That you might find it useful.						0
90	如果用不上，就等她醒来后再还给她。	如果用不到，就等她醒來後再還給她。	使わなかった場合、目を覚ましたあとに返してほしい、とのことです。	쓸 일이 없다면, 이사님이 깨어나신 후에 돌려드리면 돼요.	And if you don't use it, just return it to her when she wakes up.						0
91	然后，她还说了，分析员去到学院后，可以先去找找这个人。在对付埃达这件事上，她或许可以给你提供一些线索或者帮助。	然後，她還說了，分析員去到學院後，可以先去找這個人。在對付埃達這件事上，她或許可以提供你一些線索或幫助。	あ、それから、エッダの件でいろいろ助かるかもしれないから、学院に着いたら、まずこの人を探してみるといいとも仰ってました。	그리고 분석가님이 아카데미에 가면 먼저 이 사람을 찾아보라고 하셨어요. 에다를 상대하는 일에 어떠한 단서나 도움을 줄 수 있을 거래요.	Oh, one more thing. She said that once you're at the Acropolis, you should look for this woman. She might be able to point you in the right direction when it comes to dealing with Edda.						0
