xxx_1961593440	A	A	A	A	A	A	A	A	A	A	A
29	我分明感觉到，自己切实抓住了这把刀的刀柄。	我明明感覺到，自己切實抓住了這把刀的刀柄。	確かに柄を握っている感触はあった。	나는 분명히 이 칼의 칼자루를 잡았고, 그걸 느낄 수 있었다.	I could feel it — the hilt was solid in my grip.						0
30	可我伸出另一只手，去触碰刀刃的部分，摸到的就只有空气。	但我伸出另一隻手，去觸碰刀刃的部分，摸到的就只有空氣。	しかし、もう片方の手で刃に触れようとすると、そこにあるのは空気だけだった。	하지만 다른 손을 뻗어 칼날 부분을 만져보니 공기만 느껴질 뿐이었다.	But as I reached out with my other hand to touch the blade itself — there was nothing there. Just empty air.						0
31	而此时芙提雅看着我隔着布抓着的刀柄部分，忽然恍然大悟。	而此時芙提雅看我隔著布抓著的刀柄部分，忽然恍然大悟。	そのとき、フリティアは私が布越しに握っている柄のほうを見て、なにかに気づいたようだ。	이때 프티야는 내가 천 너머로 칼자루를 잡은 모습을 보더니, 갑자기 모든 것을 깨달았다.	That's when Fritia, staring at the fabric-wrapped hilt in my hand, suddenly froze — and then her eyes lit up.						0
32	难怪它需要被放在量子科技研究室研究。	難怪它需要被放在量子科技研究室研究。	なるほどぉ！だから量子科学研究室で研究してるんだ！	그래서 양자 기술 연구실에서 연구한 거였구나.	Ahh, now that explains why it ended up in the Quantum Sciences Lab for study.						0
33	分析员！芙提雅老师可能明白了。	分析員！芙提雅老師可能明白了。	分析員、私、わかったかも！	분석가! 프티야 선생님은 알 것 같아.	Adjutant, I think I've figured it out.						0
34	这个叫作观测之刃的东西，应该是有一旦被观测，就会在物质世界坍缩的特性。	這個叫作觀測之刃的東西，應該是有一旦被觀測，就會在物質世界坍縮的特性。	観測の刃は、観測されたら物質世界で崩壊する特性があるんじゃないかな？	이 관측 칼날이라는 물건에는 누군가에게 관측되면 물질세계에서 붕괴한다는 특성이 있을 거야.	This "Observer's Blade" — its anomaly must be that it collapses out of the physical world the moment it's observed.						0
35	简单来说，它只要被我们观测到，就会消失。	簡單來說，它只要被我們觀測到，就會消失。	要するに、私たちに見られると消えちゃうんだと思う。	쉽게 말하자면, 우리가 관측하면 사라진다는 거야.	In simpler terms: the act of looking at it makes it vanish.						0
36	只要被观测到，就会消失……所以才要用布包裹着啊。	只要被觀測到，就會消失……所以才要用布包裹著啊。	見られてると消える……だから布で覆われてるのか。	관측되면 사라진다… 그래서 천으로 감싸야 했구나.	It disappears the moment it's observed... so that's why it has to be kept wrapped.						0
37	我将掀开的布包回小刀，果不其然，隔着布我能清晰摸到小刀的实体。	我將掀開的布包回小刀，果不其然，隔著布我能清晰摸到小刀的實體。	私はめくった布をもう一度ナイフに巻き戻した。案の定、布越しにナイフに触れることができた。	나는 젖혔던 천으로 다시 단검을 감쌌다. 아니나 다를까 천 너머로 분명하게 단검의 실체를 만질 수 있었다.	I folded the cloth carefully back over the blade — and there it was again. Solid, unmistakable, right beneath my fingertips.						0
38	……！	……！	……！	…!	...!						0
39	分析员，我好像明白了。	分析員，我好像明白了。	分析員さん、つまりこういうことですよね？	분석가님, 알 것 같아요.	Adjutant. I think I figured it out.						0
40	如果被害人……在进一步检查后，还是被认定没有另外的死因，那么……她的真正死因说不定……	如果被害人……在進一步檢查後，還是被認定沒有另外的死因，那麼……她的真正死因說不定……	被害者を……改めて検査しても、他の死因が見つからなかったら、本当の死因はもしかして……	만약 피해자에게… 심층 검사를 한 뒤에도 다른 사인을 찾을 수 없다면… 피해자의 진짜 사인은, 어쩌면…	If further autopsy rules out any other cause of death... then this very well might be it...						0
41	是啊。	是啊。	そうだな。	그래.	Exactly.						0
42	正因为这把刀隐藏的秘密，所以我们在进入实验室的路上受到了不少阻碍。	正因為這把刀隱藏的秘密，所以我們在進入實驗室的路上受到了不少阻礙。	このナイフの秘密のせいで、研究所に入る途中でいくつもの邪魔が入ったんだ。	이 칼의 숨겨진 비밀 때문에 우리가 실험실로 가는 동안 많은 장애물이 있었던 거야.	The secret behind this blade is why we ran into so much resistance getting here.						0
43	只要我们摸清楚了这把刀的特性，不少谜题就自动在我们面前被解开了。	只要我們摸清楚了這把刀的特性，不少謎題就自動在我們面前被解開了。	この特性を前提にすれば、いくつかの謎が自然に解けるようになった。	우리가 이 칼의 특성을 분명히 파악하기만 하면 많은 수수께끼가 자동으로 풀릴 것이다.	Now that we'd confirmed the blade's true nature, a lot of pieces began falling into place.						0
44	不过，这个案件，还没有完全结束。	不過，這個案件，還沒完全結束。	でも、事件は完全には終わっていない。	하지만 이 사건은 아직 완전히 끝나지 않았다.	But that didn't mean the case was closed.						0
45	锁定凶手，知道凶手是用了什么方法杀死被害人是一回事。	鎖定兇手，知道兇手是用了什麼方法殺死被害人是一回事。	犯人と殺害方法を特定するのは大事だが……	범인을 특정하고, 범인이 어떤 방법으로 피해자를 살해했는지를 알아내는 것과,	Identifying the method and the culprit was only half the battle.						0
46	怎么证明是凶手杀的人，发掘出对方的动机，找出这事件背后隐藏的一些信息，又是另外一回事。	怎麼證明是兇手殺的人，挖掘出對方的動機，找出這事件背後隱藏的一些訊息，又是另外一回事。	それを証明し、相手の動機を判明させて、事件の後ろに隠された情報を見つけるのも大事だ。	범인의 범행을 증명하고, 살해 동기를 알아내고, 사건 이면에 숨겨진 정보를 찾아내는 것은 별개의 문제이다.	Proving it — unearthing motive, exposing what lay beneath the surface — that was a different challenge entirely.						0
47	砰！	砰！	ドン！	펑!	*THUMP—!*						0
48	警告！警告！	警告！警告！	警告！警告！	경고! 경고!	Warning! Warning!						0
49	就在这时，实验室的一角，自动破案机发出凄惨的警报声。	就在這時，實驗室的一角，自動破案機發出淒慘的警報聲。	ちょうどそのとき、実験室の隅から自動調査機のけたたましい警報音が響いた。	바로 그때, 실험실 구석에서 추리 로봇이 처절한 경보음을 울렸다.	Suddenly, from the corner of the lab, the Detective Bot let out a shrill alarm.						0
50	我迅速将观测之刃放入小型的异变奇物保险柜，和薇蒂雅她们将莉琪保护在中央，进行戒备。	我迅速將觀測之刃放入小型的異變奇物保險箱，和薇蒂雅她們將莉琪保護在中央，進行戒備。	私は急いで観測の刃を小型金庫にしまい、ヴィディアたちと一緒にリジを守りながら警戒態勢に入った。	나는 재빨리 관측 칼날을 소형 돌연변이 기물 보안 상자에 넣고, 비디야 일행과 함께 리지를 가운데에 보호한 뒤 경계 태세를 취했다.	Instinctively, I secured the Observer's Blade inside the containment case. Everyone closed in protectively around Lizzie, staying alert.						0
51	可在数秒的警戒过后，都没有任何异常发生。	但在數秒的警戒過後，都沒有任何異常發生。	だが、数秒間警戒したあと、なにも起こらなかった。	몇 초간 경계했지만 아무 일도 일어나지 않았다.	But after a few tense seconds... Nothing.						0
52	转头看去，在不远处的地板上，自动破案机悲惨地挣扎着，然而不论它怎么做，都无法从地板上爬起。	轉頭看去，在不遠處的地板上，自動破案機悲慘地掙扎著，然而不論它怎麼做，都無法從地板上爬起來。	振り返ると、近くの床の上で、自動調査機が惨めにもがいていた。どうやっても起き上がれないようだ。	고개를 돌려 보니 근처의 바닥에서 추리 로봇이 비참하게 발버둥 치고 있었다. 하지만 아무리 발버둥 쳐도 바닥에서 일어날 수 없었다.	I turned and saw the Detective Bot wiggling pitifully on the floor like a stranded beetle, unable to get back up no matter how hard it tried.						0
53	……警告！警告！	……警告！警告！	……警告！警告！	… 경고! 경고!	...Warning! Warning!						0
54	有东西绊倒了本机。	有東西絆倒了本機。	何かにアシをすくわれましタ。	누군가가 저를 넘어뜨렸어요.	This unit has been tripped.						0
55	需要好心人的帮助。	需要好心人的幫助。	助けてくだサイ。	선량한 사람의 도움이 필요해요.	Assistance from a kind human is requested.						0
56	……	……	……	…	...						0
57	我走过去，将地上的机器人扶起。	我走過去，將地上的機器人扶起。	私は調査機に近寄り、それを起こした。	내가 다가가서 바닥에 쓰러진 로봇을 일으켜 세웠다.	I walked over and helped it up.						0
58	你没事吧？	你沒事吧？	大丈夫か？	괜찮아?	You alright?						0
59	系统自检完成，是一点事都没有的没有一点事！	系統自我檢查完成，是一點事都沒有的沒有一點事！	自己診断、完了しましタ。ワタシは大丈夫でス。	시스템 자체 점검 완료. 아무 문제 없는 정상입니다!	System self-check complete! This unit is perfectly fine — absolutely, 100% fine!						0
60	谢谢分析员哥哥。	謝謝分析員哥哥。	ありがとうございまス、分析員お兄ちゃん。	감사합니다, 분석가 오빠.	Thank you, Mr. Adjutant~						0
61	你真想谢谢我就别这样称呼我了。	你真的想謝謝我就別這樣稱呼我了。	感謝する前にその呼び方をやめてくれないか。	정말 감사하고 싶으면 그렇게 부르지 말라고.	If you really wanted to thank me, maybe tone down that syrupy tone a notch.						0
62	我很想这么吐槽。	我很想這麼吐槽。	私は心の中でそうツッコんだ。	진심으로 이렇게 내뱉고 싶었다.	...But I kept that comment to myself.						0
63	这时我也发现了它平地摔的原因，四周的地板几乎被杂物掩埋了。	這時我也發現了它平地摔的原因，四周的地板幾乎被雜物掩埋了。	調査機が転んだ理由は明らかだ。周りの床はほとんど物で埋もれていたのだ。	그때, 나는 로봇이 넘어진 이유를 알아냈다. 주위의 바닥이 온통 잡동사니로 깔려있었다.	Looking around, I noticed the floor was a mess — scattered tools, stacked crates, stray wires. No wonder the robot had tripped.						0
64	而等我站起身来的时候，忽然发现，薇蒂雅正双手捧着脸颊，直直盯着我不动。	而等我站起來的時候，突然發現，薇蒂雅正雙手捧著臉頰，直直盯著我不動。	私が立ち上がると、ヴィディアは両手で頬を包み込み、じっと私を見つめていた。	그리고 내가 몸을 일으키자, 비디야가 갑자기 양손으로 얼굴을 받친 채 지그시 나를 바라보고 있었다.	As I straightened up, I caught Vidya staring at me. Cheeks cupped, eyes wide, completely entranced.						0
65	薇蒂雅，怎么了吗？	薇蒂雅，怎麼了嗎？	ヴィディア、どうかしたのか？	비디야, 왜 그래?	Vidya? What's wrong?						0
66	没，没什么……	沒，沒什麼……	い、いえ、なんでもありません……	아, 아무것도 아니에요…	Oh, n—nothing's wrong. Really.						0
67	如果我摔倒了，分析员也能这么扶我起来吗？	如果我跌倒了，分析員也能這樣扶我起來嗎？	私が転んでも、分析員さんはこうして起こしてくれますか？	제가 넘어졌어도 분석가님은 이렇게 일으켜 세워주셨을까요?	Say... if I tripped, would you help me up like that too?						0
68	这不是肯定的事情吗？	這不是肯定的嗎？	あたりまえじゃないか。	당연한 거 아니야?	Of course I would.						0
69	嘿，嘿~我知道了。	嘿，嘿~我知道了。	え、えへぇ……わかりましたぁ♪	헤, 헤헤~ 알겠어요.	Hehe~ I knew it.						0
70	薇蒂雅脸颊上的红晕一下子变得更深。	薇蒂雅臉頰上的紅暈一下子變得更深。	ヴィディアの頬はさらに赤く染まった。	비디야의 얼굴에 띤 홍조가 더 짙어졌다.	Her cheeks flushed an even deeper shade of red.						0
71	奔向心爱之人的少女，完全没有注意到脚边非常懂得读气氛的障碍物。	奔向心愛之人的少女，完全沒有注意到腳邊非常懂得讀氣氛的障礙物。	愛する人に向かって走る少女は、足元の小石にまったく気づかなくて……	사랑하는 사람에게 달려가는 소녀는 전혀 눈치채지 못했죠. 발치에 분위기 파악을 매우 잘하는 장애물이 있다는걸요.	"The heroine — running toward her beloved, eyes sparkling, completely unaware of the obstacle so artfully placed in her path..."						0
72	然后哎呀一声，在心爱之人面前激烈地被绊倒。	然後唉呀一聲，在心愛之人面前激烈地被絆倒。	「きゃっ」って悲鳴を上げながら彼の前で転倒して……	그리고 '아야' 하는 소리와 함께 사랑하는 사람 앞에서 격렬하게 넘어지죠.	"She stumbles — whoops! — and lands right at his feet..."						0
73	并且摔出了所有秘密都在心爱之人面前一览无余的奇迹般的姿势，尽情展示自己所有的魅力。	並且摔出了所有秘密都在心愛之人面前一覽無遺且奇蹟般的姿勢，盡情展現自己所有的魅力。	奇跡的にすべての秘密をさらけ出すポーズで、自分の魅力を見せびらかす……	게다가 사랑하는 사람 앞에서 모든 비밀이 드러나는 기적 같은 자세를 취하고, 자신의 매력을 마음껏 발산하는 거예요.	"Landing in the perfect pose, one that shows off... well, everything. Every ounce of her charm, revealed to the love of her life in one dramatic, heart-pounding moment."						0
74	很难想象，那到底是什么样的姿势啊……	很難想像，那到底是什麼樣的姿勢啊……	どんなポーズだよ、それ……	상상도 안 간다. 그건 대체 어떤 자세일까…	I couldn't even begin to imagine what kind of pose she had in mind...						0
75	嘿嘿……	嘿嘿……	ふふ……	헤헤…	Hehe...						0
76	看到这样的景象……心爱之人会是什么样的反应呢？	看到這樣的景象…心愛之人會是什麼樣的反應呢？	それを見た相手は、なんて反応をするんでしょう……	이런 모습을 보면… 사랑하는 사람은 어떤 반응을 보일까요?	"And then, what would he do? Seeing her like that?"						0
77	光是想想，都觉得心跳扑通扑通开始加速了。	光是想想，都覺得心跳撲通撲通開始加速了。	考えるだけでドキドキしますね……	상상만 해도 심장이 너무 두근거리네요.	Ahh... just thinking about it — my heart's practically ready to burst~!						0
78	可是，薇蒂雅不是这么容易就会摔倒的人吧……	可是，薇蒂雅不是這麼容易就會跌倒的人吧……	でも、ヴィディアはそんな風に転ぶような人じゃないだろう……	하지만 비디야는 그렇게 쉽게 넘어지는 사람이 아니잖아…	But... Vidya, you're not exactly the clumsy type to trip that easily, are you?						0
79	咕呜……？？	咕嗚……？？	えっ……？？	켁…??	Ngh...!?						0
80	下一刻，我看到薇蒂雅像是失去了所有的动力，无力地蹲了下来。	下一刻，我看到薇蒂雅像是失去了所有的動力，無力地蹲了下來。	次の瞬間、ヴィディアは一気にガスを抜かれたかのように、力なくしゃがみ込んだ。	다음 순간, 비디야가 모든 의욕을 잃은 듯 힘없이 웅크려 앉았다.	She instantly deflated, crouching down like a popped balloon.						0
81	如果可以的话……真想合理地在分析员面前这样摔倒一次啊。	如果可以的話……真想合理地在分析員面前這樣摔倒一次啊。	できることなら……分析員さんの前で合理的に転びたいですね……	가능하다면… 정말 합리적으로 분석가님 앞에서 이렇게 넘어져 보고 싶네요.	If only... just once... I could really trip in front of you for a good reason...						0
82	虽然看不到她脑中的画面，但我觉得她想象的摔倒方式应该不怎么合理。	雖然看不到她腦中的畫面，但我覺得她想像的跌倒方式應該不怎麼合理。	彼女が思い浮かべる光景は見えないが、きっと合理的じゃない転び方を想像しているんだろう。	그녀의 머릿속 화면을 볼 수는 없지만, 그녀가 상상하는 넘어지기 방법은 그다지 합리적이지 않을 것 같았다.	I couldn't see what wild movie was playing out in her head, but I had a feeling it defied both logic and gravity.						0
83	要不下次拍的电影，就加上女主角总是在男主面前摔倒的设定吧……	要不然下次拍的電影，就加上女主角總是在男主角面前跌倒的設定吧……	今度の映画で、ヒロインは男主人公の前でよく転ぶ設定にしようかな……	다음에 찍을 영화에 여주인공이 남주인공 앞에서 자꾸 넘어지는 설정을 추가해 볼까…	Next time we shoot a film, let's write it in — the heroine keeps "accidentally" falling into the hero's arms... again and again...						0
84	看她这么期待的样子，虽然不知道薇蒂雅想给我展示的是怎样的画面，但我决定还是给她支持。	看她這麼期待的樣子，雖然不知道薇蒂雅想展示給我的畫面是怎樣的，但我決定還是給她支持。	こんなに期待している様子を見ると、なにを見せたいのかわからないが、私は彼女を応援しようと思った。	그녀가 기대하는 모습을 보며, 비디야가 나에게 보여주려는 게 어떤 모습인지는 알 수 없었지만 그래도 응원하기로 했다.	She looked so delighted by the idea that I decided to play along, even if I still had no idea what kind of scene she was imagining.						0
85	不用等到拍电影的时候，只要你想这么做就可以。	不用等到拍電影的時候，只要你想這麼做就可以。	映画じゃなくても、君がしたいことをすればいいと思うが。	굳이 영화를 찍을 것도 없어. 네가 그러고 싶으면 그래도 돼.	No need to wait for our next movie. If you're really set on the idea, feel free to improvise whenever the mood strikes.						0
86	真，真的可以吗？	真、真的可以嗎？	い、いいんですか？	저, 정말요?	R—Really!?						0
87	薇蒂雅像是忽然从我的面前蹦了起来，可在下一刻，她忍不住轻咦一声。	薇蒂雅像是突然從我的面前蹦了起來，但在下一刻，她忍不住輕咦一聲。	ヴィディアが突然目の前で飛び上がった。次の瞬間、彼女はまた困惑した声を上げた。	비디야가 내 앞에서 갑자기 폴짝 뛰어오르더니, 곧이어 작은 감탄사를 내뱉었다.	Vidya practically sprang to her feet, but a moment later, she froze with a soft gasp.						0
88	等等……这下面。	等等……這下面。	待ってください。この下に……	잠깐만요… 이 아래…	Wait... there's something down here.						0
89	一瞬间，少女的表情便发生了变换。她神情严肃地蹲下身子，敲了敲地板，听到了底下轻脆的回响。	一瞬間，少女的表情便發生了變化。她神情嚴肅地蹲下身子，敲了敲地板，聽到底下輕脆的迴響。	少女の表情は一瞬で変わった。ヴィディアは真剣な面持ちでしゃがみ込み、床を叩いて、下からのかすかな反響を聞いた。	순식간에 소녀의 표정이 변했다. 그녀가 진지한 표정으로 몸을 웅크려 바닥을 두드리자, 가볍게 울리는 메아리가 들렸다.	Her demeanor shifted in a flash. She crouched low, tapped her knuckles against the floor — and a faint, hollow thump echoed back.						0
90	分析员，在这下面，好像还有房间。	分析員，在這下面，好像還有房間。	分析員さん。どうやら隠し部屋があるみたいです。	분석가님, 이 아래에 방이 있는 것 같아요.	Adjutant, I think there's a space beneath us.						0
91	我微微愣了愣，然后帮着薇蒂雅一起把地板上的杂物清理干净。	我微微愣了愣，然後幫忙薇蒂雅一起把地板上的雜物清理乾淨。	私は一瞬固まって、すぐヴィディアと一緒に散らばっている物を片付けはじめた。	나는 잠시 멍하니 있다가 비디야를 도와 바닥의 잡동사니를 정리했다.	I froze for a moment in thought, then helped Vidya clean up the scattered items on the floor.						0
92	而在杂物清理干净后，出现在我们面前的是一个封闭地下入口的机械门。	而在雜物清理乾淨後，出現在我們面前的是一個封閉地下入口的機械門。	片付けが終わると、私たちの前に、地下へのハッチらしきものが現われた。	잡동사니를 정리하자, 지하의 입구를 봉쇄한 기계식 문이 우리 앞에 나타났다.	And sure enough — beneath the mess was a sealed mechanical hatch.						0
93	咦，这个地下是……	咦，這個地下是……	あれ、まだ下があるの……？	앗, 이곳의 지하는…	Huh? What's down there...?						0
94	我下载的地图里完全没有这个地下通道的信息。	我下載的地圖裡完全沒有這個地下通道的資訊。	ダウンロードした地図には地下の情報なんてまったく載ってないんだけど。	내가 다운로드한 지도에는 이 지하 통로에 대한 정보가 전혀 없어.	A passage under this lab wasn't on the map I downloaded.						0
95	这个门……好像没有锁上……	這個門……好像沒有上鎖……	このドア、鍵がかかってませんね……	이 문은… 잠겨 있지 않은 것 같아요.	And look — the hatch isn't even locked...						0
96	薇蒂雅尝试提拉了一下机械门的把手，结果轻而易举将其拉了起来。	薇蒂雅嘗試提拉了一下機械門的把手，結果輕而易舉地將其拉了起來。	ヴィディアがハッチの取っ手を引っ張ってみると、それはあっさり開いた。	비디야가 기계식 문의 손잡이를 살짝 올리자 문은 의외로 쉽게 열려 버렸다.	She reached out and gave the handle a cautious tug.						0
97	一个往下的通道袒露在了我们的面前。	一個往下的通道暴露在了我們的面前。	下へ続く通路が私たちの目の前に現れた。	아래로 통하는 통로가 우리 앞에 나타났다.	It opened easily, revealing a dark passageway leading down below.						0
98	不会是什么陷阱之类的地方吧？	不會是什麼陷阱之類的地方吧？	まさか、罠とかじゃないよね……	함정 같은 건 아니겠지?	Could it be a trap?						0
99	分析员，我可以下去看看。	分析員，我可以下去看看。	分析員さん、私、見てきますね。	분석가님, 제가 내려가 볼게요.	Adjutant, I'll go check it out.						0
100	不，我和你一起下去。	不，我跟你一起下去。	いや、私も一緒に降りる。	아니, 나도 같이 갈게.	I'm going with you.						0
