xxx_3638816570	A	A	A	A	A	A	A	A	A	A	A
14	别在意，这只是我的口癖喵。	別在意，這只是我的口癖喵。	気にしなくていいよ、これは口癖だニャン。	별거 아니다. 그냥 내 말버릇이다냥.	Don't mind it — just my catchphrase, nya.						0
15	顺便说明，平板与博爱之神是我三秒前刚编的设定喵。	順便說明，平板與博愛之神是我三秒前剛編的設定喵。	ちなみに、「つるぺたと博愛の神」は3秒前に作ったばかりの設定だニャン。	참고로 알려주자면, 태블릿과 사랑의 신은 내가 3초 전에 지어낸 설정이다냥.	Also, that "goddess"? Totally made it up three seconds ago, nya.						0
16	明白了……	明白了……	わかりマシタ……	알겠습니다…	...I see.						0
17	居然已经学会赶在我之前，自己吐槽自己了……	居然已經學會趕在我之前，自己吐槽自己了……	私よりも前に、自分で自分にツッコむようになったとは……	내가 지적하기도 전에 그녀가 먼저 스스로 설명하다니…	Huh. She beat me to the punch — roasting herself before I even had the chance.						0
18	总之，先让我检查下分析员有没有受伤喵。	總之，先讓我檢查一下分析員有沒有受傷喵。	まずは分析員が怪我してないか確認させてニャン。	아무튼, 일단 분석가가 다친 데는 없는지 확인해보겠다냥.	Anyway, let me check whether the Adjutant's hurt, nya.						0
19	对对，要好好检查才行！	對對，要好好檢查才行！	そうそう、ちゃんと確認しなきゃ！	그래, 그래. 꼼꼼히 확인해야지!	Yes, yes! We have to be thorough!						0
20	贴贴喵——	貼貼喵——	ニャ――！	안아보자냥~	Here we go, nya~!						0
b-1											0
21	喂，猫汐尔……	喂，貓汐爾……	おいちょっと、マーシル！	잠깐, 캣 시에라…	Hey, Mau...						0
22	还没等我把话说完，两个娇小的女孩便撞入怀中。芙提雅纤细的手指轻轻拂过我的手臂与胸膛，而猫汐尔则蹲下身仔细地检查起我的下半身。	還沒等我把話說完，兩個嬌小的女孩便撞入懷中。芙提雅纖細的手指輕輕拂過我的手臂與胸膛，而貓汐爾則蹲下身仔細地檢查起我的下半身。	私が止める前に、マーシルとフリティアが私の胸元に飛び込んできた。フリティアが私の腕と胸を優しく撫で、マーシルはしゃがみ込んで私の下半身を調べ始めた。	내 말이 끝나기도 전에, 아담한 두 소녀가 품 안으로 뛰어들었다. 프티야의 가느다란 손가락이 내 팔과 가슴을 살며시 스치고, 캣 시에라는 몸을 웅크려 내 하반신을 자세히 살펴보기 시작했다.	Before I could finish, the two petite girls barreled into me. Fritia's slender fingers flitted across my arms and chest, while Mauxir crouched low to inspect the lower half of my body.						0
23	嗅嗅，腰部以下确认完毕，没有任何什么伤口喵。	嗅嗅，腰部以下確認完成，沒有任何一點傷口喵。	クンクン！下半身を確認したけど、目立った怪我はしてないニャン。	킁킁, 허리 아래는 확인 완료, 아무 상처도 없다냥.	*sniff* Lower body confirmed — no wounds detected, nya.						0
24	上半身也……啊，等等……够不到分析员的头。	上半身也……啊，等等……摸不到分析員的頭。	上半身も……あれ、分析員の頭に届かないかも……	상반신도… 아, 잠깐… 분석가 머리까지 손이 안 닿네.	Upper body's clear too... oh, wait — I can't reach your head.						0
25	分析员分析员，可以蹲下来一点点吗？就一点点~	分析員分析員，可以蹲下來一點點嗎？就一點點~	分析員、しゃがんでくれる？ちょっとだけでいいから～！	분석가, 분석가, 몸을 조금만 낮춰줄래? 아주 조금만이면 돼~	Could you bend down a little, Adjutant? Just a little~						0
26	好。	好。	はいはい。	그래.	Alright.						0
27	我笑了笑，随即便缓缓蹲下身来，直到视线略低于芙提雅的发顶。	我笑了笑，隨後便緩緩蹲下身來，直到視線略低於芙提雅的頭頂。	私は小さく笑ってからゆっくりと体を屈めて、フリティアの頭上くらいの高さに視線を合わせた。	나는 살짝 웃었고, 시선이 프티야의 정수리보다 약간 아래로 내려갈 때까지 천천히 몸을 낮추었다.	I chuckled and leaned down until my eyes were just below the top of Fritia's head.						0
28	她身上源源不断传来热气，像是揣着个小暖炉似的，烘得我鼻尖发烫，连带着心头也泛起阵阵暖意。	她身上源源不斷傳來熱氣，像是拿著個小暖爐似的，烘得我鼻尖發燙，連帶著心頭也泛起陣陣暖意。	彼女の体からカイロみたいな熱気が伝わってきた。私の鼻先から心まで暖かくしてくれた。	그녀에게서 자꾸만 따스한 온기가 전해졌다. 마치 작은 난로를 품고 있는 듯, 코끝이 달아오르고 마음속까지 따뜻해졌다.	Warmth radiated from her, like a little hearth — it made my nose prickle, and sent a gentle warmth blooming in my chest.						0
29	……	……	……	……	...						0
30	宇迦张了张嘴，像条搁浅的鱼似的僵在原地。她精心准备好的欢迎词在舌尖打了个转，又被悄然咽下。	宇迦張了張嘴，像條擱淺的魚一樣僵在原地。她精心準備好的歡迎詞在舌尖打了個轉，又被悄然嚥下。	ユガは口を開いたままその場に固まり、言おうとしていた歓迎の言葉を飲み込んだ。	우카는 고립된 물고기처럼 입만 뻥긋거리며 그 자리에 굳어버렸다. 그녀가 정성스레 준비한 환영사는 혀끝에서 맴돌다가 조용히 삼켜졌다.	YUGA opened her mouth — then froze, like a beached fish. The welcome speech she'd rehearsed rose to the tip of her tongue... only to slide right back down.						0
31	习惯就好。	習慣就好。	いずれ慣れるさ。	익숙해질 거야.	You'll get used to it.						0
32	没想到还有机会再回到这里……	沒想到還有機會再回到這裡……	まさかまたここに戻ってくるとは……	여기에 다시 오게 될 줄이야…	Never thought I'd get to come back here...						0
33	高跟轻叩地面的脆响中，一个挺拔的身影踏破夜色而来。	高跟輕叩地面發出的脆響中，一個挺拔的身影踏破夜色而來。	ヒールが地面を軽く叩く音と共に、凛とした彼女が夜闇の中から現れた。	하이힐이 바닥을 두드리는 또각또각 소리와 함께, 어느 꼿꼿한 실루엣이 어둠을 뚫고 나타났다.	Heels clicked crisply against the ground as a tall, poised figure stepped through the moonlit haze.						0
34	银白的长发在月光中流转，如同银河倾泻。当我们的目光在夜色中相接时，她的唇角勾起了一弯令人安心的笑意。	銀白的長髮在月光中飄逸，如同銀河傾瀉。當我們的目光在夜色中相接時，她的嘴角勾起了一彎令人安心的笑意。	銀白の長い髪が月光のもとで揺らめき、まるで天の川のように流れる。夜闇の中で視線が交差した瞬間、彼女の口元に、安心させるような笑みが浮かんでいた。	쏟아지는 은하수 같은 은백색 긴 머리카락이 달빛을 받아 빛났다. 어둠 속에서 시선이 마주치자, 그녀의 입가에 든든한 미소가 어렸다.	Her silver-white hair streamed behind her, shimmering like a river of stars. When our eyes met, her lips curved into a soft, reassuring smile.						0
35	她没有丝毫迟疑，径直走向我，而后轻轻踮起脚尖，在我颊边落下一个自然的吻。	她沒有絲毫遲疑，徑直走向我，然後輕輕踮起腳尖，在我臉頰落下一個自然的吻。	脇目も振らずまっすぐに近寄り、つま先立ちをして私の頬に軽くキスをした。	그녀는 망설임 없이 내게 바로 다가와 살짝 발끝을 들어 내 뺨에 자연스러운 입맞춤을 남겼다.	Without a hint of hesitation, she crossed the distance, rose onto her toes, and brushed a gentle kiss against my cheek.						0
36	亲爱的，我到了。	親愛的，我到了。	あなた。	자기야, 나 왔어.	Hi, darling.						0
37	里芙也到了……哦？你把新研发的机兵也带来了啊。	里芙也到了……哦？你把新研發的機兵也帶來了啊。	リフも来たのか……ほう、新開発の機兵を持ってきたんだな。	리브도 왔구나… 음? 새로 개발한 보초병도 가져왔네.	Lyfe... you came too. Ah — and you even brought the new security bots.						0
38	嗯，这批经过改装过后的卫城学院三型机兵，非常适合在城市作战，能有效地弥补上地面的火力缺口。	嗯，這批經過改造後的衛城學院三型機兵，非常適合在城市作戰，能有效地彌補上地面的火力缺口。	ああ。改良済みのアクロポリス学院3型機兵は街での作戦が得意だから、地上の火力不足を補えるはずだ。	응. 이번에 개조된 아크로폴리스 아카데미 III형 보초병은 도시 전투에 아주 적합해서, 지상 화력의 부족한 부분을 효과적으로 채워줄 수 있어.	Mm. These are the upgraded Type-III Acropolis Sentinels. Tuned for urban combat — perfect for reinforcing ground firepower.						0
39	不愧是里芙，总是考虑得那么周全……对了，你手里拎着的是？	不愧是里芙，總是考慮得那麼周全……對了，你手裡拿著的是？	さすがリフ、用意周到だな……その手に持っているものは？	역시 리브는 생각이 참 깊어… 근데 손에 들고 있는 건 뭐야?	That's my Lyfe — always thinking three steps ahead... And what's that you're carrying?						0
40	啊，这是辰星听说你们要在歧路宇宙作战，特意煲的核桃排骨汤。	啊，這是辰星聽說你們要在歧路宇宙作戰，特地燉的核桃排骨湯。	これは、あなたたちが岐路宇宙で作戦を実行すると聞いて、辰星が用意したクルミと豚のスペアリブの煮込みだ。	아, 이건 너희가 크로스버스에서 전투한다는 걸 듣고, 수성이 특별히 끓여준 호두 갈비탕이야.	Ah. Chenxing heard you'd be fighting in the Divergent Cosmos. She made walnut pork-rib soup for you.						0
41	对了，还有这些是苔丝准备的补脑水果派。	對了，還有這些是黛斯準備的補腦水果派。	こっちはテスが作ったフルーツタルト。	아 참, 그리고 이건 테스가 준비한 머리가 맑아지는 과일 파이야.	And these are fruit pies — Tess baked them to help you keep your mind sharp.						0
42	方才还身姿笔挺的里芙，此刻竟围着临时拼凑的餐桌忙前忙后。她变戏法似的从货箱中端出了一道道美食。	剛才還身姿筆挺的里芙，此刻竟圍著臨時拼湊的餐桌忙前忙後。她變戲法似的從貨箱中端出了一道道美食。	さっきまで凛とした姿で登場したリフが、今は仮設の食卓を囲んでせわしなく、荷物から次々と料理を運び出していた。	좀 전까지만 해도 꼿꼿한 자세를 유지하던 리브가 지금은 임시로 마련된 식탁 주위를 분주히 오가고 있었다. 그녀는 마술을 부리듯 컨테이너에서 하나둘씩 요리를 꺼내 왔다.	Just moments ago, she'd stood poised and graceful — now she was moving briskly around the makeshift table, pulling out dish after dish from the supply crates as if performing a magic trick.						0
43	食物的热气裹挟着诱人香气在夜空中弥漫开来。	食物的熱氣裹挾著誘人香氣在夜空中瀰漫開來。	食べ物からは湯気が立ち昇り、芳ばしい香りが夜空に漂っている。	따끈따끈한 음식과 함께, 식욕을 돋우는 냄새가 밤하늘로 퍼져나갔다.	Steam rose, carrying rich aromas into the night air.						0
44	真是及时了，我正好肚子饿了。不过，这么多我一个人可吃不完。	真是太及時了，我剛好肚子餓了。不過，這麼多我一個人可吃不完。	ちょうど腹ペコだったんだ。でも、これだけの量は、私だけじゃ食べきれないな。	타이밍 딱 좋네, 나도 마침 배가 고팠거든. 하지만 이 많은 걸 나 혼자서 다 먹을 순 없을 텐데.	Perfect timing — I was starving. But there's no way I can finish all this alone.						0
45	大家一起来吃吧。	大家一起來吃吧。	みんなも一緒に食べよう。	다 같이 먹자.	Come on, everyone. Let's eat together.						0
46	我笑着朝四周挥了挥手，招呼众人过来。	我笑著朝四周揮了揮手，招呼眾人過來。	私は笑いながら周りの皆を手招いた。	나는 웃으며 주변을 보며 손을 흔들어 모두를 불렀다.	I waved them over with a grin.						0
47	就这样，这个原本充斥着紧张气息的夜晚，连带着大家的表情一起柔和了下来。	就這樣，這個原本充斥著緊張氣氛的夜晚，連帶著大家的表情一起柔和了下來。	こうして、ぴんと張りつめていた夜の空気も、みんなの顔つきも、少しずつ和らいでいった。	이렇게 해서, 긴장감으로 가득하던 이 밤은 모두의 표정처럼 부드러워졌다.	And just like that, the tension of the night melted into warmth, softening every face around the table.						0
48	……	……	……	……	...						0
49	只是，我环顾四周，我才突然意识，欢笑声中似乎缺少了点什么。	只是，我環顧四周，才突然意識到，歡笑聲中似乎缺少了點什麼。	ただ、周りを見渡すと、楽しそうな中にも、何かが足りないことに気づいた。	그런데 주위를 둘러보니 문득 깨달았다. 모두가 웃고 떠드는 와중에 무언가 빠진 듯했다.	Looking around, I couldn't help but feel something missing from this moment of joy.						0
50	对了，宇迦，怎么没看到米娅？	對了，宇迦，怎麼沒看到米婭？	ん？ユガ、ミアを見かけなかったか？	우카, 그러고 보니 미아가 안 보이는데?	Right... YUGA, where's Mia?						0
51	她一小时前去休息了。	她一小時前去休息了。	一時間前に休憩に入りマシタ。	한 시간 전에 쉬러 들어갔습니다.	She went to rest about an hour ago.						0
52	不必担心，只是体力透支。虽然她执意要等您回来，但看她站着都能睡着的样子，我还是强行把她送回宿舍了。	不用擔心，只是體力透支。雖然她堅持要等您回來，但看她站著都能睡著的樣子，我還是強行把她送回宿舍了。	体力を使い切っただけなので、心配は不要デス。アナタの戻りを待っていたいとのことでしたが、ワタシが強制的に寮へ送りマシタ。	몸이 피곤해서 그런 거니 걱정하지 않으셔도 됩니다. 분석가님이 오실 때까지 기다리겠다며 고집부렸지만, 서 있으면서도 꾸벅꾸벅 졸길래 제가 강제로 숙소로 보냈어요.	No need to worry, she was just exhausted. She insisted on waiting for you, but seeing her on the verge of dozing on her feet, I intervened and escorted her back to the dorm.						0
53	这样啊……	這樣啊……	そうか……	그렇구나…	I see...						0
54	奇怪，总觉得米娅应该不会这么容易被说动……	奇怪，總覺得米婭應該不會這麼容易被說動……	妙だ。ミアはそう簡単に説得されるようなタイプじゃないと思うが……	이상하다. 미아가 그렇게 쉽게 설득될 리 없는데…	That's not like Mia... She's not the type to give in that easily.						0
55	其实我建议二位也去休息一下。毕竟观星室的登入装置还需升级一下。	其實我建議你們也去休息一下。畢竟觀星室的登入裝置還需升級一下。	おふたりも休んでくだサイ。星輝の部屋のログイン装置アップデートには、もう少し時間がかかりますノデ。	사실 두 분도 좀 쉬시는 게 좋을 것 같습니다. 천체 관측실의 로그인 장치도 업그레이드해야 하고요.	I'd recommend you two rest as well. Besides, the login device in Starlight Hall still needs an upgrade.						0
56	嗯，那个就交给小老师吧。	嗯，那個就交給小老師吧。	うん、こっちはフリティア先生に任せて。	응, 그건 나한테 맡겨.	Mhm! Leave that to Professor Fritia~						0
57	趁这段时间，亲爱的就去小憩一会儿吧。你们在天界乐土已经消耗了太多精力了。	趁這段時間，親愛的就去小憩一下吧。你們在天界樂土已經消耗了太多精力了。	今のうち少し休んでほしい。ここ数日、天界楽土でずっと頑張っていただろう。	그럼 이 틈에 자기도 잠깐 쉬어. 천계 낙원에서 에너지를 너무 많이 썼잖아.	We'll handle things here — get some rest, darling. You overexerted yourself in the Elysium.						0
58	这里，暂时有我们在。	這裡，暫時有我們在。	安心して私たちに任せて。	여긴 일단 우리가 지키고 있을게.	We've got things covered here for now.						0
59	既然大家都这么说了，那么晴，我们之后就去休息一会儿吧，就当做是为接下来的战斗养精蓄锐了。	既然大家都這麼說了，那麼晴，我們之後就去休息一下吧，就當做是為了接下來的戰鬥養精蓄銳了。	そこまで言うなら……晴、今後の戦闘に備えて、少し休憩しよう。	다들 그렇게 말한다면야, 하루, 우리도 잠시 쉬었다 가죠. 다음 전투를 위해 체력을 비축해 두자고요.	If you're all insisting... Haru, let's get some rest. We'll need to be at full strength for what's coming.						0
60	收到。	收到。	了解。	알겠어.	Understood.						0
61	对了，芙提雅，在晚饭前，可以单独聊聊吗？	對了，芙提雅，在晚飯前，可以單獨聊聊嗎？	そうだ、フリティア。夕飯の前に少し話せないか？	그리고 프티야, 저녁 식사 전에 잠깐 얘기 좀 할 수 있을까?	Oh — Fritia, mind if I borrow you for a moment before dinner?						0
62	什么什么~	什麼什麼~	なになに～？	뭔데, 뭔데~?	Mhm~ What's up?						0
63	是这样的……	事情是這樣的……	実は……	무슨 일이냐면…	Here's the thing...						0
64	晚饭过后，我和晴按照大家的建议，来到宇迦准备的房间休息。	晚飯過後，我和晴按照大家的建議，來到宇迦準備的房間休息。	夕食後、私と晴はユガが用意してくれた部屋で休むことにした。	저녁 식사 후, 나와 하루는 모두의 제안대로 우카가 준비한 방에서 쉬기로 했다.	After dinner, Haru and I took the room YUGA had prepared for us, just like everyone suggested.						0
65	但是，躺在床上，望着漆黑的天花板我却怎么也睡不着。	但是，躺在床上，看著漆黑的天花板，我卻怎麼也睡不着。	だが、ベッドで真っ暗な天井を見つめても、なぜか眠れなかった。	하지만 침대에 누워 새까만 천장을 바라보며, 나는 도저히 잠들 수가 없었다.	But lying there on my back, staring at the pitch-dark ceiling, sleep eluded me.						0
66	未知的敌人，守护这座城市的诺言……刚刚的温暖此刻正像退潮般从指缝间溜走。	未知的敵人，守護這座城市的諾言……剛才的溫暖此刻正像退潮般從指縫間溜走。	未知の敵、この街を守る約束……さっきまで感じていた温もりは今、潮が引くように指の間からこぼれ落ちていく。	정체불명의 적, 이 도시를 지키겠다는 약속… 방금까지 느꼈던 따뜻함이 지금은 썰물처럼 손가락 사이로 빠져나가고 있었다.	Unknown enemies. A promise to protect this city. The warmth from earlier slipped away like a receding tide.						0
67	于是，许久过后，我还是起身穿上了衣服。也许夜风能吹散这些纷乱的思绪。	於是，許久過後，我還是起身穿上了衣服。也許夜風能吹散這些紛亂的思緒。	しばらくして、私は服を着て外に出た。夜風に当たれば、乱れた思考も少しは晴れるかもしれない。	그래서 한참이 지난 후에, 나는 결국 옷을 입고 일어났다. 밤바람이 이 복잡한 생각들을 날려버릴 수 있을지도 모르니.	Eventually, I got up and got dressed. Maybe the night wind could quiet the noise in my head.						0
68	然而，在推开门的瞬间——	然而，在推開門的瞬間——	しかし、ドアを開けた瞬間――	하지만, 문을 여는 순간…	But the moment I slid the door open...						0
69	哇呼~	哇呼~	ワフー！	와후~	Wha-hoo~!						0
70	米娅？！	米婭？！	ミア！？	미아?!	Mia!?						0
71	米娅慌忙站起身来，夜风拂过她的发梢，将台阶前的月光剪碎。她有些不好意思地拍了拍裙摆。	米婭慌忙站起身來，夜風拂過她的髮梢，將台階前的月光剪碎。她有些不好意思地拍了拍裙擺。	ミアは慌てて立ち上がった。彼女の髪が夜風に揺らされ、地面の月光をかき乱した。彼女は照れくさそうに、スカートの裾を軽く叩いた。	미아가 황급히 일어섰고, 밤바람이 그녀의 머리카락을 스치며 계단 앞의 달빛이 흐트러졌다. 그녀는 살짝 미안해하며 치맛자락을 툭툭 털었다.	She scrambled to her feet. The breeze teased her hair, scattering moonlight across the steps. She smoothed her skirt, looking a little sheepish.						0
72	抱歉，抱歉，我吓到你了吗？	抱歉，抱歉，我嚇到你了嗎？	あ、ごめんごめん、びっくりさせちゃった？	미안, 미안. 나 때문에 놀랐구나?	Oops, my bad. Did I scare you?						0
73	那倒不至于……话说米娅怎么会在这儿，你不是去休息了吗？	那倒不至於……話說米婭怎麼會在這裡，你不是去休息了嗎？	いや大丈夫だ……だが、どうしてここに？休んでいると聞いたが。	그 정도는 아닌데… 그보다 미아는 왜 여기 있는 거야? 쉬러 들어갔다면서?	Nah, just caught me off guard... But what are you doing out here? Weren't you supposed to be resting?						0
74	嘿嘿，我睡饱了就忍不住想来找你了嘛。	嘿嘿，我睡飽了就忍不住想來找你了嘛。	えへへ、寝て起きたら、会いたくなっちゃって。	헤헤, 잠을 푹 자고 나니까 자꾸 너한테 가고 싶더라고.	Hehe~ I couldn't sleep anymore, so I came looking for you~						0
75	但是……走到门口后又怕敲门声会吵醒你，所以就自作主张，在这里蹲着你喽~	但是……走到門口後又怕敲門聲會吵醒你，所以就自作主張，在這裡蹲著你啦~	でもね……ドアの前まで来たんだけど、起こしちゃうかなって……だからここで待ってたの。	근데… 막상 문 앞에 오니까, 네가 노크 소리에 깰 것 같더라. 그래서 내 맘대로 여기서 기다리고 있었지~	But... when I got to your door, I was scared that knocking might wake you, so... I kinda just decided to sit out here and wait.						0
76	台阶这么凉，要小心感冒哦。	台階這麼涼，要小心感冒喔。	階段は冷えるぞ。風邪を引いたらどうする。	계단은 차갑잖아. 감기 조심해야 해.	These steps are freezing. You'll catch a cold.						0
77	嘿嘿，但是今晚的星星特别好看~	嘿嘿，但是今晚的星星特別好看~	えへへ、でも星がめっちゃ綺麗だからいいの～	헤헤, 하지만 오늘 밤은 별이 특히나 예쁘네~	Hehe, but the stars are extra pretty tonight~						0
78	这两件事可没有任何关联吧……算了，也好。	這兩件事沒有什麼關聯吧……算了，也好。	関係ない話だと思うが……まあいい。	그건 전혀 상관없는 얘기잖아… 뭐, 그래도 좋아.	What does that have to do with— uh, never mind.						0
79	分析员？	分析員？	分析員？	분석가?	Adjutant?						0
80	带我去个方便看星星的地方吧。特意守在门口，米娅应该是有什么话想说吧？	帶我去個方便看星星的地方吧。特地守在門口，米婭應該是有什麼話想說吧？	星がよく見える場所に連れて行ってくれないか。話があるから、ここで待っていたんだろう？	별 보기 좋은 곳으로 데려가 줄래? 일부러 문 앞에서 기다렸다는 건, 미아가 할 말이 있었던 거겠지?	Come on. Take me somewhere with a better view. You didn't wait out here for just small talk — there's something you want to tell me, right?						0
81	……	……	……	……	...						0
82	被我说中了心事的少女先是一愣，短暂的沉默后，少女抬起头，嘴角努力扬起熟悉的弧度，用力点了点头。	被我說中了心事的少女先是一愣，短暫的沉默後，少女抬起頭，嘴角努力揚起熟悉的弧度，用力地點點頭。	図星を突かれたミアは一瞬驚き、しばし沈黙した後、いつもの笑顔を浮かべて、力強く頷いた。	속마음을 들킨 소녀는 잠시 멍해졌다. 잠깐의 침묵 뒤에 소녀가 고개를 들었고, 익숙한 각도로 애써 입꼬리를 올리며 세차게 고개를 끄덕였다.	She stiffened for a moment — like my words had hit a nerve. Then she looked up, pulled that familiar smile back into place, and gave a firm nod.						0
83	嗯！	嗯！	うん。	응!	Mm-hmm!						0
84	片刻过后，在少女的带领下，穿过弯弯绕绕的小路，我们来到3号避难所旁一处精心设计的人工观景台上。	片刻過後，在少女的帶領下，穿過彎彎繞繞的小路，我們來到3號避難所旁一處精心設計的人工觀景台上。	しばらくして、私はミアと一緒に曲がりくねった小道を抜けて、3号避難所の隣にある、美しく設計された人工展望台にたどり着いた。	잠시 후 소녀를 따라 구불구불한 좁은 길을 지나자, 우리는 3번 대피소 옆에 있는 예쁘게 설계된 인공 전망대에 도착했다.	Before long, Mia led me down a winding path to an observation deck near Shelter No. 3 — a space thoughtfully designed.						0
85	在这里，璀璨星河与远处城市的灯火轮廓尽收眼底，我们仿佛置身于两个世界的交界处。	在這裡，璀璨星河與遠處城市的燈火輪廓盡收眼底，我們彷彿置身於兩個世界的交界處。	ここでは、輝く天の川と遠くの街の灯りが一望できる。まるで二つの世界の狭間に立っているかのようだ。	이곳에서 찬란한 은하수와 멀리 있는 도시의 불빛 윤곽이 한눈에 들어왔고, 우리는 마치 두 세계의 경계에 서 있는 것 같았다.	From here, the stars stretched like a glittering river overhead, while the faint glow of the city traced a delicate outline below. It felt like we were standing on the edge of two worlds.						0
86	少女仰望着星空，流转的星光坠入她清澈的眼眸，那一刻美得令人屏息。	少女仰望著星空，流轉的星光墜入她清澈的眼眸，那一刻美得令人屏息。	ミアは星空を見上げた。流れる星の光を映し出す澄んだ瞳は、息をのむほど美しかった。	소녀가 밤하늘을 올려다보자, 반짝이는 별빛이 그녀의 맑은 눈동자에 담겼다. 숨이 멎을 듯 아름다운 순간이었다.	She tilted her head back, her eyes catching the reflection of the stars. That moment was so beautiful, it made me hold my breath.						0
87	分析员分析员快看，站在这里的话，好像一伸手就能抓到星星哎~	分析員分析員快看，站在這裡的話，好像一伸手就能抓到星星哎~	分析員、ほら！ここから手伸ばしたら、星をつかめそうじゃない？	분석가, 분석가! 빨리 봐봐~ 여기 서 있으면 손만 뻗어도 별을 잡을 수 있을 것 같아~	Adjutant, Adjutant, look! From here, it feels like we can just reach out and grab the stars~						0
88	能抓住的只有光哦，最近的星星距离我们也有好几光年远呢。	能抓住的只有光哦，最近的星星距離我們也有好幾光年遠呢。	光にしか手は届かないよ。最も近いものですら、遥か数光年の彼方で瞬いているんだ。	잡을 수 있는 건 빛뿐이야. 가장 가까운 별도 우리와는 몇 광년이나 떨어져 있거든.	I know, but that's only their light. The nearest stars are still lightyears away.						0
89	是这样吗……	是這樣嗎……	そうなんだ……	그런 건가…	Really...?						0
90	嗯，想要触碰到本体的话，就必须跨越这片天空。	嗯，想要觸碰到本體的話，就必須跨越這片天空。	本体に触れようと思ったら、この空を越えなきゃいけないんだ。	응. 별의 본체에 닿으려면, 이 하늘을 가로질러야 해.	Really. To touch the stars, we'd have to cross the whole sky.						0
91	呵呵呵~听上去还真不容易呢。	呵呵呵~聽上去還真不容易呢。	あ～あ、なんだか難しそうだな……	후후후~ 듣기만 해도 쉽진 않겠네.	Hehehe~ That sounds almost impossible...						0
92	但即便如此……	但即便如此……	でも、それでも……	그래도 말이야…	But... even so...						0
