xxx_3835764723	A	A	A	A	A	A	A	A	A	A	A
15	我的魅力，是只向分析员展示的。能做到这些，可不是凭借我的魅力哦。	我的魅力，是只向分析員展示的。能做到這些，可不是憑藉我的魅力哦。	私の魅力は分析員にしか見せませんよ。こんなことは私の魅力だけでは無理です。	내 매력은 분석가에게만 보여주는 거야. 이 정도로 사람들을 움직이는 건, 단순한 매력 때문이 아니야.	My charisma is something I save just for you, Adjutant. What's happening here isn't about that at all.						0
16	恩雅浅笑着，她的手指勾起一缕发丝，轻捻着，用末梢在我的鼻尖画了个圈。有些痒痒的香味好像一下子钻进了我的心里。	恩雅淺笑著，她的手指勾起一縷髮絲，輕捻著，用末梢在我的鼻尖畫了個圈。有點癢癢的香味好像一下子鑽進我的心裡了。	エンヤは微笑みながら、自分の髪の毛を取って、私の鼻先で丸を描いた。くすぐったい香りが一瞬で私の心の中に入り込んできた。	엔야는 옅게 미소 지으며 손가락으로 머리카락을 한 가닥 잡고는 부드럽게 비비더니, 머리카락 끝으로 내 코끝에 동그라미를 그렸다. 간지러운 향기가 순간 내 마음속으로 스며드는 듯했다.	She chuckled softly, twirling a strand of her hair around her finger before tracing the tip of it against my nose. Her intoxicating scent seeped into my breath, stirring something deep within me.						0
17	我和分析员说过，其实我还藏着很狡猾的一面吧。	我跟分析員說過，其實我還藏著很狡猾的一面吧。	言いましたよね？本当の私はずるいんだって。	내가 분석가한테 말한 적 있지? 사실 난 아주 교활한 면도 가지고 있다고.	I told you before, remember? I have a little scheming side to me.						0
18	说实话，我怎么都无法将恩雅与狡猾两个字联系在一起。	說實話，我怎麼都無法將恩雅與狡猾兩個字連結在一起。	正直、ずるいなんてエンヤと無縁な言葉としか思えない。	솔직히 난 엔야를 '교활함'이라는 단어와 전혀 연결 지을 수 없었다.	To be honest, I still couldn't quite associate the word "scheming" with Enya.						0
19	而这时，恩雅忽然又改变了话题。	而這時，恩雅忽然又改變了話題。	だがエンヤはまた話題を変えた。	그러던 찰나, 그녀는 갑자기 화제를 바꾸었다.	However, she suddenly changed the subject.						0
20	对了，分析员，你喜欢怎样的花多一些？	對了，分析員，你喜歡什麼花多一點呢？	そういえば、分析員はどんな花が好きですか？	맞다, 분석가는 어떤 꽃을 더 좋아해?	By the way, Adjutant... what's your favorite type of flower?						0
21	喜欢怎样的花多一些？	喜歡什麼花多一點？	花？	어떤 꽃을 더 좋아하냐고요?	Favorite flower?						0
22	是啊。虽然每种花都很美丽，但分析员应该也有偏爱的？	是啊。雖然每種花都很美麗，但分析員應該也有偏好的？	はい。花はどれもキレイですけど、分析員の好みはどうなのかなって。	응, 물론 모든 꽃은 다 아름답지만, 분석가도 분명히 선호하는 꽃이 있을 거 아니야?	Mm-hmm. Every flower is beautiful in its own way, but surely there must be one you're drawn to more than the others?						0
23	我对于花没有偏爱，真要说偏爱的话，只要是恩雅种的，我就喜欢。	我對花沒有偏愛，真的要說偏愛的話，只要是恩雅種的，我就喜歡。	別に好みはないかな。しいて言えば、エンヤが植えてくれたものならなんでも好きだ。	저는 꽃에 대해 딱히 선호하는 게 없어요. 굳이 꼽자면… 엔야가 키운 꽃이라면 다 좋아할 것 같아요.	I've never really thought about it. But if I had to choose... I guess it would be whatever you decide to grow.						0
24	这样啊~好吧，姐姐知道了，还真是调皮的答案呢。	這樣啊~好吧，姐姐知道了，還真是調皮的答案呢。	もう……意地悪な解答ですね。でもわかりました。	그렇구나~ 알겠어. 정말 장난기 가득한 대답이네.	Oh? I see~ What a naughty answer~						0
25	不过，挺好的。那就什么花都种些吧，属于分析员的花园，本来就应该多姿多彩些。	不過，蠻好的。那就什麼花都種一些吧，屬於分析員的花園，本來就應該多采多姿點。	それでは、なんでも植えてみましょう。分析員のための花園は、カラフルであればあるほどいいですから。	아무렴 좋아. 그럼 뭐든 다양하게 키워보자. 분석가를 위한 정원이니까 다채로워야 하는 법이지.	But I like it. We'll plant a little bit of everything, then. A garden made just for you should be as colorful as possible.						0
26	我看见图纸上她展示给我的小花园，里面规划了好几个花圃。	我看見圖紙上她展示給我的小花園，裡面規劃了好幾個花圃。	彼女が見せてきた設計図にある花園には、花を植える場所がいくつも描かれていた。	엔야가 내게 보여준 설계도에는 여러 개의 화단이 정갈하게 배치되어 있었다.	She unrolled the blueprint, letting me take in the carefully planned sections of the garden.						0
27	打理这些，会很辛苦吧？	打理這些，會很辛苦吧？	世話が大変だろう。	이걸 관리하는 게 꽤 힘들지 않을까요?	Wouldn't it be a lot of work tending a garden like this?						0
28	我拥住她纤细，却无比柔美的腰肢。	我擁住她纖細，卻無比柔美的腰肢。	彼女の繊細な腰に腕を回しながら、私はそう話した。	나는 그녀의 가늘면서도 유연하고 아름다운 허리를 끌어안았다.	I wrapped my arms around her slender waist.						0
29	辛苦？~我觉得这应该说是满足哦。	辛苦？我覺得這應該說是滿足喔。	大変？いえ、むしろ充実しますよ。	힘들다니?~ 난 오히려 '만족스럽다'라고 말하고 싶은데?	Work? Uh-uh~ I think you mean fulfillment.						0
30	因为这是在建造……只属于我和分析员的，爱的小屋。	因為這是在建造……只屬於我和分析員的，愛的小屋。	だって、私と分析員だけの……愛の巣を作っていますから。	왜냐하면, 이건 나와 분석가만을 위한… 러브 하우스를 짓는 거니까.	Because what I'm building here is actually the place that belongs to us alone — our very own little sanctuary of love.						0
31	她再次翻开设计图的一页。看到那座小屋时，时间和空间的概念似乎一下子在我面前变得模糊。	她再次翻開設計圖的一頁。看到那座小屋時，時間和空間的概念似乎一下子在我面前變得模糊。	彼女はまた設計図をめくった。その小屋の図面を見たとき、私は一瞬だけ、時間と空間の概念を忘れてしまいそうだった。	그녀는 설계도의 한 장을 재차 넘겼다. 그곳에 그려져 있는 작은 집을 바라본 순간, 나를 둘러싼 시간과 공간의 개념이 순식간에 희미해지는 듯한 기분이 들었다.	She turned another page, revealing the design of a cabin — the log cabin from that fantasy in Zone 16. For a moment, time and space felt distant, stretching like a dream.						0
32	这就是你想给我的惊喜啊。	這就是你想給我的驚喜。	これがサプライズか。	이게… 엔야가 내게 주고 싶었던 '깜짝선물'이군요.	So this is the surprise you wanted to show me.						0
33	恩雅背着双手，凝望我的双眼，轻轻笑着，没有说话。	恩雅背著雙手，凝望我的雙眼，輕輕笑著，沒有說話。	エンヤは微笑みながら、腕を背後に回したまま、静かに私を見つめるだけだ。	엔야는 뒷짐을 진 채 내 눈을 깊이 바라보며 조용히 미소를 지었고 아무 말도 하지 않았다.	Enya clasped her hands behind her back, locking eyes with me, a serene smile on her face.						0
34	铆足干劲的公司成员干活极具效率。	鉚足幹勁的公司成員工作極具效率。	やる気満々な職員たちは相当効率的に働いてくれた。	열심히 일하는 회사 직원들은 매우 효율적이었다.	With unwavering enthusiasm, Yggdrasil staff threw themselves into work, their movements efficient and precise.						0
35	再加上公司各种高科技的基建设备支持，短短一个下午的时间，与恩雅规划蓝图一模一样的木屋和花园就在空地完成了建造。	再加上公司各種高科技的基建設備支援，短短一個下午的時間，與恩雅規劃藍圖一模一樣的木屋和花園就在空地完成了建造。	会社のハイテクな設備の手助けもあって、エンヤの設計図通りの建物や花園は午後だけで完成した。	게다가 회사의 다양한 첨단 기술을 지닌 기반 설비들의 지원 덕분에, 짧은 오후 시간 만에 엔야가 계획한 설계도와 똑같은 나무집과 정원이 공터에 완공되었다.	With the aid of Yggdrasil's advanced technology and equipment, it took only one afternoon for Enya's vision to take shape — where once lay an empty lot, now stood a wooden cabin nestled within a flourishing garden.						0
36	分析员，我们快到了，在我说好之前，不能睁眼哦。	分析員，我們快到了，在我說好之前，不能張開眼睛喔。	分析員、もうすぐつきますよ。私がいいと言うまで、目を閉じていてくださいね。	분석가, 거의 다 왔어. 내가 눈 뜨라고 할 때까지 눈 뜨면 안 돼.	We're almost there, Adjutant. Keep your eyes closed until I say it's okay to open.						0
37	弄这么神秘，恩雅是做了和16区时不一样的改造吗？	弄這麼神秘，恩雅是做了和16區不一樣的改造嗎？	まさか、エリア16の小屋をベースに改造したのか？	이렇게 신비하게 굴다니, 엔야가 16구역 때랑은 다르게 개조한 건가요?	You're being awfully secretive, Enya. Did you make some changes this time? Is the cabin different from the one before?						0
38	没有哦。	沒有哦。	いいえ。	아니야.	Nope~						0
39	恩雅从背后蒙住我的双眼，柔软的身体几乎贴在我的后背上，她回答的时候，吹出来温热、湿润的气流摩挲着我的耳朵。	恩雅從背後蒙住我的雙眼，柔軟的身體幾乎貼在我的背上，她回答的時候，吹出來溫熱、濕潤的氣流摩挲著我的耳朵。	エンヤは私の背後に回って、私の目を手で隠した。背中に彼女の柔らかい体と、耳にかかる暖かい息を感じる。	엔야는 내 뒤에서 눈을 가렸고 부드러운 몸이 내 등을 거의 감싸듯 밀착했다. 그녀가 말을 할 때 따뜻하고 촉촉한 숨결이 내 귀를 스쳤다.	From behind, Enya placed her hands over my eyes, her supple body molding against my back. As she spoke, I felt the warmth of her breath gently caress my ear.						0
40	这是仪式感啊。	這是儀式感啊。	特別感が大事ですから。	이건 격조를 갖추는 거야.	This is how we make certain moments feel special.						0
41	好了，分析员，睁眼吧。	好了，分析員，睜眼吧。	さあ、分析員、もう見てもいいですよ。	자, 이제 눈을 떠도 돼.	Alright, Adjutant. Open your eyes.						0
42	我睁开双眼。	我睜開雙眼。	私は目を開いた。	나는 눈을 떴다.	I opened them.						0
43	就像是一幅尘封在内心的画一下子在眼前变得清晰，而我忽然就走入那幅画的正中。	就像是一幅塵封在內心的畫一下子在眼前變得清晰，而我忽然就走入那幅畫的正中。	その瞬間、私は記憶に封印されたある絵画の中に入り込んでいるような気分に襲われた。	그 순간, 내 마음속 깊숙한 곳에 숨겨져 있던 그림이 갑자기 눈앞에 선명한 모습을 이루었고, 나는 그 그림 한가운데로 걸어 들어가고 있었다.	And in that moment, it was as if an old painting — hidden deep in my heart — had suddenly come into focus. But I had stepped right into the center of the frame.						0
44	我摩挲着身边的家具，走过木屋一个个角落。那些在16区与恩雅共度的经历，就像是水流一样流淌过我的脑海，化作无尽的暖意将我包裹。	我摩挲著身邊的傢俱，走過木屋一個個角落。那些在16區與恩雅共度的經歷，就像是水流一樣流淌過我的腦海，化作無盡的暖意將我包裹。	家具を手で触りながら、小屋の隅から隅まで見ていく。エリア16でエンヤと過ごした日々が水のように私の脳内を満たし、私を暖かく包み込んだ。	나는 주위를 살펴보며 나무집 곳곳을 걸어 다녔다. 16구역에서 엔야와 함께 했던 시간이 마치 따스한 시냇물처럼 내 머릿속을 흐르며 나를 감싸고 있었다.	I ran my fingers along the furniture, tracing the familiar edges. I toured the cabin, and with each step, memories of our time together in Zone 16 surfaced, washing over me like a warm tide.						0
45	恩雅没有打扰我的回忆，而是在我重新来到她面前时歪歪头，眼中载满了柔情的水光。	恩雅沒有打擾我的回憶，而是在我重新來到她面前時歪歪頭，眼中載滿了柔情的水光。	エンヤは思い出に浸っている私を邪魔しなかった。私が再び彼女の前に立ち止まると、エンヤは優しそうな目で私を見ながら、首を傾げた。	엔야는 추억을 돌이키는 나를 결코 방해하지 않았다. 내가 다시 그녀 앞에 설 때, 그녀는 고개를 살짝 기울이며 물빛처럼 부드러운 감정을 담은 눈빛으로 나를 바라봤다.	Enya didn't disturb my thoughts. She simply waited. And when I finally returned to her side, she tilted her head slightly, her eyes shimmering with infinite tenderness.						0
46	欢迎回家，分析员。不……是亲~爱~的~	歡迎回家，分析員。不……是親~愛~的~	おかえりなさい、分析員。じゃなくて、あ・な・た♪	집에 온 걸 환영해, 분석가. 아니… 사랑하는 자~ 기~ 야~	Welcome home, Adjutant. No, it should be — welcome home, my darling~						0
47	这句话重重槌在了我的心口。	這句話重重槌在了我的心口。	私はその言葉に心を打たれた。	그 말은 내 가슴 속에 깊게 박혔다.	Those words struck a deep, resonant chord within me.						0
48	而也是在这一刻，我更加清晰地感觉到恩雅压制在心底的情感。	而也是在這一刻，我更清晰地感受到恩雅壓抑在心底的情感。	そしてその瞬間、私はエンヤが抑えている気持ちを、さらにハッキリと感じ取れた。	그 말을 들은 순간, 나는 엔야가 마음속에 억누르고 있는 감정을 더욱 뚜렷하게 느낄 수 있었다.	And in that moment, I felt it — the quiet, unspoken emotions she had been holding back all this time.						0
49	恩雅。只要你想的话……	恩雅。只要你想的話……	エンヤ。君が望むなら……	엔야, 당신이 원한다면…	Enya. If you want it...						0
50	恩雅笑着点头，她伸手轻抚我的脸颊。	恩雅笑著點頭，她伸手輕撫我的臉頰。	エンヤは微笑みながら頷いて、手で私の頬に触れた。	엔야는 미소를 지으며 고개를 끄덕이더니, 손을 뻗어 내 얼굴을 부드럽게 어루만졌다.	She smiled, her hand lifting to gently caress my cheek.						0
51	我当然想，不过呀……	我當然想，不過啊……	もちろんですよ。でも……	물론 원하지. 하지만…	Of course, I do.						0
52	我会等的哦。	我會等的喔。	私、待てます。	나는 기다릴 거야.	But I'm willing to wait.						0
53	等到分析员的那份许诺，等到那一天，再说出这样的话。到那时候，姐姐我呀，才会觉得是真正的完满。	等到分析員的那份許諾，等到那一天，再說出這樣的話。到那時候，姐姐我啊，才會覺得是真正的完整。	分析員がいいと言うまで、再びその言葉を口にするまで。その時がきたら、私は本当の意味で満足しますから。	분석가의 약속을 기다리고, 분석가가 직접 약속을 해주는 그날에 다시 이런 말을 할 거야. 그때가 되어야만 이 누님도 드디어 진정한 온전함을 이룰 수 있을 테니까.	I'll wait for you to be ready. Only then will I allow myself to say those words again — because only then will I truly feel complete.						0
54	在那之前，就稍微容许一下我的任性吧。这里，是无法忍耐的恩雅……创造出的，只属于我们两人的，爱的空间。	在那之前，就稍微容許一下我的任性吧。這裡，是無法忍耐的恩雅……創造出來的，只屬於我們兩人的，愛的空間。	それまでは、私のわがままに付き合ってください。ここは、我慢のできないエンヤが作り出した……私たちだけの愛の空間です。	그때까지는 내 고집을 받아줘. 여긴 참을 수 없는 엔야가 만들어 낸… 오직 우리 둘만의 사랑의 공간이니까.	Until then, just indulge me for a little while. You see, the Enya who can no longer hold back... created a place meant for just you and her.						0
55	她说完，掀开一旁的桌罩，展露出底下热气腾腾的晚餐。	她說完，掀開一旁的桌罩，展露出底下熱氣騰騰的晚餐。	彼女はそう言いながら、横のテーブルに置かれた暖かい料理たちを私に見せた。	그녀는 말을 마치고, 옆에 놓인 테이블보를 걷어 올렸다. 그 아래에는 김이 모락모락 피어오르는 저녁 식사가 차려져 있었다.	With that, she pulled back the cloth covering the dishes, revealing a spread still steaming with warmth.						0
56	柔和的烛光在桌子的两旁摇曳。	柔和的燭光在桌子的兩側搖曳。	柔らかい光を放つロウソクがテーブルの両端で揺れている。	부드러운 촛불이 테이블 양옆에서 흔들렸다.	Candlelight flickered gently on either side of the dining table.						0
57	温暖的光芒映照在少女染着红晕的白皙脸颊上，她压下臀部，坐在桌边，架起了修长纤细的双腿。	溫暖的光芒映照在少女染著紅暈的白皙臉頰上，她壓下臀部，坐在桌邊，架起了修長纖細的雙腿。	その光に照らされながら、彼女は頬を赤らめて、テーブルの端に腰を下ろし、長い両足を組んだ。	따뜻한 빛이 붉은 홍조를 띤 소녀의 하얀 뺨을 비추었고, 소녀는 엉덩이를 내리며 테이블 가장자리에 앉아 긴 다리를 꼬았다.	The soft glow illuminated the faint blush on Enya's porcelain cheeks. With languid elegance, she eased onto the edge of the table, letting one long, slender leg drape over the other.						0
58	亲爱的，该用餐了。不知道哪一样更让你心动呢。	親愛的，該用餐了。不知道哪一樣更讓你心動。	さぁ、あなた、ごはんを食べましょう。お気に入りの料理があるといいですね。	자기야, 이제 식사할 시간이야. 어느 쪽이 더 마음에 드는지 모르겠네.	Darling, it's time for dinner. Tell me... which one looks more delicious to you?						0
59	恩雅架起双腿的时候，一只鞋子仿佛无意地被甩到了一旁。	恩雅架起雙腿的時候，一隻鞋子彷彿無意地被甩到了一旁。	動きに合わせて、エンヤの片方の靴が無造作に脱げた。	엔야가 다리를 꼬았을 때, 신발 한 짝이 마치 우연처럼 한쪽으로 던져졌다.	As she lifted her leg, a shoe slipped off her foot, whether by accident or intent, I couldn't tell.						0
60	她顺势抬起纤细晶莹的脚尖，轻轻擦过我的大腿。	她順勢抬起纖細晶瑩的腳尖，輕輕擦過我的​​大腿。	彼女はそのまま足を上げて、繊細な足先で私の太ももに触れた。	그녀는 자연스럽게 가느다란 발끝을 들어 올리며 살며시 내 허벅지를 스쳐 지나갔다.	The next moment, she traced the tip of her delicate toes along my thigh.						0
b-1											0
61	回应她的邀请	回應她的邀請	彼女の誘いに乗る	그녀의 초대에 응하기	Respond to her invitation						0
62	我向着恩雅靠近。	我向著恩雅靠近。	私はエンヤに近づいた。	나는 엔야에게 다가갔다.	I leaned in, closing the distance.						0
63	这应该不算一个选择题。	這應該不算一個選擇。	選ばせる気がないな。	이건 선택지가 아닌 것 같은데요.	Isn't the answer obvious?						0
64	哎呀，没有选择退避，而是主动向我靠近过来了吗？	哎呀，沒有選擇退避，而是主動靠近我過來了嗎？	あら、逃げようとせずに、自ら近づいてきましたね。	후훗, 피하는 대신 내게 다가오기로 한 거야?	Oh my~ So instead of backing away, you stepped closer?						0
65	差点忘记声明了，这里……是姐姐我的主场哦。	差點忘記聲明了，這裡……是姐姐我的主場喔。	言い忘れましたけど、ここは……私のテリトリーも同然ですよ。	하마터면 깜빡할 뻔했네. 여긴… 이 누님의 무대야.	How bold of you, my darling. I almost forgot to mention... this is my turf.						0
66	恩雅含笑注视着我，她慢条斯理地用纤手拿起一旁的高脚杯，眼睛凝视着我。	恩雅含笑著注視著我，她慢條斯理地用纖手拿起一旁的高腳杯，眼睛凝視著我。	エンヤは微笑みながら私を見つめて、ワイングラスを手に取った。	엔야는 미소를 머금은 채 섬세한 손으로 옆에 놓인 와인 잔을 천천히 들고 나를 바라보았다.	With a soft smile, Enya leisurely picked up a wine glass, her eyes intently fixed on me.						0
67	旋即，恩雅忽然抬起高脚杯一口饮尽，然后伸手推在了我的胸口，将我压在了一旁的沙发上。	旋即，恩雅忽然抬起高腳杯一口飲盡，然後伸手推在了我的胸口，將我壓在了一旁的沙發上。	すると、彼女はグラスの中身を飲み干し、私の胸に手をあてて横のソファに押し倒した。	그러다가 엔야는 갑자기 와인 잔을 들어올려 술을 들이켜더니, 손을 내 가슴에 댄 채 나를 소파로 밀었다.	Then, she brought it to her lips and emptied it in a single, fluid motion. The next moment, her hand found its way to my chest, and I felt myself sinking into the sofa under her.						0
68	这次，我可不会和你客气。会毫不顾忌地，把你吃干抹净。	這次，我可是不會跟你客氣。會毫不顧忌地，把你吃得一乾二淨。	今回は容赦しませんよ。あなたを全部食べつくしますから。	이번엔, 봐주는 일 없을 거야. 주저 없이… 너를 남김없이 맛봐줄게.	This time, I won't be holding back. No hesitations. No restraint. Tonight, my darling, I will take everything from you.						0
69	<span color="#ffc0cb">亲爱的</>……playername弟弟~你做好<span color="#ffc0cb">觉悟</>了吗？	<span color="#ffc0cb">親愛的</>……playername弟弟~你做好<span color="#ffc0cb">覺悟</>了嗎？	私の<span color="#ffc0cb">愛しい</>……playernameさん～、<span color="#ffc0cb">覚悟</>はできてますね？	<span color="#ffc0cb">사랑하는</>… playername 동생~ <span color="#ffc0cb">각오</>는 됐겠지?	playername, <span color="#ffc0cb">my dear little brother</>... Tell me, are you ready for <span color="#ffc0cb">that</>?						0
70	她轻轻笑着，眼中好似跃动着粉色的光芒。	她輕輕笑著，眼中好似躍動著粉紅色的光芒。	彼女は小さく笑うと、目がピンク色に輝いた。	가볍게 웃는 그녀의 눈빛 속에는 분홍빛이 일렁였다.	She chuckled softly, eyes gleaming with a romantic, pinkish glow.						0
71	很快，我被吞陷在疯狂的温柔之中，就像是一点点被曼妙的蛇躯盘绕着吞没。	很快，我被吞陷在瘋狂的溫柔之中，就像是一點點被曼妙的蛇軀盤繞著吞沒。	私はすぐに狂気じみた優しさに呑み込まれた。まるでヘビにだんだんと呑み込まれているような、そんな感覚だった。	이내 나는 광기에 가까운 부드러움 속으로 빨려 들어갔다. 그녀의 우아한 몸짓이 나를 천천히 휘감으면서, 점차 나를 삼켜버리는 듯한 느낌이었다.	Before I knew it, I was ensnared in her love — overwhelming yet so tender and heart-warming all at once, inch by inch, as if coiled in the embrace of a gentle, graceful serpent.						0
72	直到这一刻，我终于触碰到在恩雅内心隐藏着的……凶猛的，热切的，想要独自占有我的贪恋。	直到這一刻，我終於碰到在恩雅內心隱藏著的……兇猛的，熱切的，想要獨自佔有我的貪戀。	その瞬間、私はやっとエンヤの中にひそむ、猛烈で、熱烈で、私を独り占めしようとする貪欲に触れた気がした。	그 순간, 나는 마침내 엔야의 내면 깊숙이 감춰져 있던, 격렬하고 뜨거우면서 나를 온전히 독차지하고 싶어 하는 탐욕을 깨달았다.	And in that moment, I finally came face to face with what Enya had concealed all along — an untamed, fervent, possessive craving that refused to share me with any other.						0
73	也是接触到这份贪恋，我才明白，什么是恩雅想要展示给我的，特别一面。	也是接觸到這份貪戀，我才明白，什麼是恩雅想要展現給我的，特別一面。	それに触れたことで、エンヤが言う「特別な一面」とはなんなのか気づいた。	그리고 그 탐욕을 마주한 순간, 엔야가 내게 보여주고 싶은 특별한 면이 무엇인지 알게 되었다.	Only now did I truly understand — this was the side of her she had been waiting to show me. The part of her meant for me alone.						0
