xxx_3836936352	A	A	A	A	A	A	A	A	A
16		1	1	{{1,30},{2,51303}}	{51361,11311,51362,11312,51363,11313,51364,51311,11314,51365,11315,11316,51366,51312,51367,11317,11318,51368,11319,51369,11320,11321,51370,11322,51371}	{{12,{{4,3,1,1,3000},{5,1,1,4,3}}},{24,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800042		{51361,11311,51362,11312,51363,11313,51364,51311,11314,51365,11315,11316,51366,51312,51367,11317,11318,51368,11319,51369,11320,11321,51370,11322,51371}
17		1	2	{{1,30},{2,51371}}	{51381,11331,11332,51382,11333,51321,51383,11334,51384,11335,51385,11336,51386,11337,51387,11338,51388,51322}	{{8,{{4,3,1,1,3000},{5,1,1,4,3}}},{16,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{24,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800043		{51381,11331,11332,51382,{11333,51321},51383,11334,51384,11335,51385,11336,51386,11337,51387,11338,51388,51322}
18		1	2	{{1,30},{2,51388}}	{51451,11401,11402,51452,11403,51453,11404,51454,11405,51455,11406,51456,11407,51457,11408,11409,51458,51401}	{{9,{{4,3,1,1,3000},{5,1,1,4,3}}},{18,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{27,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800044		{51451,11401,11402,51452,11403,51453,11404,51454,11405,51455,11406,51456,11407,51457,11408,11409,51458,51401}
19	1	1	1	{{1,30},{2,51458}}	{51461,51462,11410,11411,51463,11412,11413,51464,11414,51465,11415,51466,11416,11417,51467}	{{8,{{4,3,1,1,3000},{5,1,1,4,3}}},{16,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{24,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800045		{51461,51462,11410,11411,51463,11412,11413,51464,11414,51465,11415,51466,11416,11417,51467}
20	2	1	1	{{1,1}}	{51471,11421,11422,51472,11423,11424,11425,11426,51473,51474,51475,11427,11428,51476,51477,11429,51478}	{{9,{{4,3,1,1,3000},{5,1,1,4,3}}},{18,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{27,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800046		{51471,11421,11422,51472,11423,11424,11425,11426,51473,51474,51475,11427,11428,51476,51477,11429,51478}
21		1	2	{{1,4},{2,51478}}	{51551,11501,51552,11502,51553,11503,51554,51555,11504,51556,51557,11505,11506,51558,51559,11507,51560,11508,51561,51501}	{{8,{{4,3,1,1,3000},{5,1,1,4,3}}},{16,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{24,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800047		{51551,11501,51552,11502,51553,11503,51554,51555,11504,51556,51557,11505,11506,51558,51559,11507,51560,11508,51561,51501}
22	1	1	1	{{1,22},{2,51501}}	{51571,11511,51572,51573,51574,11512,11513,11514,51575,51576,11515,11516,11517,51577,11518,51578}	{{8,{{4,3,1,1,3000},{5,1,1,4,3}}},{16,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{24,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800048		{51571,11511,51572,51573,51574,11512,11513,11514,51575,51576,11515,11516,11517,51577,11518,51578}
23	2	1	1	{{1,25},{2,51578}}	{51581,51582,11531,11532,51583,11533,51584,11534,51585,51586,11535,11536,51587,11537,51588,11538,51589,11539,51590,51511,51512,51513}	{{9,{{4,3,1,1,3000},{5,1,1,4,3}}},{18,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{27,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800049		{51581,51582,11531,11532,51583,11533,51584,11534,51585,51586,11535,11536,51587,11537,51588,11538,51589,11539,51590,51511,51512,51513}
24		1	2	{{1,30},{2,51513}}	{51541,51542,51543,51544,11541,11542,11543,51545,11544,51546,11545,11546,11547,51547,51548,11548,51549,51550}	{{8,{{4,3,1,1,3000},{5,1,1,4,3}}},{16,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{24,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800050		{51541,51542,51543,51544,11541,11542,11543,51545,11544,51546,11545,11546,11547,51547,51548,11548,51549,51550}
25		1	1	{{1,1}}	{10121,50171,10122,50172,10123,50173,10124,50174}	{{12,{{4,3,2,1,280},{4,3,1,1,10000},{5,1,1,4,4},{4,3,3,1,12}}}}	1800026		{10121,50171,10122,50172,10123,50173,10124,50174}
26		1	1	{{1,4},{2,51550}}	{51751,51752,11701,51753,11702,51754,11703,51755,11704,51756,51757,11705,51758,11706,51759,11707,11708,51760,11709,51761,51701}	{{8,{{4,3,1,1,3000},{5,1,1,4,3}}},{16,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{24,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800053		{51751,51752,11701,51753,11702,51754,11703,51755,11704,51756,51757,11705,51758,11706,51759,11707,11708,51760,11709,51761,51701}
27		1	2	{{1,30},{2,51761}}	{51771,11711,11712,51772,11713,51773,11714,51774,51775,11715,51776,11716,51777,51778,11717,51779,11718,51780,51711,51712,51713}	{{8,{{4,3,1,1,3000},{5,1,1,4,3}}},{16,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{24,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800055		{51771,11711,11712,51772,11713,51773,11714,51774,51775,11715,51776,11716,51777,51778,11717,51779,11718,51780,51711,51712,51713}
28		1	1	{{1,30},{2,51780}}	{16201,11721,11722,16202,16203,16101,16204,11723,11724,16205,16206,16207,16102,11725,16208,11726,11727,11728,16209,11729,16210,16211}	{{9,{{4,3,1,1,3000},{5,1,1,4,3}}},{18,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{27,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800057	1800056	{16201,11721,11722,16202,16203,16101,16204,11723,11724,16205,16206,16207,16102,11725,16208,11726,11727,11728,16209,11729,16210,16211}
29		1	2	{{1,30},{2,16211}}	{51781,51782,11771,51783,51784,11772,11773,51785,11774,51786,11775,11776,11777,51787,51788,51789,11778,51790,51721}	{{8,{{4,3,1,1,3000},{5,1,1,4,3}}},{16,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{24,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800059	1800058	{51781,51782,11771,51783,51784,11772,11773,51785,11774,51786,11775,11776,11777,51787,51788,51789,11778,51790,51721}
1		2	1	{{1,1},{2,50201}}	{1011,1012,1013,1014}		1800027		{1011,1012,1013,1014}
2		2	1	{{1,20},{2,10212},{2,1014}}	{1021,1022,1023,1024}		1800028		{1021,1022,1023,1024}
3		2	1	{{1,25},{2,10312},{2,1024}}	{1031,1032,1033,1034}		1800029		{1031,1032,1033,1034}
4		2	1	{{1,30},{2,10412},{2,1034}}	{1041,1042,1043,1044}		1800030		{1041,1042,1043,1044}
5		2	1	{{1,30},{2,10512},{2,1044}}	{1051,1052,1053,1054}		1800031		{1051,1052,1053,1054}
6		2	1	{{1,30},{2,10612},{2,1054}}	{1061,1062,1063,1064}		1800032		{1061,1062,1063,1064}
7		2	1	{{1,30},{2,10712},{2,1064}}	{1071,1072,1073,1074}		1800033		{1071,1072,1073,1074}
8		2	1	{{1,30},{2,10812},{2,1074}}	{1081,1082,1083,1084}		1800034		{1081,1082,1083,1084}
9		2	1	{{1,30},{2,10912},{2,1084}}	{1091,1092,1093,1094}		1800035		{1091,1092,1093,1094}
10		2	1	{{1,30},{2,11012},{2,1094}}	{1101,1102,1103,1104}		1800036		{1101,1102,1103,1104}
