xxx_3278759623	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
10104	0	10104	1	{{2,10103}}	{0,6}	{{9},{2,1},{1,300}}	{4009013,400100301,4001015,4001004}	1	0			0	0	50153	6	400			{}	{1003}	{1034}		{{4,3,1,1,600},{4,3,3,1,6},{5,1,1,1,1}}		{{5,1,1,2,1},{4,3,2,1,50},{5,1,1,2,1}}		1801000	Task01/Task01_04.Task01_04	{4000010}	600			1			
10105	0	10105	1	{{2,50153}}	{0,6}	{{9},{2,1},{1,300}}	{4001016,4009013,400100402,4001015}	1	0			0	0	50154	6	400			{}	{1020}	{1034}		{{4,3,1,1,600},{4,3,3,1,6},{5,1,1,1,1}}		{{4,3,2,1,50},{5,1,1,2,1}}		1801000	Task01/Task01_05.Task01_05	{4000010}	600			1			
10106	3	10106	1	{{2,50154}}	{0,6}	{{9},{4,1,sp_weapontype5},{1,360}}	{400100301,4009013,400100402,4001016}	1	0			0	0	10107	6		10106		{}	{1021}	{1035}		{{4,3,1,1,600},{4,3,3,1,6},{5,2,1,1,1}}		{{4,3,2,1,50},{5,2,1,2,1}}		1801000	Task01/Task01_06.Task01_06	{4000010}	600			1			
10107	0	10107	1	{{2,10106}}	{0,6}	{{9},{4,1,sp_weapontype2},{1,360}}	{4001002,4001004,400100301,4009013,4001016}	1	0			0	0	50155	6		10107		{}	{1020}	{1034}		{{4,3,1,1,600},{4,3,3,1,6},{5,1,1,1,1}}		{{4,3,2,1,50},{5,1,1,2,1}}		1801000	Task01/Task01_07.Task01_07	{4000010}	600		1	1			
10108	0	10108	1	{{2,50155}}	{0,6}	{{9},{2,1},{1,300}}	{4001015,400100402,400100301,4001016}	1	0			0	0	10109	6	400			{}	{1021}	{1035}		{{4,3,1,1,600},{4,3,3,1,6},{5,2,1,1,1}}		{{4,3,2,1,50},{5,2,1,2,1}}		1801000	Task01/Task01_08.Task01_08	{4000010}	600			1			
10109	1	10109	1	{{2,10108}}	{0,6}	{{9},{2,1},{1,360}}	{6001002}	1	0			0	0	50101	6	400			{}	{1021}	{1035}		{{4,3,1,1,600},{4,3,3,1,6},{5,2,1,1,1}}		{{4,3,2,1,50},{5,2,1,2,1}}	1804030	1801000	Task01/Task01_09.Task01_09	{4000010}	600			1			
10201	0	10201	1	{{2,50252}}	{0,8}	{{9},{2,1},{1,300}}	{4001108,4001112,4001116}	1	0			0	0	10202	8	600			{}	{1022}	{1036}		{{4,3,1,1,900},{4,3,3,1,8},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,2,2}}		1801001	Task02/Task02_01.Task02_01	{4000010}	600			1			
10202	0	10202	1	{{2,10201}}	{0,8}	{{9},{2,1},{1,300}}	{4001108,4001112,4001102}	1	0			0	0	10203	8	600			{}	{1023}	{1037}		{{4,3,1,1,900},{4,3,3,1,8},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,2,2}}		1801001	Task02/Task02_02.Task02_02	{4000010}	600			1			
10203	0	10203	1	{{2,10202}}	{0,8}	{{9},{2,1},{1,300}}	{4001106,4001112,4001108,4001104,4001102}	1	0			0	0	50253	8	600			{}	{1022}	{1036}		{{4,3,1,1,900},{4,3,3,1,8},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,2,2}}		1801001	Task02/Task02_03.Task02_03	{4000010}	600			1			
10204	0	10204	1	{{2,50253}}	{0,8}	{{9},{2,1},{1,300}}	{4001108,4001112,4001102,4001103,4001116,4001104,4001106}	1	0			0	0	10205	8	600			{}	{1023}	{1037}		{{4,3,1,1,900},{4,3,3,1,8},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,2,2}}		1801001	Task02/Task02_04.Task02_04	{4000010}	600			1			
10205	0	10205	1	{{2,10204}}	{0,8}	{{9},{2,1},{1,300}}	{4001112,4001108,4001116,4001103,4001102,4001104}	1	0			0	0	10206	8	600			{}	{1022}	{1036}		{{4,3,1,1,900},{4,3,3,1,8},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,2,2}}		1801001	Task02/Task02_05.Task02_05	{4000010}	600			1			
10206	3	10206	1	{{2,10205}}	{0,8}	{{9},{2,1},{1,300}}	{4001112,4001103,500110101,4001108}	1	0			0	0	50255	8	600			{}	{1023}	{1037}		{{4,3,1,1,900},{4,3,3,1,8},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,2,2}}		1801001	Task02/Task02_06.Task02_06	{4000010}	600			1			
10207	0	10207	1	{{2,50255}}	{0,8}	{{9},{2,1},{1,300}}	{400110702,4001108,4001104,4001112,4001106,4001103,4001102}	1	0			0	0	10208	8	600			{}	{1022}	{1036}		{{4,3,1,1,900},{4,3,3,1,8},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,2,2}}		1801001	Task02/Task02_07.Task02_07	{4000010}	600			1			
10208	0	10208	1	{{2,10207}}	{0,8}	{{9},{2,1},{1,300}}	{4001112,4001106,4001104,400110702,4001103,4001102,4001116}	1	0			0	0	10209	8	600			{}	{1023}	{1037}		{{4,3,1,1,900},{4,3,3,1,8},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,2,2}}		1801001	Task02/Task02_08.Task02_08	{4000010}	600			1			
10209	0	10209	1	{{2,10208}}	{0,8}	{{9},{2,1},{1,300}}	{4001108,4001116,4001103,4001112,4001104,4001102}	1	0			0	0	50256	8	600			{}	{1022}	{1036}		{{4,3,1,1,900},{4,3,3,1,8},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,2,2}}		1801001	Task02/Task02_09.Task02_09	{4000010}	600			1			
10210	0	10210	1	{{2,50256}}	{0,8}	{{9},{2,1},{1,300}}	{4001108,4001112,4001106,4001104,5001101,4001103}	1	0			0	0	10211	8	600			{}	{1023}	{1037}		{{4,3,1,1,900},{4,3,3,1,8},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,2,2}}		1801001	Task02/Task02_10.Task02_10	{4000010}	600			1			
10211	0	10211	1	{{2,10210}}	{0,8}	{{9},{2,1},{1,300}}	{4001112,4001106,4001102,4002104,4001108,4001103,5001101,4001116}	1	0			0	0	10212	8	600			{}	{1022}	{1036}		{{4,3,1,1,900},{4,3,3,1,8},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,2,2}}		1801001	Task02/Task02_11.Task02_11	{4000010}	600			1			
10212	1	10212	1	{{2,10211}}	{0,8}	{{9},{2,1},{1,360}}	{6001101}	1	0			0	1	50257	8	600			{}	{1023}	{1037}		{{4,3,1,1,900},{4,3,3,1,8},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,2,2}}	1804032	1801001	Task02/Task02_12.Task02_12	{4000010}	600			1			
10301	0	10301	1	{{2,50351}}	{0,10}	{{9},{2,1},{1,300}}	{4002002,4009013,4001006,400100402}	1	0			0	0	50352	10	700			{}	{1024}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801002	Task03/Task03_01.Task03_01	{4000011}	600			1			
10302	0	10302	1	{{2,50352}}	{0,10}	{{9},{2,1},{1,300}}	{400100402,4001006,4001002,4009013,4001003}	1	0			0	0	10303	10	700			{}	{1025}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}		1801002	Task03/Task03_02.Task03_02	{4000011}	600			1			
10303	0	10303	1	{{2,10302}}	{0,10}	{{9},{2,1},{1,300}}	{4001004,4001002,4001003,4001006,4009013}	1	0			0	0	50353	10	700			{}	{1004}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801002	Task03/Task03_03.Task03_03	{4000011}	600			1			
10304	0	10304	1	{{2,50353}}	{0,10}	{{9},{2,1},{1,300}}	{4001006,5002010,4001003,4001002,4001016,4009013}	1	0			0	0	10305	10	700			{}	{1025}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}		1801002	Task03/Task03_04.Task03_04	{4000011}	600			1			
10305	0	10305	1	{{2,10304}}	{0,10}	{{9},{2,1},{1,300}}	{4001015,4009013,500201001,4001004,4001003}	1	0			0	0	10306	10	700			{}	{1024}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801002	Task03/Task03_05.Task03_05	{4000011}	600			1			
10306	3	10306	1	{{2,10305}}	{0,10}	{{9},{4,1,sp_weapontype3},{1,360}}	{4001006,4001002,400100402,4009013,4001003,4001008,5002010}	1	0			0	0	50354	10		10306		{}	{1007}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}		1801002	Task03/Task03_06.Task03_06	{4000011}	600		1	1			
10307	0	10307	1	{{2,50354}}	{0,10}	{{9},{2,1},{1,300}}	{4001003,4009013,5001010,400100402,4001006}	1	0			0	0	10308	10	700			{}	{1024}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801002	Task03/Task03_07.Task03_07	{4000011}	600			1			
10308	0	10308	1	{{2,10307}}	{0,10}	{{9},{2,1},{1,300}}	{4001003,400901301,4001008,5001010}	1	0			0	0	10309	10	700			{}	{1025}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}		1801002	Task03/Task03_08.Task03_08	{4000011}	600			1			
10309	0	10309	1	{{2,10308}}	{0,10}	{{9},{2,1},{1,300}}	{500201002,400100402,4001006,4001003,4009013,4001008,4001016}	1	0			0	0	50355	10	700			{}	{1024}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801002	Task03/Task03_09.Task03_09	{4000011}	600			1			
10310	0	10310	1	{{2,50355}}	{0,10}	{{9},{2,1},{1,300}}	{5001010,4001002,400100402,4009013}	1	0			0	0	10311	10	700			{}	{1025}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}		1801002	Task03/Task03_10.Task03_10	{4000011}	600			1			
10311	0	10311	1	{{2,10310}}	{0,10}	{{9},{2,1},{1,300}}	{4001016,4001006,400100402,5002010,4001008,5001010}	1	0			0	0	10312	10	700			{}	{1024}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801002	Task03/Task03_11.Task03_11	{4000011}	600			1			
10312	1	10312	1	{{2,10311}}	{0,10}	{{9},{2,1},{1,360}}	{6001003}	1	0			0	1	50356	10	700			{}	{1008}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}	1804031	1801002	Task03/Task03_12.Task03_12	{4000011}	600			1			
10401	0	10401	1	{{2,50451}}	{0,10}	{{9},{2,1},{1,240}}	{4001212,4001211,4001213}	1	0			0	0	50452	10	700			{}	{1024}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801003	Task04/Task04_01.Task04_01	{4000014}	600			1			
10402	0	10402	1	{{2,50452}}	{0,10}	{{9},{2,1},{1,300}}	{4002004,4001002,4001015,4003006,4001003,4002007}	1	0			0	0	10403	10	700			{}	{1025}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}		1801003	Task04/Task04_02.Task04_02	{4000014}	600			1			
10403	0	10403	1	{{2,10402}}	{0,10}	{{9},{2,1},{1,240}}	{4001016,4009013,4001002,4002004,4001003,4001005,5001001,4002007,4002006}	1	0			0	0	10404	10	700			{}	{1024}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801003	Task04/Task04_03.Task04_03	{4000014}	600			1			
10404	0	10404	1	{{2,10403}}	{0,10}	{{9},{2,1},{1,240}}	{4001112,4001016,4001104,4001003,4001004,4001002,4001005,4001013,4001007}	1	0			0	0	50453	10	700			{}	{1025}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}		1801003	Task04/Task04_04.Task04_04	{4000014}	600			1			
10405	0	10405	1	{{2,50453}}	{0,10}	{{9},{2,1},{1,240}}	{5001205,4001108,4001212,4001213}	1	0			0	0	10406	10	700			{}	{1024}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801003	Task04/Task04_05.Task04_05	{4000014}	600			1			
10406	3	10406	1	{{2,10405}}	{0,10}	{{9},{2,1},{1,300}}	{4001104,4001112,4001102,4001106,4001103,5001111,4001108,4001115}	1	0			0	0	50454	10	700			{}	{1025}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}		1801003	Task04/Task04_06.Task04_06	{4000014}	600			1			
10407	0	10407	1	{{2,50454}}	{0,10}	{{9},{2,1},{1,300}}	{4001102,4001112,4001104,4001106,4001103,4001211,4001213,4001212}	1	0			0	0	10408	10	700			{}	{1024}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801003	Task04/Task04_07.Task04_07	{4000014}	600			1			
10408	0	10408	1	{{2,10407}}	{0,10}	{{9},{2,1},{1,300}}	{4001112,4001108,4002102,5001111,400110701,5001205}	1	0			0	0	10409	10	700			{}	{1025}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}		1801003	Task04/Task04_08.Task04_08	{4000014}	600			1			
10409	0	10409	1	{{2,10408}}	{0,10}	{{9},{2,1},{1,240}}	{4001108,4001104,4001115,5001208,4001211,4001212}	1	0			0	0	50455	10	700			{}	{1024}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801003	Task04/Task04_09.Task04_09	{4000014}	600			1			
10410	0	10410	1	{{2,50455}}	{0,10}	{{9},{2,1},{1,240}}	{4001212,4001211,4001213,5001205}	1	0			0	0	10411	10	700			{}	{1025}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}		1801003	Task04/Task04_10.Task04_10	{4000014}	600			1			
10411	0	10411	1	{{2,10410}}	{0,10}	{{9},{2,1},{1,240}}	{5001208,4001211,4001212,4001213,5001205}	1	0			0	0	50456	10	700			{}	{1024}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,1}}		1801003	Task04/Task04_11.Task04_11	{4000014}	600			1			
10412	1	10412	1	{{2,50456}}	{0,10}	{{9},{2,1},{1,360}}	{6001202}	1	0			0	1	50457	10	700			{}	{1005}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,1}}	1804036	1801003	Task04/Task04_12.Task04_12	{4000014}	600			1			
10501	0	10501	1	{{2,50551}}	{0,10}	{{9},{2,1},{1,240}}	{500110901,4001102,4001112,4001108,4001103}	1	0			0	0	10502	10	700	10501		{}	{1026}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801004	Task05/Task05_01.Task05_01		600			1			
10502	0	10502	1	{{2,10501}}	{0,10}	{{9},{2,1},{1,240}}	{4001107,4001112,4001106,4001116,4001108,4001103}	1	0			0	0	10503	10	700	10502		{}	{1027}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801004	Task05/Task05_02.Task05_02		600			1			
10503	0	10503	1	{{2,10502}}	{0,10}	{{9},{2,1},{1,240}}	{500110901,5001208,4001112,4001104,4001106,4001108,4001116}	1	0			0	0	50552	10	700	10503		{}	{1028}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801004	Task05/Task05_03.Task05_03		600			1			
10504	0	10504	1	{{2,50552}}	{0,10}	{{9},{2,1},{1,240}}	{4001108,4001104,4001102,4001112,4001106,4001116,500110902}	1	0			0	0	10505	10	700	10504		{}	{1026}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801004	Task05/Task05_04.Task05_04		600			1			
10505	0	10505	1	{{2,10504}}	{0,10}	{{9},{2,1},{1,240}}	{4001103,400110201,4001112,4001108,400110601,5001111}	1	0			0	0	10506	10	700	10505		{}	{1027}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801004	Task05/Task05_05.Task05_05		600			1			
10506	3	10506	1	{{2,10505}}	{0,10}	{{9},{2,1},{1,300}}	{400111401,4001108,4001112,400110601,5001101,500110901,4001107}	1	0			0	0	50553	10	700	10506		{}	{1006}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801004	Task05/Task05_06.Task05_06		600			1			
10507	0	10507	1	{{2,50553}}	{0,10}	{{9},{4,1,sp_weapontype4},{1,360}}	{4001114,4001103,4001108,4001115,4001116,500110902,4001112}	1	0			0	0	10508	10		10507		{}	{1026}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801004	Task05/Task05_07.Task05_07		600			1			
10508	0	10508	1	{{2,10507}}	{0,10}	{{9},{2,1},{1,240}}	{4001114,4001102,4001108,4001112,4001106,500110901}	1	0			0	0	10509	10	700	10508		{}	{1027}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801004	Task05/Task05_08.Task05_08		600			1			
10509	0	10509	1	{{2,10508}}	{0,10}	{{9},{2,1},{1,240}}	{4001108,4001103,500110901,4001112,5001205}	1	0			0	0	50554	10	700	10509		{}	{1028}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801004	Task05/Task05_09.Task05_09		600			1			
10510	0	10510	1	{{2,50554}}	{0,10}	{{9},{2,1},{1,240}}	{4001103,4001108,4001112,4001114,4001102,4001104,4001106,5001101}	1	0			0	0	10511	10	700	10510		{}	{1026}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801004	Task05/Task05_10.Task05_10		600			1			
10511	0	10511	1	{{2,10510}}	{0,10}	{{9},{2,1},{1,240}}	{4001108,4001112,4001106,4001107,5001101,500110901}	1	0			0	0	50555	10	700	10511		{}	{1027}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801004	Task05/Task05_11.Task05_11		600			1			
10512	1	10512	1	{{2,50555}}	{0,10}	{{9},{2,1},{1,360}}	{6001102}	1	0			0	1	50556	10	700	10512		{}	{1028}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804033	1801004	Task05/Task05_12.Task05_12		600			1			
10601	0	10601	1	{{2,50651}}	{0,10}	{{9},{4,1,sp_weapontype4},{1,360}}	{4009013,4001002,4001016,4003004,4007013,5001010}	1	0			0	0	10602	10		10601		{}	{1026}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801005	Task06/Task06_01.Task06_01		600			1			
10602	0	10602	1	{{2,10601}}	{0,10}	{{9},{2,1},{1,240}}	{4001005,400100402,4001003,4001002,4001017}	1	0			0	0	10603	10	700	10602		{}	{1027}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801005	Task06/Task06_02.Task06_02		600		1	1			
10603	0	10603	1	{{2,10602}}	{0,10}	{{9},{2,1},{1,240}}	{4001007,4001015,4003016,4001002,5002010}	1	0			0	0	50652	10	700	10603		{}	{1028}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801005	Task06/Task06_03.Task06_03		600			1			
10604	0	10604	1	{{2,50652}}	{0,10}	{{9},{2,1},{1,240}}	{4001017,4001004,4001002,4001007,4001005,4001013}	1	0			0	0	10605	10	700	10604		{}	{1026}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801005	Task06/Task06_04.Task06_04		600			1			
10605	0	10605	1	{{2,10604}}	{0,10}	{{9},{2,1},{1,240}}	{400100402,4002016,4003006,4001007,4001003,4001008,5001001}	1	0			0	0	10606	10	700	10605		{}	{1027}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801005	Task06/Task06_05.Task06_05		600			1			
10606	3	10606	1	{{2,10605}}	{0,10}	{{9},{2,1},{1,240}}	{400100402,4003006,4001002,4001007,4001005,5001001}	1	0			0	0	50653	10	700	10606		{}	{1028}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801005	Task06/Task06_06.Task06_06		600			1			
10607	0	10607	1	{{2,50653}}	{0,10}	{{9},{2,1},{1,240}}	{4001213,4001211,4001212,5001207}	1	0			0	0	10608	10	700	10607		{}	{1026}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801005	Task06/Task06_07.Task06_07		600			1			
10608	0	10608	1	{{2,10607}}	{0,10}	{{9},{2,1},{1,300}}	{4003007,4001002,4001006,4001005,4002013,5001001}	1	0			0	0	10609	10	700	10608		{}	{1027}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801005	Task06/Task06_08.Task06_08		600			1			
10609	0	10609	1	{{2,10608}}	{0,10}	{{9},{2,1},{1,240}}	{4001211,4001213,4001212,5001207}	1	0			0	0	50654	10	700	10609		{}	{1028}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801005	Task06/Task06_09.Task06_09		600			1			
10610	0	10610	1	{{2,50654}}	{0,10}	{{9},{2,1},{1,240}}	{4001213,4001211,4001212,5001207}	1	0			0	0	10611	10	700	10610		{}	{1026}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801005	Task06/Task06_10.Task06_10		600			1			
10611	0	10611	1	{{2,10610}}	{0,10}	{{9},{2,1},{1,240}}	{4001212,4001211,4001213,5001207,5001208}	1	0			0	0	50655	10	700	10611		{}	{1027}	{1038}		{{4,3,1,1,1050},{4,3,3,1,10},{5,2,1,1,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801005	Task06/Task06_11.Task06_11		600			1			
10612	1	10612	1	{{2,50655}}	{0,10}	{{9},{2,1},{1,360}}	{6001201}	1	0			0	1	50656	10	700	10612		{}	{1028}	{1039}		{{4,3,1,1,1050},{4,3,3,1,10},{5,1,1,1,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804035	1801005	Task06/Task06_12.Task06_12		600			1			
10701	0	10701	1	{{2,50751}}	{0,12}	{{9},{2,1},{1,240}}	{4002104,4001108,5001110,4001112,4001102,5002110}	1	0			0	0	10702	12	800	10701		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801006	Task07/Task07_01.Task07_01		600			1			
10702	0	10702	1	{{2,10701}}	{0,12}	{{9},{2,1},{1,240}}	{4001108,4001112,4001107,4001116,5003110,4001211,4001212,5001110,4001106}	1	0			0	0	10703	12	800	10702		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801006	Task07/Task07_02.Task07_02		600			1			
