xxx_1133913540	A	A	A	A	A	A	A	A	A	A	A
13	我的温柔只会留给她们，至于你，你和罗赞·赫瓦雷纳一样，不值得任何怜悯。	我的溫柔只會留給她們，至於你，你和羅贊·赫瓦雷納一樣，不值得任何憐憫。	悪いが、優しさは身内だけだ。あなたとロザン・フワルナみたいな相手に向ける分はない。	나의 따뜻함은 그녀들만을 위한 특권이야. 너랑 로잔 크바레나에게는 그 어떠한 동정도 아까워.	My tender heart is reserved only for my girls. As for you? You are just as despicable as Rozan Khwarenah — not worth even a shred of compassion.						0
14	既然如此，我……	既然如此，我……	でしたら……	그렇다면, 전…	In that case, I...						0
15	墨菲斯忽然猛地向后退去，拉开了与我们的距离。	墨菲斯忽然猛地向後退去，拉開了與我們的距離。	モルペウスは咄嗟に立ち上がって私たちと離れた場所に飛び退いた。	모르페우스는 갑자기 뒤로 물러나며 우리와 거리를 벌렸다.	Suddenly, Morpheus jerked back, running away from us in a desperate retreat.						0
16	始终飘荡在花海上空的捕梦网也终于产生了变化，我能感觉到大量的能量正汇聚在捕梦网中央，如同一滴巨大的水珠悬在我们头上，摇摇欲坠。	始終飄蕩在花海上空的捕夢網也終於產生了變化，我能感覺到大量的能量正匯聚在捕夢網中央，如同一滴巨大的水珠懸在我們頭上，搖搖欲墜。	そしてついに空を覆う網が動き出す。少しだけその真ん中がまぶしく光りながら膨らむと、網全体は今にも落ちてきそうな巨大な雫の形に変化した。	꽃밭 상공에서 날아다니던 드림캐처에 변화가 생겼다. 엄청난 에너지가 드림캐처 중앙으로 몰려드는 게 느껴졌고, 거대한 물방울처럼 우리 머리 위에 아슬하게 매달려있었다.	Above the flower field, the dreamcatcher suddenly began to shift. I could feel a massive surge of energy gathering at its center — like a giant droplet of water hanging precariously above us, ready to drip down at any moment.						0
17	分析员，她是想……和我们同归于尽？！	分析員，她是想……和我們同歸於盡？！	分析員さん、あれは……！私たちと心中するつもりのようです！	분석가님, 설마… 공멸하려는 건 아니겠죠?	Adjutant, is she... trying to take us down with her!?						0
18	来不及回答茉莉安焦急的询问，我已经双腿发力，朝着墨菲斯直冲而去。而恩雅和茉莉安也只慢了半步，一左一右堵住了墨菲斯的退路。	來不及回答茉莉安焦急的詢問，我已經雙腿發力，朝著墨菲斯直衝而去。而恩雅和茉莉安也只慢了半步，一左一右堵住了墨菲斯的退路。	マリアンの声に答える暇もなく、私は一生懸命モルペウスに向かって突き進んでいく。するとエンヤとマリアンも続くように、左右からモルペウスの逃げ道を塞いだ。	마리안의 조급한 질문에 대답을 할 시간도 없이, 난 두 다리에 힘을 주어 모르페우스를 향해 뛰어갔다. 엔야와 마리안도 바로 뒤를 따라와 모르페우스의 퇴로를 막아버렸다.	With no time to answer Marian's question, I pushed off the ground and sprinted after Morpheus. Enya and Marian flanked me immediately, closing in from both sides to cut off her escape.						0
19	二十米，十米，五米，两米，眼见墨菲斯的裙摆随风飘起，触及到我的指尖——	二十公尺，十公尺，五公尺，兩公尺，眼見墨菲斯的裙子隨風飄起，觸及到我的指尖——	間合いが縮まっていく。20メートル、10メートル、5メートル、2メートル……ひらひらと舞うモルペウスの裾に触れるほどの距離まで来たが――	20m, 10m, 5m, 2m, 모르페우스의 흩날리는 치맛자락이 손끝에 곧 닿을 것만 같았다…	Twenty meters. Ten. Five. Two... I could see Morpheus' dress flap in the wind, almost within my reach...						0
20	却还是晚了一步。	卻還是晚了一步。	結局、一歩遅かった。	하지만 결국 한발 늦었다.	But I was a step too late.						0
21	捕梦网中的能量在最后关头彻底倾泻下来，形成了一道光柱，直直注入墨菲斯的身体中，随即带着她的身体不断膨胀。	捕夢網中的能量在最後關頭徹底傾瀉下來，形成了一道光柱，直直注入墨菲斯的身體中，隨即帶著她的身體不斷膨脹。	網の真ん中に集まっていたエネルギーは光の柱に変化して、一気にモルペウスの体に流し込まれた。するとその体が風船のように膨らんでいく。	마지막 순간에 드림캐처의 에너지가 쏟아져 내려와 빛줄기를 형성했고, 모르페우스의 몸으로 들어갔다, 이내 그녀의 몸은 끊임없이 부풀어 오르기 시작했다.	At the last moment, energy from the dreamcatcher came crashing down, forming a brilliant beam of light that poured directly into Morpheus' body. Her form twisted and swelled uncontrollably.						0
22	分析员！	分析員！	分析員！\n分析員さん！	분석가!	Adjutant!						0
23	不过眨眼间，完全失控的能量便爆发出来，让所有人的眼前都只剩下耀眼的白光。我只能借着前冲的力量，在空中抓住恩雅和茉莉安，继而挡在她们与光柱之间。	不過眨眼間，完全失控的能量便爆發出來，讓所有人的眼前都只剩下耀眼的白光。我只能藉著前衝的力量，在空中抓住恩雅和茉莉安，繼而擋在她們與光柱之間。	次の瞬間、視界は白く染まった。反射的に突進の勢いをそのままにエンヤとマリアンの腕を引っ掴み、体で光の柱からふたりを庇う。	눈 깜짝할 사이에, 에너지가 폭주하듯 뿜어져 나오며 모든 사람의 눈앞에는 흰색 빛만이 남게 되었다. 난 앞으로 뛰어가는 힘에 의지한 채 엔야와 마리안을 잡고 그녀들과 빛줄기 사이를 막아섰다.	In the blink of an eye, the raging energy erupted into a violent explosion, swallowing everything in blinding white light. Using my momentum, I caught Enya and Marian midair, pulling them close and shielding them with my body.						0
24	轰！	轟！	ドカーン！	쾅!	*BOOM—!*						0
25	爆炸，与随之而来的冲击波将我们掀飞出去数米，但不知为何，爆炸的威力远比我想象的要小……	爆炸，與隨之而來的衝擊波將我們掀飛出去數公尺，但不知為何，爆炸的威力遠比我想像的要小……	爆発の衝撃波で体が宙を舞って地面にぶつかる。いや待て……この威力は、思ったよりずっと弱かった。	폭발과 함께 밀려오는 충격파가 우리를 수 미터 밖으로 밀어냈다. 하지만 어쩐지 폭발은 우리가 상상했던 것보다 위력이 작았다…	The explosion sent us hurtling through the air several meters — but strangely, it was much weaker than I had expected...						0
26	不对！	不對！	――いや、違う！	잠깐!	Wait!						0
27	我在不断从内向外涌出的气流中艰难地睁开眼，只看到一个暗紫色的影子借着爆炸所产生的能量向我们的反方向退却而去。	我在不斷從內向外湧出的氣流中艱難地睜開眼，只看到一個暗紫色的影子藉著爆炸所產生的能量向我們的反方向退卻而去。	爆発後の狂ったように吹きすさぶ突風の中でなんとか目蓋を開けると、私たちが吹き飛ばされたのと逆方向へ飛び去っていく紫色の後ろ姿があった。	안에서 밖으로 뿜어져 나오는 기류 속에서 어렵게 눈을 떴고, 어두운 보랏빛 그림자가 폭발 때문에 발생한 에너지를 우리의 반대 방향으로 밀어내고 있었다.	Fighting against the force of the blast, I struggled to open my eyes — just in time to see a dark purple shadow retreating in the opposite direction, carried away by the shockwave.						0
28	最终，只留下蝉蜕般的人类拟态在光柱中盘旋，燃烧殆尽。	最終，只留下蟬蛻般的人類擬態在光柱中盤旋，燃燒殆盡。	モルペウスのいた場所に目を戻すと、そこに人間の姿を模した抜け殻のようなものが燻っていた。	매미의 허물처럼 변해버린 인간 형태의 존재가 빛줄기 속에서 맴돌며 불에 타고 있었다.	In the end, all that remained was a hollow humanoid shell, spinning within the beam of light — until it burned away to nothing.						0
29	她逃走了。	她逃走了。	……逃してしまいました。	도망갔네요.	She got away.						0
30	茉莉安的话中仍带着不甘，但我们都很清楚，面对这样一个不愿战斗，只是一心寻求脱身的敌人，让她逃走并不是一个不可接受的结局。	茉莉安的話語中仍帶著不甘，但我們都很清楚，面對這樣一個不願戰鬥，只是一心尋求脫身的敵人，讓她逃走並不是一個不可接受的結局。	マリアンの声はどこか悔しかった。しかし、もとから戦闘意欲がまるでなく、ひたすらに逃げようとするような相手を逃してしまっても、仕方ないと言ったら仕方ない。	마리안은 아쉬운 말투였지만 우리 모두 다 알고 있었다. 원치 않는 전투에서 도망칠 궁리만 하는 적을 도망치게 두는 건 받아들일 수 없는 결말이다.	Frustration laced her voice, but deep down, we all knew that against an enemy with no intention to fight — only to flee — letting her get away wasn't the worst outcome.						0
31	不过，她为什么要后退到这里，才将捕梦网的能量释放出来……	不過，她為什麼要退到這裡，才將捕夢網的能量釋放出來……	でも……あんな技が使えるのなら、なぜ最初から使わず、飛び退いたんでしょう……	하지만 그녀는 왜 이곳까지 물러나서 드림캐처의 에너지를 방출한 걸까요…	But why did she have to retreat this far to release the energy from the dreamca—						0
32	说到一半，茉莉安忽然失去了意识，朝着我的怀中沉沉睡去。	說到一半，茉莉安突然失去了意識，朝著我的懷中沉沉睡去。	怪訝そうに言い終わるとマリアンは急にふらつきながら、私の腕に倒れ込んできた。	말을 이어가던 마리안은 갑자기 의식을 잃고 나의 품속에 쓰러져 잠이 들었다.	Before she could finish, her body suddenly wavered, then collapsed into my arms, fast asleep.						0
33	分析员，她这是……！	分析員，她這是……！	分析員！これって……！	분석가, 갑자기 왜…!	What's wrong with her!?						0
34	没事，她的呼吸很平稳，应该只是用尽力气了。	沒事，她的呼吸很平穩，應該只是用盡力氣了。	大丈夫なはずだ。息が落ち着いているから、体力を使い切っただけだと思う。	괜찮아요, 호흡이 안정적인 걸 봐선 그냥 기력이 다 빠진 것 같아요.	She's fine. Her breathing is steady — probably just exhausted.						0
35	这一趟下来，真是足够把人累倒。	這一趟下來，真是足夠把人累倒。	モルペウスを探すの、きっと大変だっただろう。	이번 일은 정말 쓰러질 정도로 힘들었잖아요.	What she went through has been enough to wear anyone out.						0
36	不仅要在城市高楼间找到墨菲斯的痕迹，还要集中精神抵抗模因的影响，这种事情……的确只有小茉莉安能做到吧。	不僅要在城市高樓間找到墨菲斯的痕跡，還要集中精神抵抗迷因的影響，這種事情……的確只有小茉莉安能做到吧。	ミームの影響に邪魔されながらモルペウスを見つけるなんて……きっと、マリアンちゃんにしかできなかったんでしょうね。	도시 건물 속에서 모르페우스의 흔적을 찾고, 정신을 집중해 밈의 영향을 받지 않게 저항하는 건… 아마 마리안만이 할 수 있을 거야.	That's true. Chasing Morpheus' traces through the city ruins while resisting the memes' influence... only Marian could have pulled that off.						0
37	恩雅也做到了只有恩雅能做的事情，不是吗？	恩雅也做到了只有恩雅能做的事情，不是嗎？	エンヤだって、自分にしかできないことをしただろう？	엔야도 엔야만이 할 수 있는 일을 했잖아요, 안 그래요?	But you also managed to do something that only you could pull off, didn't you?						0
38	我……	我……	私は……	난…	I...						0
39	她看向我，眼中充满了温柔。	她看向我，眼神充滿了溫柔。	言い淀んで、少し照れたような眼差しを向けてくる。	그녀는 따뜻한 눈빛으로 나를 바라봤다.	She tenderly gazed at me, her eyes filled with warmth.						0
40	嗯，只要分析员在我身边，我什么都可以做到。	嗯，只要分析員在我身邊，我什麼都可以做到。	はい。分析員がそばにいれば、なんでもできるような気がします。	맞아, 분석가가 내 옆에 있으면, 뭐든지 할 수 있어.	Yeah. As long as you're by my side, Adjutant... I can pull anything off.						0
41	晚风恰到好处地吹起，让少女的发丝与一望无垠的花海一齐摆动。	晚風恰到好處地吹起，讓少女的髮絲與一望無垠的花海一齊擺動。	良い感じに吹き抜ける夜風に紫色の髪がなびいて、花畑が波を打つ。	저녁 바람이 때마침 불어왔고, 소녀의 머리카락과 끝없는 꽃밭이 바람을 타고 휘날렸다.	The evening breeze whispered through the air, setting her hair and the wildflowers around us swaying in gentle unison.						0
42	这里像是从未经历过一场恶战，夕阳与晚霞点缀在天空中，为望着远方的恩雅增添上了淡淡的金色轻纱。	這裡像是從未經歷過一場惡戰，夕陽與晚霞點綴在天空中，為望著遠方的恩雅增添上了淡淡的金色輕紗。	雲混じりの夕暮れの空を眺める少女のまつげは、沈む日の斜光に照らされ金色に輝いていた。息を呑みそうになった。	이곳에서는 치열한 전투의 흔적은 찾아볼 수 없었고, 석양과 노을이 하늘을 아름답게 꾸미며 먼 곳을 바라보는 엔야에게 황금빛 베일을 씌워줬다.	Everything was so peaceful, so idyllic, it felt almost impossible that this was the same place that had just witnessed a fierce battle. The sky, painted in hues of sunset, cast a golden glow over Enya as she gazed into the distance.						0
43	啊……茉莉安刚才问的那个问题，我好像知道答案了。	啊……茉莉安剛才問的那個問題，我好像知道答案了。	……今のマリアンの疑問、答えがわかったかもしれない。	아… 마리안이 아까 물어봤던 질문에 대한 답이 생각났어요.	Ah... I think I've figured out the answer to Marian's question.						0
44	“为什么墨菲斯要后退到这里释放能量”，是吗？	「為什麼墨菲斯要後退到這裡釋放能量」，是嗎？	モルペウスが最後になるまであの網を使わなかった理由なんですか？	'모르페우스가 왜 이곳까지 물러난 다음 에너지를 방출했는지'에 대한 이유?	You mean, why Morpheus had to retreat this far to release the energy?						0
45	我记得，这附近的花原本还没有完全盛开。	我記得，這附近的花原本還沒有完全盛開。	この辺の花、たしか最初は咲いていなかったはずだ。	이 근처에 있는 꽃밭의 꽃들이 아직 활짝 피지 않았던 걸로 기억하거든요.	I remember the flowers here weren't fully bloomed before. But now...						0
46	我随手从身边的一朵小花上摘下一片花瓣，又松开手，任凭它随风飘去。	我隨手從身邊的一朵小花上摘下一片花瓣，又鬆開手，任憑它隨風飄去。	そう言って膝を曲げ、私は一枚の花びらをつまんだ。そして指を緩め、風に吹かれていく様を眺めた。	난 손을 뻗어 꽃잎을 하나 떼어냈고, 이내 바람에 날아가도록 다시 놓아주었다.	I reached for a nearby wildflower, plucking a single petal and letting it drift away on the breeze.						0
47	吸收了那些能量之后……这些花开了。	吸收了那些能量之後……這些花開了。	エネルギーを吸収して咲いたんだ。	에너지를 흡수한 다음… 꽃이 활짝 피었어요.	After absorbing the energy... they all bloomed.						0
48	……	……	……	…	...						0
49	果然，又是个怪人啊。	果然，又是怪人啊。	至上者にしては変わり者だな。	역시, 정말 이상한 사람이에요.	Hah... turns out she was an eccentric character, too.						0
50	喂！你们在这欣赏风景的时候，是不是完全忘了我还在了？	喂！你們在這裡欣賞風景的時候，是不是完全忘記我還在了？	ねぇ！風景を見るのは楽しい？わたしのこと完璧に忘れてない？	이봐! 지금 풍경을 감상할 때야? 나의 존재를 완전히 잊고 있던 건 아니지?	Hey! I hate to interrupt your little flower-gazing moment, but have you completely forgotten that I'm still here?						0
51	原来你还在啊。	原來你還在啊。	まだいたんだ。	아직 여기 남아있었네.	Oh? So you are still here.						0
52	这并不是我揶揄她，我的确以为莉琪会在我们与墨菲斯的战斗中趁乱逃走，毕竟……	這不是我揶揄她，我的確以為莉琪會在我們與墨菲斯的戰鬥中趁亂逃走，畢竟……	別にからかうつもりで言っているわけじゃない。てっきりモルペウスとの戦闘中でどこかへ逃げていったと思っていた。なぜなら……	그녀를 조롱하는 것이 아니라, 난 리지가 우리가 모르페우스와 전투를 하는 사이에 도망갔을 줄 알았다, 왜냐하면…	That wasn't me messing with her — I honestly assumed that while the three of us were locked in battle with Morpheus, she would've taken the opportunity to slip away. After all...						0
53	莉琪，你需要和我们一起回到公司，接受调查。	莉琪，你需要和我們一起回到公司，接受調查。	リジさん、いくつかお話を聞きたいので、会社まで同行してもらいますよ。	리지, 넌 우리랑 같이 회사로 돌아가서 조사를 좀 받아야 할 거 같아.	Lizzie, you need to come back with us to Yggdrasil for questioning.						0
54	哈？！可你们分析员不是说，配合你们行动，就不用被调查了吗？就在那个自动贩卖机前面说的！	哈？！但你們分析員不是說，配合你們行動，就不用被調查了嗎？就在那個自動販賣機前面說的！	えぇ！？一緒に行動したら調査されないって、分析員さんがあの自動販売機の前で言ってたのに！	하?! 분석가가 협조만 잘해주면 조사받을 필요 없다 했잖아? 그 자판기 앞에서 말이야!	Huh!? But your Adjutant promised me that if I helped with your investigation, I wouldn't have to go through all that! He said it — back by the vending machine, remember!?						0
55	我记得，我好像没答应过任何事情，只是提出了合作的提议。	我記得，我好像沒答應過任何事情，只是提出了合作的提議。	そんな約束をした覚えはないぞ。協力しようと提案しただけだ。	기억은 하는데, 내가 그렇게 해주겠다고 한 기억은 없어, 난 단지 협력을 제안했을 뿐이야.	I don't remember making any promises. I simply suggested that we collaborate.						0
56	所以我的提议是，我们先共享一下情报。毕竟，“世界树的合作者”这个身份，可要有分量得多。	所以我的提議是，我們先分享一下情報。畢竟，「世界樹的合作者」這個身分，可要有分量得多。	だから、ひとつ提案がある。まず情報共有でもしないか？「ユグドラシルの協力者」という立場のほうがあなたにとっても都合はいいと思うが。	그러니 일단 정보를 공유하는 걸 제안할게. '위그드라실 협력자' 신분이 조금 더 있어 보이잖아.	So, I suggest we share some intel first. After all, "collaborating with Yggdrasil" definitely sounds a lot better than "sneaking around," am I right?						0
57	搞半天，是她自己没想到这件事吗？	搞半天，是她自己沒想到這件事嗎？	まさか、こうなると知らずに提案をのんだとは……	그녀 혼자 이 일을 이해하지 못한 건가?	So that's why she didn't run when she had the chance?						0
58	我看着莉琪用手指戳着头套，似乎在回忆当时的情况，许久后，她只能捏紧了拳头。	我看著莉琪用手指戳著頭套，似乎在回憶當時的狀況，許久後，她只能捏緊了拳頭。	困ったようにキリンの首元を指でつっつくリジ。あの時の会話を回想しているのだ、たぶん。少しして、リジは急に小さな拳を握った。	리지는 손가락으로 탈을 비비며 그 당시의 상황을 떠올리고 있는 것 같았다. 잠시 후, 그녀는 아무것도 못 하고 주먹만 꽉 쥐었다.	I watched as Lizzie poked at her giraffe head, deep in thought, seemingly replaying our conversation. After a moment, she clenched her fists.						0
59	可恶！	可惡！	もー！	젠장!	Darn it!						0
60	如果被关进世界树公司的话，我的论文我的修学旅行我的调查计划我的一切就都泡汤了！你这个——呜呜呜……	如果被關進世界樹公司的話，我的論文我的修學旅行我的調查計劃我的一切就都泡湯了！你這個——嗚嗚嗚……	ユグドラシルに閉じ込められたら、わたしの論文も、修学旅行も、調査計画も……なにもかもが台無しだよ！うう……ひどいよぉぉぉ……	만약 위그드라실에 갇히게 되면, 나의 논문과 나의 학문 여행 그리고 나의 조사 계획, 나의 모든 것이 허투루 돌아가잖아! 정말 너무해, 흑흑흑…	If I get locked up by Yggdrasil, my thesis, my study trip, my research plans — everything will be ruined! You— Ugh! Waaah...						0
61	看她一副委屈巴巴的样子，我也只得轻咳两声，打断了她过于刻意的假哭。	看她一副委屈巴巴的樣子，我也只得輕咳兩聲，打斷了她過於刻意的假哭。	あまりに分かりやすい噓泣きによる気まずさを和らげようと私は軽く咳ばらいをする。	그녀의 억울한 모습을 보며 나는 어쩔 수 없이 헛기침을 하여 그녀의 과한 울음 연기를 미리 차단시켰다.	Seeing her put on an overly dramatic, pitiful act, I cleared my throat and cut her off before she could ramp up the fake crying any further.						0
62	虽然公司的规章是这样，但并不是没有特事特办的办法。	雖然公司的規章是這樣，但並不是沒有特事特辦的辦法。	会社の規定としてはそうなるが……今回だけ、融通を利かせてあげてもいい。	회사 규정은 그렇지만, 또 특수 상황에 대한 특수 대처법이 있어.	I mean, that's company policy. But I suppose we can make an exception for a special case like this.						0
63	真的？	真的？	ホント？	정말?	For real!?						0
64	我拿出通讯终端，朝她挥了挥。	我拿出通訊終端，朝她揮了揮。	私は通信端末を取り出してリジのほうへ差し出す。	난 통신 단말기를 꺼내 그녀를 향해 흔들었다.	I grabbed my terminal and waved it at her.						0
65	留下通讯方式，在需要的时候，提供远程证言就可以。	留下通訊方式，在需要的時候，提供遠端證詞就可以。	連絡先を登録してくれ。これで取り調べは通信で答えてくれればいい。	연락처를 남겨줘. 필요할 때마다 원격으로 증언만 해주면 돼.	Give me your contact info. This way, you can provide your deposition remotely when we need it.						0
66	我的话音未落，莉琪已经冲了过来，用她的套着长颈鹿保护壳的终端贴上了我的终端。两台终端发出“滴”的一声，表明已经互换了通讯识别码。	我的話音未落，莉琪已經衝了過來，用她的套著長頸鹿保護殼的終端貼上了我的終端。兩台終端發出「滴」的一聲，表示已經互換了通訊識別碼。	言い終わるよりも先にキリン柄のケースをつけた端末が私の端末にぶつかった。そして二つの端末が同時にピッと鳴ると、画面に交換完了を意味するアイコンを映した。	말이 끝나기도 전에, 리지는 나의 앞으로 달려왔고, 그녀의 기린 케이스가 씌워진 단말기를 나의 단말기에 가져다 댔다. 단말기에서 '삐' 소리가 났고, 통신 식별코드를 교환했다.	Before I could even finish, Lizzie darted forward, slamming her terminal — wrapped in a giraffe-shaped protective case — against mine. A pair of synchronized beeps confirmed the exchange of our contact IDs.						0
67	这样就好了吧！	這樣就好了吧！	これでいいよね？	이러면 됐지!	Sooo... we're good? Can I go now?						0
68	我朝她点了点头。	我朝她點了點頭。	私は彼女に向って頷いた。	난 그녀를 향해 고개를 끄덕였다.	I gave her a nod.						0
69	你待会就和我们一起出去吧，外面毕竟还有军方的哨卡。	你待會就跟我們一起出去吧，外面畢竟還有軍方的哨卡。	軍の歩哨所を通らないといけないから、エリア16を出るまで私たちと一緒に来ないか。	밖에 아직 군부 초소가 있으니 있다가 우리랑 같이 나가도록 하자.	We'll escort you out. There are military checkpoints outside.						0
70	这个就不劳您费心了~	這個就不勞您費心了~	それはご心配なく～	그건 걱정할 필요 없어~	Oh, thanks, but I can handle this~						0
71	我看着她模仿着墨菲斯，颇为做作地行了个礼，接着便从身后拿出了一架精巧的可折叠无人机，将其展开，让无人机悬在空中。	我看著她模仿墨菲斯，頗為做作地行了個禮，接著便從身後拿出了一架精巧的可折疊無人機，將其展開，讓無人機懸在空中。	リジはモルペウスのようにわざとらしいお辞儀をすると、小型のドローンをどこからともなく取り出し、宙に浮かせた。	그녀는 모르페우스의 인사 예절을 따라 했고, 잠시 후, 등 뒤에서 접이식 드론을 꺼내 들어 펼친 다음 공중에 날렸다.	Mimicking Morpheus, she swept into a theatrical curtsy before pulling out a sleek, foldable drone from behind her. With a flick of her wrist, she unfolded it and sent it hovering into the air.						0
72	再见啦，海姆达尔的分析员，我们一定会再见面的。	再見啦，海姆達爾的分析員，我們一定會再見面的。	じゃあね、ヘイムダルの分析員さん。きっとまたすぐに会うだろうけど。	다음에 봐, 헤임달의 분석가, 나중에 꼭 다시 만날 수 있을 거야.	Goodbye, Mr. Adjutant of Heimdall. We'll surely meet again.						0
73	她的话语中带着从未有过的狡黠，我还没来得及追问，就见她抓住了那架无人机，轻轻一跃，整个人便被无人机带着腾空而起。	她的話語中帶著從未有過的狡黠，我還沒來得及追問，就見她抓住了那架無人機，輕輕一躍，整個人便被無人機帶著騰空而起。	いつになくあざとい口調でそう言うと、ぴょんと飛び上がってドローンの胴体を手で掴んで、リジは空へ昇っていく。	그녀의 말투에서는 한 번도 느껴보지 못한 간사함이 느껴졌고, 추궁을 하기도 전에, 그녀는 드론을 잡고 뛰어올라 드론과 함께 공중으로 날아올랐다.	There was an uncharacteristic slyness to her words, but before I could question it, she grabbed onto the drone. With a light jump, she was lifted into the air.						0
