xxx_3727713097	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
3	3007			{3,1,3,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3008			{3,2,3,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3009			{3,3,3,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3010			{3,1,4,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3011			{3,2,4,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3012			{3,3,4,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3013			{3,1,5,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3014			{3,2,5,1}				{1.25,1.25}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3015			{3,3,5,1}				{1.33,1.33}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3016			{3,1,6,1}				{1.3,1.3}	{-420, 130}	{1.3,1.3}	{-10, 10}					
3	3017			{3,2,6,1}				{1.25,1.25}	{-420, 130}	{1.3,1.3}	{-10, 10}					
3	3018			{3,3,6,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3019			{3,1,7,1}				{1.3,1.3}	{-340, 120}	{1.3,1.3}	{-340, 120}					
3	3020			{3,2,7,1}				{1.34,1.34}	{-340, 100}	{1.4,1.4}	{-340, 100}					
3	3021			{3,3,7,1}				{1.3,1.3}	{-340, 100}	{1.4,1.4}	{-450, 100}					
3	3022			{3,1,8,1}				{1.25,1.25}	{-320, 120}	{1.35,1.35}	{-400, 120}					
3	3023			{3,2,8,1}				{1.2,1.2}	{-280, 120}	{1.3,1.3}	{-340, 120}					
3	3024			{3,3,8,1}				{1.3,1.3}	{-340, 120}	{1.4,1.4}	{-340, 120}					
3	3025			{3,1,9,1}				{1.3,1.3}	{-350, 140}	{1.35,1.35}	{-380, 140}					
3	3026			{3,2,9,1}				{1.35,1.35}	{-340, 80}	{1.35,1.35}	{-400, 150}					
3	3027			{3,3,9,1}				{1.35,1.35}	{-350, 120}	{1.35,1.35}	{-350, 80}					
3	3028			{3,1,10,1}				{1.28,1.28}	{-350, 100}	{1.35,1.35}	{-440, 100}					
3	3029			{3,2,10,1}				{1.3,1.3}	{-340, 80}	{1.3,1.3}	{-380, 80}					
3	3030			{3,3,10,1}				{1.3,1.3}	{-380, 40}	{1.35,1.35}	{-450, 30}					
3	3031			{3,1,11,1}				{1.3,1.3}	{-420, 80}	{1.35,1.35}	{-480, 30}					
3	3032			{3,2,11,1}				{1.33,1.33}	{-420, 100}	{1.35,1.35}	{-420, 120}					
3	3033			{3,3,11,1}				{1.3,1.3}	{-420, 50}	{1.35,1.35}	{-420, 120}					
3	3034			{3,1,12,1}				{1.35,1.35}	{-360, 120}	{1.4,1.4}	{-360, 180}					
3	3035			{3,2,12,1}				{1.3,1.3}	{-360, 80}	{1.35,1.35}	{-400, 80}					
3	3036			{3,3,12,1}				{1.35,1.35}	{-360, 80}	{1.33,1.33}	{-380, 100}					
3	3037			{3,1,13,1}				{1.3,1.3}	{-400, 120}	{1.3,1.3}	{-400, 120}					
3	3038			{3,2,13,1}				{1.3,1.3}	{-320, 80}	{1.3,1.3}	{-380, 80}					
3	3039			{3,3,13,1}				{1.3,1.3}	{-280, 100}	{1.35,1.35}	{-360, 80}					
3	3040			{3,1,14,1}				{1.3,1.3}	{-320, 80}	{1.4,1.4}	{-360, 80}					
3	3041			{3,2,14,1}				{1.3,1.3}	{-400, 80}	{1.4,1.4}	{-420, 100}					
3	3042			{3,3,14,1}				{1.35,1.35}	{-400, 100}	{1.4,1.4}	{-400, 120}					
3	3046			{3,1,15,1}				{1.3,1.3}	{-250, 80}	{1.45,1.45}	{-250, 120}					
3	3047			{3,2,15,1}				{1.5,1.5}	{-360, 120}	{1.3,1.3}	{-300, 80}					
3	3048			{3,3,15,1}				{1.3,1.3}	{-300, 80}	{1.35,1.35}	{-400, 120}					
3	3052			{3,1,16,1}				{1.35,1.35}	{-360, 100}	{1.4,1.4}	{-440, 120}					
3	3053			{3,2,16,1}				{1.3,1.3}	{-360, 80}	{1.35,1.35}	{-400, 80}					
3	3054			{3,3,16,1}				{1.3,1.3}	{-360, 80}	{1.3,1.3}	{-360, 80}					
3	3055			{3,1,17,1}				{1.35,1.35}	{-300, 80}	{1.6,1.6}	{-360, -70}					
3	3056			{3,2,17,1}				{1.3,1.3}	{-320, 80}	{1.3,1.3}	{-320, 50}					
3	3057			{3,3,17,1}				{1.4,1.4}	{-340, 100}	{1.45,1.45}	{-300, 100}					
3	3058			{3,1,18,1}				{1.34,1.34}	{-320, 120}	{1.3,1.3}	{-380, 80}					
3	3059			{3,2,18,1}				{1.2,1.2}	{-380, 80}	{1.34,1.34}	{-500, 120}					
3	3060			{3,3,18,1}				{1.2,1.2}	{-360, 120}	{1.3,1.3}	{-360, 120}					
3	3061			{3,1,19,1}				{1.25,1.25}	{-320, 80}	{1.35,1.35}	{-320, 120}					
3	3062			{3,2,19,1}				{1.3,1.3}	{-300, 100}	{1.35,1.35}	{-300, 180}					
3	3063			{3,3,19,1}				{1.35,1.35}	{-300, 80}	{1.25,1.25}	{-400, 80}					
3	3064			{3,1,20,1}				{1.3,1.3}	{-280, 80}	{1.3,1.3}	{-320, 80}					
3	3065			{3,2,20,1}				{1.25,1.25}	{-320, 80}	{1.35,1.35}	{-480, 80}					
3	3066			{3,3,20,1}				{1.45,1.45}	{-320, 80}	{1.45,1.45}	{-320, 100}					
3	3067			{3,1,21,1}				{1.3,1.3}	{-360, 80}	{1.3,1.3}	{-380, 80}					
3	3068			{3,2,21,1}				{1.3,1.3}	{-380, 80}	{1.35,1.35}	{-420, 50}					
3	3069			{3,3,21,1}				{1.3,1.3}	{-280, 100}	{1.3,1.3}	{-280, 80}					
3	3070			{3,2,22,1}				{1.3,1.3}	{-350, 50}	{1.4,1.4}	{-400, 80}					
3	3071			{3,3,22,1}				{1.3,1.3}	{-380, 120}	{1.5,1.5}	{-350, 200}					
3	3072			{3,1,22,1}				{1.3,1.3}	{-350, 80}	{1.3,1.3}	{-350, 50}					
3	3073			{3,1,23,1}				{1.4,1.4}	{-380, 280}	{1.3,1.3}	{-380, 80}					
3	3074			{3,2,23,1}				{1.3,1.3}	{-380, 80}	{1.4,1.4}	{-400, 80}					
3	3075			{3,3,23,1}				{1.3,1.3}	{-340, 120}	{1.3,1.3}	{-350, 200}					
3	3076			{3,1,24,1}				{1.4,1.4}	{-320, 80}	{1.3,1.3}	{-360, 80}					
3	3077			{3,2,24,1}				{1.4,1.4}	{-360, 80}	{1.4,1.4}	{-300, 100}					
3	3078			{3,3,24,1}				{1.35,1.35}	{-380, 80}	{1.3,1.3}	{-320, 80}					
3	3079			{3,1,25,1}				{1.3,1.3}	{-380, 280}	{1.3,1.3}	{-380, 80}					
3	3080			{3,2,25,1}				{1.3,1.3}	{-380, 80}	{1.44,1.44}	{-340, -200}					
3	3081			{3,3,25,1}				{1.35,1.35}	{-340, 80}	{1.35,1.35}	{-340, 80}					
3	3082			{3,1,26,1}				{1.38,1.38}	{-320, 150}	{1.3,1.3}	{-360, 120}					
3	3083			{3,2,26,1}				{1.4,1.4}	{-320, 120}	{1.43,1.43}	{-320, 250}					
3	3084			{3,3,26,1}				{1.38,1.38}	{-340, 150}	{1.4,1.4}	{-340, 200}					
3	3085			{3,1,27,1}				{1.4,1.4}	{-300, 150}	{1.5,1.5}	{-300, 150}					
3	3086			{3,2,27,1}				{1.3,1.3}	{-380, 120}	{1.4,1.4}	{-400, 80}					
3	3087			{3,3,27,1}				{1.3,1.3}	{-340, 120}	{1.3,1.3}	{-350, 150}					
3	3088			{3,1,28,1}				{1.18,1.18}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3089			{3,2,28,1}				{1.38,1.38}	{-360, 80}	{1.4,1.4}	{-300, 100}					
3	3090			{3,3,28,1}				{1.35,1.35}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3091			{3,1,29,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3092			{3,2,29,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3093			{3,3,29,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3094			{3,1,30,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3095			{3,2,30,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3096			{3,3,30,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3097			{3,1,31,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3098			{3,2,31,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3099			{3,3,31,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3100			{{3,1,32,1},{3,1,32,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3101			{{3,2,32,1},{3,2,32,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3102			{{3,3,32,1},{3,3,32,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3103			{3,1,33,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3104			{3,2,33,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3105			{3,3,33,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3106			{{3,1,34,1},{3,1,34,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3107			{{3,2,34,1},{3,2,34,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3108			{{3,3,34,1},{3,3,34,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3109	{202405021000}	{202405021000}	{{3,1,35,1},{3,1,35,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3110	{202405021000}	{202405021000}	{{3,2,35,1},{3,2,35,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3111	{202405021000}	{202405021000}	{{3,3,35,1},{3,3,35,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3112			{{3,1,36,1},{3,1,36,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3113			{{3,2,36,1},{3,2,36,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3114			{{3,3,36,1},{3,3,36,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3115			{{3,1,37,1},{3,1,37,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3116			{{3,2,37,1},{3,2,37,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3117			{{3,3,37,1},{3,3,37,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3118	{202407251000}	{202407251000}	{{3,1,38,1},{3,1,38,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3119	{202407251000}	{202407251000}	{{3,2,38,1},{3,2,38,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3120	{202407251000}	{202407251000}	{{3,3,38,1},{3,3,38,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3121			{3,1,39,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3122			{3,2,39,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3123			{3,3,39,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3124	[202410101000]	[202410101000]	{{3,1,40,1},{3,1,40,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3125	[202410101000]	[202410101000]	{{3,2,40,1},{3,1,40,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3126	[202410101000]	[202410101000]	{{3,3,40,1},{3,1,40,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3127			{3,1,41,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3128			{3,2,41,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3129			{3,3,41,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3130			{3,1,42,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
