xxx_2557340935	A	A	A	A	A	A	A	A	A	A	A
17	她们这是要做什么？	她們這是要做什麼？	これは一体……？	그녀들은 대체 뭐하고 있는 거죠?	What are they doing?						0
18	这幅怪诞场景让我的思路有些转不过来。	這幅怪誕場景讓我的思路有些轉不過來。	現実離れしたシュールな光景に思考が止まりそうになる。	이 괴상한 장면은 나를 혼란스럽게 만들었다.	The surreal scene stalled my thoughts.						0
19	我原以为她们是要将板凳当作武器开启一场械斗，可看她们又遍地撒花一副欢天喜地的模样，一时间搞不懂这群人到底是扮演着怎样的角色。	我以為她們是要將板凳當作武器開啟一場械鬥，可看她們又遍地撒花一副歡天喜地的模樣，一時間搞不懂這群人到底是扮演著怎樣的角色。	椅子が武器なのかと思ったら、妙にそんな雰囲気じゃなかった。大勢で歌ったり花びらを撒いたりしているその様子、何かのお祭りを祝っているように見えなくもない。	나는 그들이 나무 의자를 무기로 사용해 싸움을 벌이려는 줄 알았는데 그들은 꽃을 뿌리며 즐거워하는 모습이었다. 도대체 이 사람들이 어떤 역할을 하고 있는 건지 이해할 수가 없었다.	At first, I assumed they intended to use the stools as makeshift weapons, but the way they gleefully tossed petals and the overall festive vibe left me utterly perplexed.						0
20	这时有人毫无征兆抬手，将数串东西丢到了我和辰星的身前。	這時有人毫無徵兆抬手，將數串東西丟到了我和辰星的身前。	そう訝しんでいると、いきなりそのうちの一人が、長い糸で繋がれた赤色の何かを目の前に放り投げてきた。	그때, 누군가 예고 없이 손을 들어 여러 개의 물건을 나와 수성의 앞에 던졌다.	Then, without warning, one of them raised an arm and flung several string-like objects at us, landing just inches away from our feet.						0
21	我吃了一惊，拉着像是人偶般呆滞的辰星退后几步，然后在下一刻，一阵噼啪爆鸣声在我们面前炸响。	我吃了一驚，拉著像是人偶般呆滯的辰星退後幾步，然後在下一刻，一陣劈啪爆鳴聲在我們面前炸響。	急な出来事で一瞬たじろいでしまって、すぐに我に返りぼーっと突っ立っている辰星の手を引っ掴んで飛び退く。次の瞬間、赤い物が次々と炸裂して轟音を鳴らした。	나는 깜짝 놀라 수성과 함께 몇 걸음 물러섰다. 그리고 다음 순간 팡팡 터지는 폭음이 우리 앞에서 울려 퍼졌다.	Startled, I reflexively pulled Chenxing — still in a daze — back a few steps. An instant later, a flurry of sharp crackles rang out.						0
22	一连串的爆竹在地上炸开了，红色的碎片像是雪花一样在空中纷飞，也扬起了片片飞舞的花瓣。	一連串的爆竹在地上炸開了，紅色的碎片像是雪花一樣在空中紛飛，也揚起了片片飛舞的花瓣。	それが鳴り止んだ時、赤い紙くずと花びらが入り混じって紙ふぶきのように宙をはらりと舞っていた。	일련의 폭죽이 바닥에서 터지며 빨간 조각들이 눈꽃처럼 공중에 흩날리며 꽃잎도 함께 날렸다.	A string of firecrackers burst to life on the ground, spraying red paper scraps like confetti and scattering flower petals into the air.						0
23	这难道是……	這難道是……	これは、まさか……？	이건 설마…	Could this be...						0
24	分析员……你猜到了吗？	分析員……你猜到了嗎？	分析員は……もう、気づきましたか？	분석가님… 짐작되는 게 있나요?	Adjutant... you've figured out what this is, haven't you?						0
25	我转头看向辰星，辰星好似从方才的恍惚中回过神来，她以郑重的表情看向我，神色中又像是带着一种忐忑的期待之色。	我轉頭看向辰星，辰星好像從方才的恍惚中回過神來，她以鄭重的表情看向我，神色中又像是帶著一種忐忑的期待之色。	言われて辰星の方を振り向くと、彼女の真剣な視線とぶつかった。気のせいだろうか、その目には不安とも期待とも取れるような色が浮かんでいる。	나는 수성을 바라보았다. 그녀는 방금 전의 멍한 상태에서 정신을 차린 듯, 진지한 표정으로 나를 바라보았고, 얼굴에는 불안한 기대감이 서려 있었다.	I turned to Chenxing. She appeared to have shaken off her stupor, gazing back at me with solemnity, though a hint of nervous anticipation lingered in her eyes.						0
26	嗯。	嗯。	ああ。	네.	I think so.						0
27	我轻轻点头，以认真的思考，仔细的分析，回应她的注视。	我輕輕點頭，以認真的思考，仔細的分析，回應她的注視。	軽く頷く。そして真っ直ぐな視線を返しながら重々しく口を開く。ここぞ正念場と思って、脳をフル稼働させて言葉を丁重に選び抜く。	나는 가볍게 고개를 끄덕이며 진지하게 생각하고 철저히 분석하여 그녀의 시선에 응답했다.	I nodded slightly, holding her gaze with earnestness and careful deliberation.						0
28	如果我没猜错的话……这应该是朔州的驱邪仪式？	如果我沒猜錯的話…這應該是朔州的驅邪儀式？	きっとこれは……朔州伝統の魔除けの儀式だな。	제가 잘못 짐작한 게 아니라면… 이건 삭주의 악귀 쫓기 의식인 것 같네요?	If I'm not mistaken... this must be a Shuozhou exorcism rite.						0
29	分析员果然猜到……咦……完全不对！！！	分析員果然猜到……咦……完全不對！！！	やはり分析員と私は心がつうじ……えっ、全然違います！	역시 분석가님이 짐작하신 대로… 어라… 틀렸어요!!!	I knew you'd figure— Wait! No, that's completely wrong!!!						0
30	辰星前半句话还带着羞赧，可话到一半却是忍不住拉高声音。	辰星前半句話還帶著羞覷，但話到一半卻是忍不住拉高聲音。	照れくさそうに言いかけて、わずかだけ間を置いていきなり声を張り上げる。	수성의 목소리에는 처음엔 수줍음이 묻어났지만, 이어 참지 못하고 목소리를 높였다.	Her initially coy tone suddenly shifted as her voice rose sharply.						0
31	哪里不对了。	哪裡不對了。	どこが違うのか？	어디가 틀렸다는 거죠?	What's not right about it?						0
32	……哪里都不对！这个，这个是……	……哪裡都不對！這個，這個是……	……なにもかもです！こ、これは……	… 죄다 틀렸어요! 이, 이건…	...Everything! This isn't an exorcism! It's a... uh...						0
33	我瞧见辰星手足无措的模样，瞧见她脸上挂满的羞红之意，莫名好笑。	我瞧見辰星手足無措的模樣，瞧見她臉上掛滿的羞紅之意，莫名好笑。	慌てふためきながら手振り身振り説明をしようにもままならないその様子に、内心くすっと微笑んでしまう。	나는 수성이 당황한 모습과 그녀의 얼굴에 가득한 부끄러움을 보며 웃음을 참을 수 없었다.	Chenxing's flustered gestures and the deepening blush on her face struck me as inexplicably amusing.						0
34	当然了，在这诡异的场面下，我也没敢放松警惕，眼角余光始终瞅着那群怪异人影。	當然了，在這詭異的場面下，我也沒敢放鬆警惕，眼角余光始終嗆著那群怪異人影。	言うもののやはり完全に気を緩めることができず、流し目でぼやっとしている人影たちの動きをじっと警戒していた。	물론 이 괴상한 상황 속에서도 나는 경계를 늦추지 않았고 곁눈질로 그 이상한 인물들을 계속 주시했다.	Despite the absurdity of it all, I stayed alert, watching those strange shadowy figures from the corner of my eye.						0
35	而接下来，那些人影口中吐出的言语，便让我明白……我到底猜错了什么。	而接下來，那些人影口中吐出的言語，便讓我明白……我到底猜錯了什麼。	そしてその人影の口から吐き出された言葉でやっとわかった……自分はどこを間違えたのかを。	그런데 그 인물들이 내뱉는 말은 내가 도대체 무엇을 잘못 짐작했는지 알게 해주었다.	Then their next words cleared everything up — and made me realize just how far off my guess had been.						0
36	姑爷！小姐！	姑爺！小姐！	新婦さま！新郎さま！	도련님! 아가씨!	My lord! My lady!						0
37	姑爷？小姐？	姑爺？小姐？	新婦？新郎？	도련님? 아가씨요?	Lord? Lady?						0
38	这是……在叫我们？	這是……在叫我們？	ひょっとしてそれ……私たちのことを呼んでいるのか？	이게… 저희를 부르고 있는 건가요?	Are they talking to us...?						0
39	除了我们，分析员你瞧这地方还有旁人吗？	除了我們，分析員你瞧這裡還有旁人嗎？	私たちのほかに誰かいるように見えましたか？	분석가님, 이곳에 우리 말고 누가 더 있나요?	Who else could it be, Adjutant? There's no one else here...						0
40	少女咬着红润的嘴唇，压着羞怯目光，又有些幽怨地望着我。	少女咬著紅潤的嘴唇，壓著羞怯目光，又有些幽怨地望著我。	桜色の唇をきゅっと結んで、目を伏せながらぽそぽそと返してくる。ひょっとしてこれ、拗ねているのか。でもなんで……？	소녀는 붉은 입술을 깨물며 부끄러운 시선을 감추고 나를 애처롭게 바라보았다.	The girl bit her rosy lip as she suppressed her shy gaze, but a slight look of resentment escaped from within.						0
41	听闻此言，我猛地回过味来。	聽聞此言，我猛地回過味。	この世界の成り立ち方を思い出し、はっと気づく。	그 말을 듣고 갑자기 깨달았다.	Her words hit home, and the realization dawned on me.						0
42	这一幕……是你所想的……	這一幕……是你所想的……	これは……いま辰星が望んでいる――	이 장면은… 당신이 생각했던…	This whole scene... it's coming from your thoughts...						0
43	分，分析员……请，请不要继续说下去……	分，分析員……請，請不要繼續說下去……	や、やめてください……分析員、もうそれ以上は……	분, 분석가님… 제발, 더 이상 말하지 말아 주세요…	Ad—Adjutant... please... don't say it...						0
44	辰星以求饶般的目光看着我。我看她羞得满脸通红的模样，不禁担心她下一刻就要背过气去。	辰星以求饒般的眼神看著我。我看她羞得滿臉通紅的模樣，不禁擔心她下一刻就要背過氣去。	絞り出したその声は懇願にすら聞こえた。藁にもすがるような目と紅潮した顔。今にも気が遠くなりそうなその様子、言い切らなくて良かったとほっとする。	수성이 애원하는 듯한 눈빛으로 나를 바라보았다. 완전히 빨개진 그녀의 얼굴을 보니 그녀가 정말 기절할까 걱정이 되었다.	Chenxing gazed at me with pleading eyes, her face flushed a deep crimson. Seeing her so overwhelmed, I couldn't help but worry that she might faint.						0
45	而这时，那群人影更靠近了一些，前面几人还夹着嗓子开始唱起词来。	而這時，那群人影更靠近了一些，前面幾人還夾著嗓子開始唱起詞來。	あれこれ考えているうちに、ぼやっとした人影たちはすぐ近くにまで来ている。そして全員揃って小気味良いリズムで何かを唱えはじめた。	그때, 저 멀리 있던 사람들의 그림자가 점점 가까워지더니 맨 앞의 몇 명이 목소리를 높여 노래를 부르기 시작했다.	Meanwhile, the shadowy figures edged closer, and their lead group even started chanting in high-pitched, theatrical voices.						0
46	两位新人~	兩位新人~	新郎さま！新婦さま！	신랑 신부님~	To the happy couple~						0
47	凤鸾成对，喜结连理；	鳳鸞成對，喜結連理；	ご誓約おめでとうございます！	봉황과 주작이 짝을 이루듯, 희열의 인연을 맺으셨네요.	A match made in heaven, bound in eternal harmony.						0
48	珠璧含双，永系同心。	珠璧含雙，永系同心。	若いお二人に末永く幸多からんことを！	진주와 옥이 서로 어우러지듯, 영원토록 마음이 함께하기를.	Two souls entwined as one, flourishing in timeless union.						0
49	咱们小姐带着姑爷第一次回家，新进家门，当登云桥。	咱們小姐帶著姑爺第一次回家，新進家門，當登雲橋。	初めての義実家ってことで、新郎さまには橋を渡ってもらわなくちゃね。	우리 아가씨께서 도련님을 모시고 처음으로 집으로 돌아오셨어요. 처음으로 집에 들어오시면 구름 다리를 건너야 해요.	Our lady brings her lord home for the first time — it's time to cross the Cloudbridge!						0
50	姑娘们，替姑爷和小姐架云桥！	姑娘們，替姑爺和小姐架雲橋！	ささ、新郎新婦さまに橋をかけて差し上げましょう！	도련님과 아가씨를 위해 구름 다리를 놓거라!	Girls, let's build the Cloudbridge for our lord and lady!						0
51	架~云~桥！	架~雲~橋！	橋をかけなさい～	다리를 놓아라!~	Build~ The~ Cloudbridge!						0
52	众人影一边唱词，一边将提起的板凳就往我们面前架来。	眾人影一邊唱詞，一邊將提起的板凳就往我們面前架來。	高らかな声を上げながら、椅子を両側から一個ずつ重ね上げていく。気づけばいつの間にか目の前に一人分高く、長く続く橋ができていた。	사람들은 노래를 부르며 들어 올린 나무 의자들을 우리 앞에 놓기 시작했다.	With rhythmic chanting, they started stacking stools in front of us, fashioning a makeshift "bridge."						0
53	登云桥啊，这称呼还挺有意思。这算是朔州的传统习俗？具体是怎么回事？	登雲橋啊，這稱呼還挺有意思。這算是朔州的傳統習俗？具體是怎麼回事？	これも朔州伝統の習わしなのか。椅子で橋をかけるとはなかなか面白い発想だな。で、私たちは何すればいいのか？	구름 다리라니, 참 흥미로운 이름이네요. 이게 혹시 삭주의 전통 풍습인가요? 구체적으로 어떻게 해야하는 거죠?	Cloudbridge... that's quite an intriguing name. Is it a traditional Shuozhou custom? What's the story behind it?						0
54	我看向辰星，看她白皙的脖颈也在被羞红浸染。瞧着少女那张初见时冷俏的小脸如今毫无保留将所有羞怯美丽展露在我的眼前。	我看向辰星，看著她白皙的脖頸也被羞紅浸染。瞧著少女那張初見時冷俏的小臉如今毫無保留將所有羞怯美麗展露在我的眼前。	言って辰星に視線を向けると、顔だけに留まらず首元まで赤くなっている。いつも凜然としていて冷ややかだったはずの顔は恥じらいに染まって艶めかしさが匂い立つ。	나는 수성을 바라보았고 그녀의 하얀 목도 부끄러움으로 붉게 물들고 있는 것을 보았다. 처음 봤을 때 차갑고 예뻤던 소녀의 작은 얼굴이 이제는 수줍음과 아름다움을 가감 없이 내게 드러냈다.	I turned to Chenxing and noticed the blush creeping down her porcelain neck. The once composed young woman now stood sheepishly before me, her usual poise replaced by a delicate, unguarded shyness that was utterly captivating.						0
55	…分析员不可能现在还看不出来。	…分析員不可能現在還看不出來。	その、確かに今はまだわからないのかもしれませんが……	… 이 정도면 눈치채셨을 텐데요, 분석가님.	...Adjutant, there's no way you haven't figured it out by now.						0
56	我能看出来大概，但更细致些的就不知道了，还得靠我家夫人解释。	我看得出來大概，但更細緻些的就不知道了，還得靠我家夫人解釋。	どんなもんか大体想像がつくけど、やっぱり詳しい話は花嫁さんから教えてもらおうか。	대충은 알겠는데, 더 자세한 건 잘 모르겠네요. 아무래도 부인께서 설명해 주셔야겠어요.	I have a rough idea, but for the finer details, I'll need my dear lady to enlighten me.						0
57	……夫，夫人……	……夫，夫人……	は、花嫁……	… 부, 부인이라…	...Y—Your dear lady...?						0
58	在一阵羞怯过后，辰星深吸一口气，认真凝视我，一字一句开口。	一陣羞怯過後，辰星深吸一口氣，認真凝視我，一字一句開口。	一瞬うろたえたのち深く息を吸い、真剣な顔でおもむろに口を開く。	수성은 한참 수줍어 하더니, 숨을 깊게 들이마시고 나를 진지하게 바라보며 또박또박 말했다.	After a moment of flustered silence, Chenxing took a deep breath, steadying her gaze as she spoke, enunciating each word with sincerity.						0
59	……这是朔州缔结永恒之约后，与定约之人第一次回娘家时的习俗。	……這是朔州締結永恆之約後，與定約之人第一次回娘家時的習俗。	……朔州の伝統的な習わしで、お相手と誓約を交わしたあと、新婦が最初の実家帰りの際に行われる儀式です。	…이것은 삭주에서 언약을 맺은 후, 그 약속의 상대와 처음으로 친정에 돌아왔을 때 하는 풍습이에요.	...This is a Shuozhou tradition, performed when couples make their first official visit to the girl's family home.						0
60	云桥一过，恒约永定，白首同归。	雲橋一過，恆約永定，白首同歸。	「橋を渡れば誓約は結ばれ、永遠に二人は離れはしない」	구름 다리를 건너면, 언약이 굳건해지고 백발까지 함께하게 된답니다.	Once the Cloudbridge is crossed, their vow is bound for eternity.						0
61	话音落下，她忽然足尖一点，轻飘飘的就落在了架在最上方的板凳上。她以惊人的平衡站在边缘处，向我伸出手来。	話音落下，她忽然足尖一點，輕飄飄的就落在了架在最上方的板凳上。她以驚人的平衡站在邊緣處，向我伸出手來。	言い終わるなりぴょんと宙に飛び上がって椅子でできた橋の上に降り立つ。狭い足場にバランスを取りながら、一緒にきてというのだろうか、こっちへ手を差し出す。	그녀의 말이 끝나자, 수성은 갑자기 발끝을 살짝 디디더니 가장 위에 놓인 나무 의자 위로 올라섰다. 그녀는 놀라운 균형감으로 가장자리 위에 서서 나를 향해 손을 내밀었다.	With that, Chenxing lightly pushed off the ground. In an instant, she landed gracefully atop the highest stool of the makeshift bridge. Balancing perfectly, she extended a hand toward me.						0
62	我在下方回望她的眸子，看着她眼中的羞怯的雾气凝练着，好像是随时要滴出水来，可她的神色却是无比坚定。	我在下方回望她的眸子，看著她眼中的羞怯的霧氣凝練著，好像是隨時要滴出水來，可她的神色卻是無比堅定。	下から見たその灰色の瞳には恥じらいと控えめが半ばしているけど、どうしてか強い意思が宿っているようにも見えた。	나는 아래에서 그녀의 눈을 바라보았다. 그녀의 눈에는 부끄러움의 안개가 맺혀 있었고, 마치 금방이라도 눈물이 떨어질 것처럼 보였다. 하지만 그 표정은 한없이 단호했다.	From below, I gazed up into her eyes, noting the misty shyness that seemed ready to spill over at any second. Yet her expression remained calm and resolute.						0
63	请姑爷上云桥~	請姑爺上雲橋~	さ新郎様、お乗りくださいませ～	도련님, 구름 다리를 건너주세요~	My lord, please ascend the Cloudbridge~						0
64	诸多注视下，我并没有选择抓住辰星的手，而是突然一踩旁边栏杆，借力跃上辰星身边的板凳。只是下一刻，我就装作重心不稳的样子。	諸多注視下，我並沒有選擇抓住辰星的手，而是突然一踩旁邊欄桿，借力躍上辰星身邊的板凳。只是下一刻，我就裝作重心不穩的樣子。	人影たちの視線を背に受けて橋の手すりに足を乗せて彼女の立っている椅子によじ登る。手を取らずに自力で登ったのもその後よろめいたのも、もちろんわざとだけど。	많은 이들이 지켜보는 가운데 나는 수성의 손을 잡는 대신 갑자기 옆 난간을 밟고 힘을 빌려 옆에 있는 나무 의자로 뛰어올랐다. 그러고는 무게 중심이 흔들리는 척했다.	Under the crowd's expectant gazes, I chose not to take Chenxing's hand. Instead, I stepped onto the nearby railing and vaulted onto the stool beside hers. As I landed, I feigned a wobble, swaying precariously.						0
65	辰星见此甚至来不及失落，就慌忙伸手向我抓来，可她伸手过来的时候，我便已经稳住了重心，顺势张开双臂，将她一把捞入了怀中。	辰星見此甚至來不及失落，就慌忙伸手向我抓來，可她伸手過來的時候，我便已經穩住了重心，順勢張開雙臂，將她一把撈入了懷中。	手をばたつかせている私を支えようと伸ばしてきたほっそりとした腕を引いて、倒れかけてくる華奢な体を一気に腕の中に抱き寄せて閉じ込める。	수성은 그런 나를 보고 실망할 새도 없이 황급히 손을 뻗어 날 잡으려 했지만, 그녀가 손을 뻗었을 때, 난 이미 중심을 잡고 여세를 몰아 두 팔을 벌려 그녀를 품에 안았다.	Startled, Chenxing barely had time to register disappointment before frantically reaching out to steady me. But before she could grab hold, I righted myself and used the opportunity to sweep her into my arms.						0
66	结结实实揽住怀中的少女后，我才抓住她柔若无骨的纤手。	結實地攬住懷中的少女後，我才抓住她柔若無骨的纖手。	互いの服越しに温もりが体を包み込むのを感じつつ、宙を彷徨っているもう片方の手を掴んで強く握る。	소녀를 단단히 품에 안은 후에야 그녀의 가냘프고 부드러운 손을 잡았다.	With her snug in my embrace, I gently clasped her soft, delicate hand.						0
67	既然是这么重要的仪式，可得走得稳当些才行啊。你说是吗？	既然是這麼重要的儀式，可得走得穩當些才行啊。你說是嗎？	大事な儀式だろ。転んじゃったら大変だろ。	이렇게 중요한 의식인 만큼, 천천히 안정적으로 걸어야겠죠. 그렇지 않나요?	We need to make sure we walk steadily in such an important ceremony. Right?						0
68	…分析员，不要欺负我啦。	…分析員，不要欺負我啦。	分析員、もうからかうのは、控えてください……	… 분석가님, 절 괴롭히지 말아 주세요.	...Adjutant, please don't tease me.						0
69	辰星在我怀中低着小脸，发出细若蚊蚋的声音。	辰星在我懷中低著小臉，發出細若蚊蚋的聲音。	目を伏せながら、消え入りそうな声でささやいてくる。	수성은 내 품 안에서 고개를 숙이고 모기만 한 작은 소리로 대답했다.	Her voice was a hushed whisper, muffled by my chest as she buried her face against me.						0
70	等到少女恢复，我才拉着她的手，和她稳稳当当在板凳架起的云桥上前行。	等到少女恢復，我才拉著她的手，和她穩穩當在板凳架起的雲橋上前進。	ほどなくして少女が落ち着くと、その白魚のような手をとって、足下に気を配りながら足を踏み出す。	소녀가 진정한 후 나는 그녀의 손을 잡고 함께 나무 의자로 놓여진 구름 다리를 안정적으로 걸었다.	Once she'd composed herself, I took her hand and led her steadily across the Cloudbridge.						0
71	大概走到快一半路的时候，辰星却是忍不住向我看来。	大概走到快一半路的時候，辰星卻是忍不住向我看來。	そうやって二人でゆっくり歩を進めて橋の中ほどに着くと、辰星からの視線を異様に感じた。	거의 중간쯤 걸어갔을 때, 수성이 참지 못하고 나를 바라보며 말했다.	About halfway across, Chenxing turned to me, as if she could no longer keep her thoughts to herself.						0
72	分析员。	分析員。	分析員。	분석가님.	Adjutant.						0
73	嗯？	嗯？	ん？	응?	Yes?						0
74	出去之后……	出去之後……	ここから出たあと……	이제 나가면…	Once we're out of here...						0
75	不管辰星想做什么，我都答应你。	不管辰星想做什麼，我都答應你。	ああ、わかっている。ここを出たら何でも聞いてあげる。	수성이 원하는 거, 하고 싶은 거 다 들어드릴게요.	I'll do it — whatever you want.						0
76	我预判到辰星的想法，干脆利落直接给出了答复。	我預判到辰星的想法，乾脆俐落直接給了答案。	言いたいことが最初からわかっていたので、つい話を遮ってしまった。	나는 수성의 생각을 미리 짐작하고, 단호하게 대답했다.	Expecting her request, I responded without the slightest hesitation.						0
77	嗯！	嗯！	ええ！	좋아요!	Alright!						0
78	不过……	不過……	でも……	하지만…	Although...						0
79	不过？	不過？	でも？	하지만?	What is it?						0
80	分析员这么熟练的样子，已经答应过很多次了吧。	分析員這麼熟練的樣子，已經答應過很多次了吧。	なんだか分析員はもう慣れているようですから、こんな約束をするのは、何回目のことだろうかと、つい……	이렇게 능숙한 분석가님의 모습을 보니, 이미 여러 번 약속하신 거죠?	You're so... practiced at this, Adjutant. You must've done this many times, haven't you?						0
