xxx_3692308446	A	A	A	A	A	A	A	A	A	A	A
10	哦？你真这么认为？	哦？你真這麼認為？	ほう、本気でそう思っているのか。	오호? 정말 그렇게 생각해?	Oh? You really think so?						0
11	唔……那肯定是因为现实和歧路宇宙里不一样……	唔……那肯定是因為現實和歧路宇宙裡不一樣……	うぅ……き、きっとね、現実と岐路宇宙じゃ勝手が違うってことだし……	으… 분명 현실이랑 크로스버스 안이랑 달라서 그런 거라고…	Urgh... it must be how different reality and Divergent Cosmos are...						0
12	或许是那时候没能在我手下撑过十分钟的缘故，垂头丧气的米娅心里总想着要在我面前证明自己。	或許是那時候沒能在我手下撐過十分鐘的緣故，垂頭喪氣的米婭心裡總想著要在我面前證明自己。	――あのとき、私の手で十分ともたなかったのが、よほど悔しかったのだろう。肩を落としたミアは、以来ずっと、「今度こそ見返してやる」と心のどこかで燃えてる。	그때 내 손에서 10분을 버티지 못한 탓에 풀이 죽었을 거고, 그렇기 때문에 내 앞에서 자신을 증명하고 싶어 했을 것이다.	Maybe because she hadn't managed to last even ten minutes in my hands back then, the dejected Mia had been fixated on proving herself.						0
13	——给她这么一个机会倒也不是不可以。	——給她這麼一個機會倒也不是不可以。	彼女に、そのチャンスをあげない理由はない。	…그녀에게 기회를 주는 것도 안 될 건 없었다.	And there was no harm in giving her that chance.						0
14	果真，没过多久，黑暗处便传来了一阵不和谐的韵律。	果真，沒過多久，黑暗處便傳來了一陣不和諧的韻律。	案の定、そう長く待たないうちに、闇の中から場違いなリズムが聞こえてきた。	과연, 얼마 지나지 않아 어둠 속에서 조화롭지 못한 음률이 들려왔다.	Sure enough, a faint, discordant rhythm soon rose from the darkness.						0
15	那声音像是某只小动物正在附近某处伺机而动，窸窸窣窣，趁着夜色悄悄徘徊。	那聲音像是某隻小動物正在附近某處伺機而動，窸窸窣窣，趁著夜色悄悄徘徊。	それは、身を潜めた小動物がどこかで機会をうかがっているような、かすかな物音だった。夜の匂いに紛れて、こそこそと徘徊している。	그 소리는 마치 어떤 작은 동물이 근처 어딘가에서 기회를 엿보며 바스락바스락 어두운 밤을 틈타 살금살금 배회하는 것 같았다.	It sounded like a small animal lurking nearby, rustling softly as it prowled in the darkness.						0
16	它在观察我，或者……她想袭击我。	它在觀察我，或者……她想襲擊我。	私の様子をうかがっているのか。それとも――「襲いかかる」つもりなのか。	녀석은 나를 관찰하고 있거나… 아니면 나를 습격하려는 계획이리라.	She was watching me, or... waiting to pounce.						0
17	于是偶有熟悉的气息掠过我的鼻尖，我品了品，那是无数次萦绕在我枕侧的芳香。	於是偶有熟悉的氣息掠過我的鼻尖，我品了品，那是無數次縈繞在我枕側的芳香。	やがて、どこかで嗅ぎ慣れた香りが、ふっと鼻先をかすめた。枕元で何度も吸い込んだ、あの甘い香りだ。	그런 이유 탓에 익숙한 향기가 내 코끝을 스쳐 지나갔다. 그것은 몇 번이고 내 베개 근처를 맴돌던 향기였다.	Every now and then, a familiar scent brushed past the tip of my nose. I savored it, recognizing the fragrance that had lingered beside my pillow countless times.						0
18	——我想我早就知道那是谁了。	——我想我早就知道那是誰了。	――誰なのかなんて、とっくに分かっている。	…상대가 누군지는 이미 짐작하고 있었다.	I already knew who it was.						0
b-1											0
19	米娅……？	米婭……？	ミア……？	미아…?	Mia...?						0
20	你猜猜？	你猜猜？	当ててみて～？	맞혀봐?	Take a guess.						0
21	于是它飘飘忽忽地接近，在我耳边轻轻一啄，吐出温热芳香的气息后，又耀武扬威地离去。	於是它飄飄忽忽地接近，在我耳邊輕輕一啄，吐出溫熱芳香的氣息後，又耀武揚威地離去。	声は、ふわふわと揺れながら近付いてくる。耳元にそっと嘴を当て、温かい吐息だけを残して、また、勝ち誇ったように離れていった。	유영하듯 내게 다가온 그것은 내 귓가를 간질이며 따뜻하고 향긋한 숨결을 내뿜고는 의기양양하게 떠나갔다.	Then the sound drifted closer, light and fluttery. Something pecked gently at my ear, exhaled a warm, fragrant breath, and triumphantly pulled away.						0
22	我睁开双眼，恍惚间可见少女的脸蛋和垂落的粉色发丝。脑袋就那么轻轻一歪，她的双眸也闪烁在夜色里，仿佛激起水波中某种跃动的、焦躁不安的浪花。	我睜開雙眼，恍惚間可見少女的臉蛋和垂落的粉色髮絲。腦袋就那麼輕輕一歪，她的雙眸也閃爍在夜色裡，彷彿激起水波中某種躍動的、焦躁不安的浪花。	そっと目を開け、視界の端に月明かりの少女の横顔とさらり垂れたピンクの髪が映る。首をかしげるたびその瞳がきらり揺れ、不安と高鳴りが水面波紋のように混じる。	눈을 뜨자 소녀의 얼굴과 아래로 늘어진 분홍색 머리칼이 어렴풋이 보였다. 머리를 살짝 기울인 채 어두운 밤 두 눈을 반짝이는 모습이 마치 수면에 일렁이는, 들뜬 것 같으면서도 초조해하는 물결 같았다.	I opened my eyes. In a daze, I caught a glimpse of her face, pink hair falling down. Her head tilted slightly, and her eyes shimmered in the darkness, like restless little waves stirring.						0
23	呀？分析员你醒啦？	呀？分析員你醒啦？	あれっ？分析員、起きてたんだ？	어라? 분석가, 깼어?	Eek? Adjutant, you're awake?						0
24	月光落了下来，米娅的皮肤仿佛是透明的。	月光落了下來，米婭的皮膚彷彿是透明的。	窓から落ちる月光を浴びて、ミアの肌はほとんど透き通るように白い。	달빛 아래 미아의 피부는 투명해 보였다.	Moonlight poured down, making Mia's skin look almost transparent.						0
25	你的惊喜不会指的是夜袭吧？	你的驚喜不會指的是夜襲吧？	そのサプライズというのは……まさか、夜這いのことではないだろうな？	네가 말한 서프라이즈라는 게 야습은 아니겠지?	The "surprise" you mentioned wouldn't happen to be sneaking into my bed, would it?						0
26	那我可早就猜到了。	那我可早就猜到了。	それなら、もうとっくに分かっている。	그런 거라면 이미 짐작하고 있었어.	In that case, I saw it coming.						0
27	哇呼——答对了！我还以为会不小心偷袭成功呢——	哇呼——答對了！我還以為會不小心偷襲成功呢——	ワフーー正解～！あたし、こっそり成功したと思ったのになぁ～	와후!! 맞았어! 기습 성공인 줄 알았더니…	Waahoo — Bingo! And here I thought I might actually get away with sneaking—						0
28	你承认你偷袭了。	你承認你偷襲了。	自分で「こっそり」と言っている時点で、完全に奇襲だが。	기습이라고 인정하네.	So you were sneaking into my bed.						0
29	不不不，这才不是偷袭呢！	不不不，這才不是偷襲呢！	ち、違うし！これはぜんっぜん、奇襲とかじゃないんだから！	아니, 아니. 이건 기습이 아니야!	No, no, I wouldn't call this sneaking!						0
30	我只是——	我只是……	あたしはただ――	난 그냥…	I just—						0
31	让美好有一个延续而已。	讓美好有一個延續而已。	「いい時間を、ちゃんとつなげていく」だけ、だよ？	아름다운 순간을 계속 이어가고 싶었을 뿐이야.	I just wanted to keep all the wonderful things going.						0
32	我记得这是你的原话哦~	我記得這是你的原話哦~	ね、これも、分析員のセリフそのまんまなんよね～？	네가 한 말로 기억하는데~	Your exact words~						0
33	让美好有一个延续……你想要一个什么样的延续？	讓美好有一個延續……你想要一個什麼樣的延續？	「きれいな時間をつないでいく」か。ミアは、どんなふうに続けたいんだ？	아름다운 순간을 계속 이어간다라… 어떤 식으로 이어가고 싶은 건데?	Keep the wonderful things going... What did you have in mind?						0
34	我明知故问。	我明知故問。	分かっていながら、あえて尋ねる。	나는 알면서도 그녀에게 물었다.	I asked, even though I already knew the answer.						0
35	就是那种延续啦——可能稍微有点色色的吧。	就是那種延續啦——可能稍微有點色色的吧。	そんなの、決まってるじゃん……ちょ～っとだけ、えっちな続き、だよ。	그냥 이어가는 거지… 조금 야하게.	You know, the passionate, sweet kind of thing.						0
36	就像是……这样？	就像是……這樣？	たとえばさ――こんな感じ？	뭐… 이렇게?	Something like... this?						0
37	她伸出左手的食指，慢慢悠悠地在嘴唇边划了一圈又一圈，似乎正在暗示……不，是明示某种亲密行为。	她伸出左手的食指，慢慢悠悠地在嘴唇邊劃了一圈又一圈，似乎正在暗示……不，是明示某種親密行為。	ミアは左手の人差し指を持ち上げ、ゆっくりと唇の輪郭をなぞりはじめる。ぐるり、ぐるりと円を描くその動きは、遠回しどころか、もはや露骨な「お誘い」だ。	그녀는 왼손 검지를 내밀어 천천히 입술 주변을 빙글빙글 그렸다. 어떤 친밀한 행위를 은근하게… 아니, 노골적으로 표현하고 있었다.	She extended her left index finger and slowly traced circles along her lips, as if hinting at — no, plainly suggesting — a certain kind of intimacy.						0
38	我笑了笑。	我笑了笑。	小さく笑みをこぼす。	나는 웃음을 지었다.	I smiled.						0
39	那我再来回应一次你白天所说的话语吧。	那我再來回應一次你白天所說的話語吧。	じゃあ、昼間ミアが言ってくれた言葉に、もう一度ちゃんと返事をしよう。	그럼 낮에 네가 한 말에 다시 한번 답해줄게.	Then let me answer what you said during the day one more time.						0
40	我喜欢你，米娅。我再说一遍，我喜欢你。	我喜歡你，米婭。我再說一遍，我喜歡你。	私はミアのことが好きだ。	네가 좋아, 미아. 다시 한번 말할게, 널 좋아해.	I love you, Mia. I'll say it again, I love you.						0
41	她居然愣了一愣，随即脸颊泛上红晕来。	她居然愣了一愣，隨即臉頰泛上紅暈來。	彼女はきょとんと目を瞬き、それから頬にじわりと紅が差していく。	순간 멈칫한 그녀는 이내 뺨을 붉혔다.	She actually froze for a second, then a blush slowly spread across her cheeks.						0
42	诶？那我……那我就要更喜欢你！	誒？那我……那我就要更喜歡你！	えっ？じゃ、じゃああたしは……もっと好きになるしかないじゃん……！	에? 그럼 내가… 내가 더 좋아할 거야!	What? I... then I love you more!						0
43	哦？有多喜欢？	哦？有多喜歡？	ほう？どれぐらい「もっと」なんだ？	오? 얼마나?	Really? How much more?						0
44	比你多一百倍的那种喜欢！	比你多一百倍的那種喜歡！	分析員の百倍ぐらい、バカみたいに大好きってこと！	너보다 백 배 더!	A hundred times more!						0
45	一百倍？做给我看？	一百倍？做給我看？	百倍か。じゃあ、ちゃんと形にして見せてもらおうか。	백 배? 보여줄 수 있어?	A hundred times? Care to show me?						0
46	——我这句话听起来多少有些挑衅的意味了。	——我這句話聽起來多少有些挑釁的意味了。	――我ながら、少し挑発が過ぎた言い方だったかもしれない。	…다소 도발적인 뉘앙스가 담긴 말투로 물었다.	Even I had to admit it sounded like a challenge.						0
47	米娅闻言眨了眨眼，眉头轻轻一挑，似乎接受了我的宣战。	米婭聞言眨了眨眼，眉頭輕輕一挑，似乎接受了我的宣戰。	ミアはぱちぱちと瞬きをしてから、すっと目尻を上げる。その仕草は、挑戦状を正面から受け取った証のようだった。	미아는 눈을 깜빡이더니 곧 눈썹을 살짝 치켜올렸다. 아무래도 내 선전포고를 받아들인 듯했다.	Mia blinked at that, the corner of her brow lifting slightly as if she'd accepted.						0
48	那……你可要小心了哦？	那……你可要小心了哦？	じゃあ……覚悟しといてよね。	그럼… 조심해야 한다?	Well... Be careful what you wish for~						0
49	于是蓦地一抹馨香的气息将我淹没，米娅的发丝落在了我的脸上。	於是蓦地一抹馨香的氣息將我淹沒，米婭的髮絲落在了我的臉上。	甘い香りが胸の奥まで満ちる。ミアの髪先が頬をかすめ、顎から喉へと滑る感触は、	순간 향긋한 숨결이 나를 삼키며 미아의 머리칼이 내 얼굴 위로 내려앉았다.	Suddenly, a wash of sweet fragrance surged over me. Mia's hair spilled across my face...						0
49_1	而随之而来的绵软细腻自下而上划出一道旖旎的痕迹，似是初春的柳条信手荡过湖面留下的涟漪，一圈一圈扩散开来，勾得我心头一痒。	而隨之而來的綿軟細膩自下而上劃出一道旖旎的痕跡，似是初春的柳條信手蕩過湖面留下的漣漪，一圈一圈擴散開來，勾得我心頭一癢。	春の柳が水面を撫でるくすぐったい波紋となり、心のどこかをめくり上げていった。	뒤이어 부드럽고 섬세한 감촉이 아래에서 위로 아름다운 흔적을 그렸다. 마치 초봄의 버드나무 가지가 호수 위를 스치며 남긴 잔물결처럼, 동심원을 그리며 퍼져나가 내 마음을 간지럽혔다.	A soft sensation brushed upward, leaving a languid, winding trail behind, like spring willow branches skimming over a lake and setting off layers of ripples, tickling my heart.						0
50	——但也仅此而已了。	——但也僅此而已了。	――ただ、それだけで終わるはずもなかった。	…하지만 그것도 거기까지였다.	But that was as far as it went.						0
51	好像……还不够？	好像……還不夠？	まだ……足りない気がするな。	뭔가… 부족한 것 같은데?	That felt... a bit lacking, don't you think?						0
52	既然分析员都这么说了，哼哼~	既然分析員都這麼說了，哼哼~	分析員がそう言っちゃうなら……ふふ、仕方ないなぁ。	분석가가 그렇게 말한다면, 흐흥~	Well, when you put it that way, hmph~						0
53	她坏坏地抿了抿嘴唇，身躯轻轻扭动，脸蛋一点一点地靠了过来。	她壞壞地抿了抿嘴唇，身軀輕輕扭動，臉蛋一點一點地靠了過來。	彼女はいたずらっぽく唇を尖らせ、腰をくいっと揺らしてから、少しずつ顔を近付けてくる。	장난스럽게 입술을 문 그녀는 몸을 살짝 비틀더니, 얼굴을 조금씩 가까이 했다.	She bit her lip in a mischievous smile, her body twisting slightly as her face inched closer.						0
54	突然之间一切都安静了下来，无论是蝉鸣还是门外的脚步声此刻都消失在了远处。	突然之間一切都安靜了下來，無論是蟬鳴還是門外的腳步聲此刻都消失在了遠處。	ふと、世界から音が消えた気がした。蝉の声も、廊下の足音も、どこか遠くの景色みたいに薄れていく。	갑자기 모든 것이 고요해졌다. 매미 소리도, 문밖의 발소리도, 이 순간 모두 멀리 사라졌다.	All at once, everything went quiet — the cicadas, the footsteps outside the door. Everything seemed to fade into the distance.						0
55	发丝犹如帷幕将我的视野包裹，她的眼眸不断接近，如火的吐息轻飘飘地落下，欲念与悸动交织，携夹着逐渐升起的温度。	發絲猶如帷幕將我的視野包裹，她的眼眸不斷接近，如火的吐息輕飄飄地落下，欲念與悸動交織，攜夾著逐漸升起的溫度。	髪が幕みたいに視界を覆い、向こうで紅い瞳がゆっくり近づいてくる。熱っぽい吐息が肌をなぞるように落ちて、欲とときめきが絡み合い、温度をじわじわ上げていく。	머리칼이 장막처럼 내 시야를 감싸고, 그녀의 눈동자는 점점 가까워졌다. 불꽃 같은 숨결이 가볍게 내려앉고, 욕망과 설렘이 뒤섞이며 점점 뜨겁게 달아올랐다.	Her hair fell around me like a curtain, blocking my view. Her eyes drew nearer, her fiery breath drifting over me. Desire and exhilaration tangled together, wrapped in rising heat.						0
56	于是心底里就那样倏然涌上一道火苗，那些压抑着的，随着情绪起落的冲动一波一波地涌起，几欲突破某个阈值。	於是心底裡就那樣倏然湧上一道火苗，那些壓抑著的，隨著情緒起落的的衝動一波一波地湧起，幾欲突破某個閾值。	胸の奥で、ふっと火花が散る。押さえ込んでいた衝動が、波になってぶつかり合い、今にも堰を切りそうになっていく。	이에 마음속에서 불꽃이 타올랐다. 억눌러왔던 감정의 기복을 따라 충동이 파도처럼 밀려오며 한계를 돌파하려 했다.	A spark flared from deep inside. All those impulses I'd been holding back, rising and falling with my emotions, surged in waves, threatening to break through.						0
57	如果是……这样呢？	如果是……這樣呢？	じゃあ……こういうのは、どう？	만약… 이렇게 한다면?	What if... I do this?						0
58	她这么轻笑着，手指漫不经心地划过我的嘴唇，带起一丝致命的弧度。	她這麼輕笑著，手指漫不經心地劃過我的嘴唇，帶起一絲致命的弧度。	くすりと笑いながら、ミアの指先が私の唇をなぞる。そこに生まれた小さな弧は、妙に、喉の奥に刺さる曲線だった。	그녀는 가볍게 웃으며 손가락으로 무심하게 내 입술을 스쳐 치명적인 곡선을 그렸다.	She chuckled softly, her fingertip wandering across my lips, sketching a dangerously seductive curve.						0
b-2											0
59	你是指什么？	你是指什麼？	何の話だ？	뭘 말하는 거야?	What exactly do you mean?						0
60	我注视着那双桃红色的眸子，并未沦陷于她的攻势之中。	我注視著那雙桃紅色的眸子，並未淪陷於她的攻勢之中。	紅い瞳をまっすぐに見返す。	나는 복숭아빛 눈동자를 주시하며 그녀의 공세에 넘어가지 않았다.	I met her rosy gaze head-on, refusing to be swept away by her advance.						0
61	随着我一再与她的视线相交，那眼眸中跳动的红色光芒由挑逗转为惊愕，随即化作茫然。	隨著我一再與她的視線相交，那眼眸中跳動的紅色光芒由挑逗轉為驚愕，隨即化作茫然。	視線を絡めるたび、その色は挑発から驚きへ、そして戸惑いへと、目まぐるしく表情を変えていく。	그녀와 다시금 시선이 마주치자 눈동자 속에서 춤추던 붉은 빛이 도발에서 경악으로, 그리고 다시 당황으로 변했다.	The more our eyes met, the more that red glow in her eyes shifted from teasing to startled, then slowly to bewilderment.						0
62	诶？居然……？	誒？居然……？	えっ？うそ……？	에? 설마…?	Eh? You're actually...?						0
63	她的声音有些诧异。	她的聲音有些詫異。	困惑を含んだ声が、月明かりのなかで震える。	그녀의 목소리에서 놀란 감정이 느껴졌다.	Her voice held clear surprise.						0
64	没什么。	沒什麼。	いや。	별거 아니야.	You're doing fine.						0
65	我只是觉得，现在的米娅浑身上下散发着魅力，让我忍不住想要抱住。	我只是覺得，現在的米婭渾身上下散發著魅力，讓我忍不住想要抱住。	ただ、今のミアがあまりにも魅力的すぎてな。抱きしめずにはいられないと思っただけだ。	그냥 지금 미아가 온몸으로 매력을 발산하고 있어서, 안아주고 싶다는 생각이 들었을 뿐.	It's just that right now, you're radiating charm from head to toe, and it's making me want to hold you.						0
66	我很认真地这么说着，伸出手臂将她揽在怀里，随即一个翻身将她压在了身下，于是顷刻间便攻守易势。	我很認真地這麼說著，伸出手臂將她攬在懷裡，隨即一個翻身將她壓在了身下，於是頃刻間便攻守易勢。	そう告げながら、私は腕を伸ばして彼女を抱き寄せる。そのまま身体を返すように転がり、ミアをベッドに押し倒す。ーー一瞬で、攻守は入れ替わる。	나는 진지하게 말하며 팔을 뻗어 그녀를 끌어안았고, 이내 몸을 뒤집어 그녀를 아래로 눌렀다. 순식간에 공수가 바뀌었다.	I said it earnestly, reaching around her and pulling her into an embrace. Then with a quick roll, I pinned her beneath me, and in an instant, the tables were turned.						0
67	诶……诶？你……你说什么？	誒……誒？你……你說什麼？	えっ、えっ？ちょ、ちょっと、なに言って――	에… 에? 너… 방금 뭐라고?	E—Eh? Wh—What?						0
68	我是说，我喜欢你眼睛里的红色。	我是說，我喜歡你眼睛裡的紅色。	さっきからずっと思っていた。ミアの目の、その赤が好きだ。	네 눈동자 속의 붉은색이 좋다고.	I love the shade of red in your eyes.						0
69	似是有那么些措手不及，米娅的身子一下子瘫软了，原本充满攻击性的姿态化作了少女的娇柔，她就那样蜷成一团，无辜地看着我，像是一只受欺负的小动物。	似是有那麼些措手不及，米婭的身子一下子癱軟了，原本充滿攻擊性的姿態化作了少女的嬌柔，她就那樣蜷成一團，無辜地看著我，像是一隻受欺負的小動物。	不意を突かれたようにミアの肩から力が抜けていく。さっきまで攻める側だったはずの彼女があっという間に丸く縮こまり、小動物みたいな顔でこちらを見上げてきた。	당황한 듯 미아의 몸이 순간 힘없이 늘어졌고, 원래 공격적이던 자세는 연약한 소녀의 모습으로 바뀌었다. 몸을 움츠린 채 억울한 눈빛으로 나를 바라보는 그녀는 마치 괴롭힘당하는 작은 동물 같았다.	Caught off guard, Mia suddenly went limp. The aggressive posture she'd had moments ago melted into girlish tenderness. She curled in on herself, looking up at me with wide, innocent eyes, like a small animal that had just been bullied.						0
70	我是说，我喜欢你说话时的声音。	我是說，我喜歡你說話時的聲音。	ミアの声も好きだ。話すたびに弾む、その響きが。	말할 때의 네 목소리가 좋다고.	I love your voice when you talk.						0
71	唔……你，你慢点儿……	唔……你，你慢一點……	ん……ゆ、ゆっくり……してよ……	으음… 처, 천천히 해…	Nngh... S—Slow down...						0
72	我是说，我喜欢你呼吸里的温度。	我是說，我喜歡你呼吸裡的溫度。	それから、ミアの息の熱さも好きだ。こうして、すぐそばで触れてくる温度が。	네 숨결의 온도가 좋다고.	I love the warmth in your breath.						0
73	不要说那种令人害羞的话啦——	不要說那種令人害羞的話啦——	そ、そういう恥ずかしい台詞は、反則なんよねぇ……	부끄럽게 그런 말 하지 마…	Stop saying embarrassing stuff like that—						0
74	这么轻声呢喃着，动人心魄的桃红色似乎溢出了眼角，迅速在她的脸颊处蔓延开来。	這麼輕聲呢喃著，動人心魄的桃紅色似乎溢出了眼角，迅速在她的臉頰處蔓延開來。	囁きとともに、桃色の光が目尻からこぼれ、頬一面にぱっと広がっていく。	그렇게 나지막이 중얼거리자, 마음을 흔드는 복숭아빛이 눈가에서 흘러넘쳐 그녀의 볼에 빠르게 번져갔다.	She whispered it so softly, and that breathtaking rosy color seemed to spill from the corners of her eyes, rapidly spreading across her cheeks.						0
75	我自上而下地俯视着她，一手按在枕边撑住身体，另一只手轻抚她眼角的桃红。	我自上而下地俯視著她，一手按在枕邊撐住身體，另一隻手輕撫她眼角的桃紅。	上から彼女を見下ろし、一方の手で枕元を支え、もう一方の指先で、その紅潮した目尻をそっと撫でた。	나는 위에서 아래로 그녀를 내려다보며 한 손은 베개 옆에 짚고 다른 손으로는 그녀의 눈가에 물든 복숭아빛을 가볍게 쓰다듬었다.	I looked down at her, one hand braced on the pillow beside her, the other gently brushing the pink at the corner of her eye.						0
76	此刻她身躯滚烫，每一寸肌肤都被脸颊染成了粉红色，像是一朵正在开放的花朵，明艳却娇嫩。	此刻她身軀滾燙，每一寸肌膚都被臉頰染成了粉紅色，像是一朵正在開放的花朵，明豔卻嬌嫩。	今のミアは、全身が火照っている。どこに触れても薄く熱を帯びて、開きかけた花のように、柔らかく、危うい。	그녀의 몸이 뜨겁게 달아올랐다. 몸 구석구석이 볼에 스민 분홍빛으로 물들어, 마치 막 꽃봉오리를 터트리는 꽃처럼 아름다우면서도 가냘펐다.	Her whole body was burning hot now. Every inch of her skin had been dyed rosy pink by her blush, like a flower in full bloom, brilliant and terribly delicate.						0
77	她慌张地用手捂住脸，似是不太敢看我。透过手指的缝隙，我依稀可见她噙着泪花的双眸。	她慌張地用手摀住臉，似是不太敢看我。透過手指的縫隙，我依稀可見她噙著淚花的雙眸。	彼女はあわてて両手で顔を隠そうとする。指の隙間からのぞく瞳には、涙の粒がきらりと光っていた。	당황한 듯 손으로 얼굴을 가린 그녀는 나를 차마 보지 못하는 듯했다. 손가락 사이로 어렴풋이 눈물 어린 그녀의 눈동자가 보였다.	Flustered, she covered her face with both hands, as if she didn't quite dare look at me. Through the gaps between her fingers, I could just make out the tears welling in her eyes.						0
78	等，等等啦，我还得准备一下……	等，等等啦，我還得準備一下……	ま、待って……ちょっとだけ、心の準備……	기, 기다려. 나 좀 준비할 시간이 필요해…	W—Wait a sec. Let me get ready...						0
79	她假装毫不在意，只是口中吐出的气息愈发灼热，连带着她的身躯一起，仿佛燃烧的炭火。	她假裝毫不在意，只是口中吐出的氣息越發灼熱，連帶著她的身軀一起，彷彿燃燒的炭火。	わざと気にしていないふりをしながら、吐息だけはどんどん熱くなっていく。それに合わせて、抱き締めた身体も、炭火みたいに内側から燃え始めていた。	그녀는 태연한 척했지만, 입에서 나오는 숨결은 점점 더 뜨거워졌고 그녀의 몸과 함께 마치 타오르는 숯불처럼 화상을 입힐 듯했다.	She pretended to be nonchalant, but the breath spilling from her lips was growing hotter, and the heat spread through her whole body like searing flames.						0
80	等等？	等等？	「待て」と？	기다려?	Wait?						0
81	你这么说，我可就停下了。	你這麼說，我可就停下了。	今の言い方だと、ここでやめておいたほうが良さそうだな。	그렇게 말하면, 나 멈춘다.	Alright, I can wait.						0
82	诶？	欸？	え……？	응?	Huh?						0
83	——就那么毫无征兆地，我停下了手中动作。	——就那麼毫無徵兆地，我停下了手中動作。	――私は、その場でふいに動きを止めた。	…나는 아무런 징조도 없이 손을 멈췄다.	Without any warning, I stopped what I was doing.						0
84	米娅明显愣住了，就连身躯也微微一抖。	米婭明顯愣住了，就連身軀也微微一抖。	ミアの肩がびくりと震える。	얼어붙은 미아는 미세하게 몸을 떨었다.	Mia clearly froze. Even her body gave a little shudder.						0
85	你都说了让我等等，我就停下咯。	你都說了讓我等等，我就停下咯。	待てと言われたからな。素直にやめておこう。	기다리라며. 그래서 멈춘 거야.	You asked, so I'm waiting.						0
86	这下她彻底不知所措了，目光左顾右盼，话语在口中吞了又吐，却不知道该说什么好。	這下她徹底不知所措了，目光左顧右盼，話語在口中吞了又吐，卻不知道該說什麼好。	今度は完全に、彼女のほうが追い込まれる番だった。視線は落ち着きなく揺れて、喉元で言葉が何度も行き来しては、かすれて溶けていく。	다음 순간, 그녀는 어찌할 바를 모르는 듯했다. 시선을 이리저리 옮기고, 말을 삼켰다가 뱉으면서도 무슨 말을 해야 할지 몰랐다.	She was completely at a loss. Her eyes darted around, words catching in her throat, not that she had any idea what to say.						0
87	我也就平静地等待着她的回答。	我也就平靜地等待著她的回答。	私は、ただ静かに、その答えを待った。	나는 그런 그녀의 대답을 그저 조용히 기다렸다.	I simply waited calmly for her answer.						0
